address	type	category	comment
10029a90	Info	PE Header	IMAGE_DIRECTORY_ENTRY_EXPORT
10137000	Info	PE Header	IMAGE_DIRECTORY_ENTRY_IMPORT
10138000	Info	PE Header	IMAGE_DIRECTORY_ENTRY_RESOURCE
10139000	Info	PE Header	IMAGE_DIRECTORY_ENTRY_BASERELOC
1013713c	Info	PE Header	IMAGE_DIRECTORY_ENTRY_IAT
100035b0	Analysis	Found Code	Found code from operand reference
10003720	Analysis	Found Code	Found code from operand reference
10003780	Analysis	Found Code	Found code from operand reference
100037e0	Analysis	Found Code	Found code from operand reference
10003840	Analysis	Found Code	Found code from operand reference
10003860	Analysis	Found Code	Found code from operand reference
10003880	Analysis	Found Code	Found code from operand reference
100038a0	Analysis	Found Code	Found code from operand reference
10004bf0	Analysis	Found Code	Found code from operand reference
1000d120	Analysis	Found Code	Found code from operand reference
1000f930	Analysis	Found Code	Found code from operand reference
1000f950	Analysis	Found Code	Found code from operand reference
1000f970	Analysis	Found Code	Found code from operand reference
1000f980	Analysis	Found Code	Found code from operand reference
1000f990	Analysis	Found Code	Found code from operand reference
1000f9b0	Analysis	Found Code	Found code from operand reference
1000f9f0	Analysis	Found Code	Found code from operand reference
1000fa00	Analysis	Found Code	Found code from operand reference
1000fab0	Analysis	Found Code	Found code from operand reference
1000fb00	Analysis	Found Code	Found code from operand reference
1000fb10	Analysis	Found Code	Found code from operand reference
1000fb20	Analysis	Found Code	Found code from operand reference
1000fb30	Analysis	Found Code	Found code from operand reference
1000fb50	Analysis	Found Code	Found code from operand reference
1000fb60	Analysis	Found Code	Found code from operand reference
1000fb70	Analysis	Found Code	Found code from operand reference
1000fb80	Analysis	Found Code	Found code from operand reference
1000fb90	Analysis	Found Code	Found code from operand reference
1000fbb0	Analysis	Found Code	Found code from operand reference
1000fbe0	Analysis	Found Code	Found code from operand reference
1000fc00	Analysis	Found Code	Found code from operand reference
1000fcc0	Analysis	Found Code	Found code from operand reference
1000fd50	Analysis	Found Code	Found code from operand reference
1000fd60	Analysis	Found Code	Found code from operand reference
1000fdb0	Analysis	Found Code	Found code from operand reference
1000fdc0	Analysis	Found Code	Found code from operand reference
1000fdd0	Analysis	Found Code	Found code from operand reference
1000fde0	Analysis	Found Code	Found code from operand reference
1000fdf0	Analysis	Found Code	Found code from operand reference
1000fe30	Analysis	Found Code	Found code from operand reference
1000fe70	Analysis	Found Code	Found code from operand reference
1000fe80	Analysis	Found Code	Found code from operand reference
1000fea0	Analysis	Found Code	Found code from operand reference
1001dd70	Analysis	Found Code	Found code from operand reference
1001dde0	Analysis	Found Code	Found code from operand reference
1001de40	Analysis	Found Code	Found code from operand reference
1001de60	Analysis	Found Code	Found code from operand reference
1001e200	Analysis	Found Code	Found code from operand reference
1001caf0	Analysis	Function ID Analyzer	Library Function - Single Match,  __fpmath
1001cb58	Analysis	Function ID Analyzer	Library Function - Single Match,  __ftol
1001cb80	Analysis	Function ID Analyzer	Library Function - Single Match,  _fclose
1001cbf0	Analysis	Function ID Analyzer	Library Function - Single Match,  _sscanf
1001cc40	Analysis	Function ID Analyzer	Library Function - Single Match,  __filbuf
1001cd30	Analysis	Function ID Analyzer	Library Function - Single Match,  __fsopen
1001cd80	Analysis	Function ID Analyzer	Library Function - Single Match,  _fread
1001cf20	Analysis	Function ID Analyzer	Library Function - Single Match,  _malloc
1001cf40	Analysis	Function ID Analyzer	Library Function - Single Match,  __nh_malloc
1001cf90	Analysis	Function ID Analyzer	Library Function - Single Match,  __heap_alloc
1001d000	Analysis	Function ID Analyzer	Library Function - Single Match,  _atol
1001d0b0	Analysis	Function ID Analyzer	Library Function - Single Match,  _atoi
1001d0c0	Analysis	Function ID Conflict	Multiple likely matching functions
1001d0c0	Analysis	Function ID Analyzer	Library Function - Multiple Matches, Different  __getenv_lk
1001d160	Analysis	Function ID Analyzer	Library Function - Single Match,  _sprintf
1001d1d0	Analysis	Function ID Analyzer	Library Function - Single Match,  _puts
1001d250	Analysis	Function ID Analyzer	Library Function - Single Match,  __cinit
1001d280	Analysis	Function ID Analyzer	Library Function - Single Match,  _exit
1001d2a0	Analysis	Function ID Analyzer	Library Function - Single Match,  __exit
1001d2c0	Analysis	Function ID Analyzer	Library Function - Single Match,  __cexit
1001d2d0	Analysis	Function ID Analyzer	Library Function - Single Match,  _doexit
1001d380	Analysis	Function ID Analyzer	Library Function - Single Match,  __initterm
1001d3a0	Analysis	Function ID Analyzer	Library Function - Single Match,  __CRT_INIT@12
1001d590	Analysis	Function ID Analyzer	Library Function - Single Match,  __amsg_exit
1001d6c0	Analysis	Function ID Analyzer	Library Function - Single Match,  _fflush
1001d710	Analysis	Function ID Analyzer	Library Function - Single Match,  __flush
1001d790	Analysis	Function ID Analyzer	Library Function - Single Match,  _flsall
1001d820	Analysis	Function ID Analyzer	Library Function - Single Match,  _vfprintf
1001d860	Analysis	Function ID Analyzer	Library Function - Single Match,  _fprintf
1001d8a0	Analysis	Function ID Analyzer	Library Function - Single Match,  _printf
1001d8e0	Analysis	Function ID Conflict	Multiple likely matching functions
1001d8e0	Analysis	Function ID Analyzer	Library Function - Multiple Matches, Different  __toupper_lk
1001d9d0	Analysis	Function ID Analyzer	Library Function - Single Match,  __isctype
1001da70	Analysis	Function ID Analyzer	Library Function - Single Match,  _fgetc
1001daa0	Analysis	Function ID Analyzer	Library Function - Single Match,  _strtok
1001db80	Analysis	Function ID Conflict	Multiple likely matching functions
1001db80	Analysis	Function ID Analyzer	Library Function - Multiple Matches, Different  __tolower_lk
1001dc70	Analysis	Function ID Analyzer	Library Function - Single Match,  _atof
1001dcd0	Analysis	Function ID Analyzer	Library Function - Single Match,  __setdefaultprecision
1001dcf0	Analysis	Function ID Analyzer	Library Function - Single Match,  __ms_p5_test_fdiv
1001dd40	Analysis	Function ID Analyzer	Library Function - Single Match,  __ms_p5_mp_test_fdiv
1001deb0	Analysis	Function ID Analyzer	Library Function - Single Match,  __cftoe
1001dff0	Analysis	Function ID Analyzer	Library Function - Single Match,  __cftof
1001e0f0	Analysis	Function ID Analyzer	Library Function - Single Match,  __cftog
1001e1a0	Analysis	Function ID Analyzer	Library Function - Single Match,  __cftoe_g
1001e1d0	Analysis	Function ID Analyzer	Library Function - Single Match,  __cftof_g
1001e270	Analysis	Function ID Analyzer	Library Function - Single Match,  __shift
1001e2a0	Analysis	Function ID Analyzer	Library Function - Single Match,  _free
