address	length	data_type	value
10029528	6	string	IsTNT
10029530	13	string	kernel32.dll
10029557	29	string	?IsProcessorFeaturePresent
10029574	9	string	KERNEL32
100295c2	12	unicode	null)
100295d1	6	string	null)
10029634	16	string	runtime error\s
10029648	16	string	TLOSS error\r\n
10029658	16	string	SING error\r\n
10029668	16	string	DOMAIN error\r\n
10029678	40	string	R6028\r\n- unable to initialize heap\r\n
100296a0	56	string	R6027\r\n- not enough space for lowio initialization\r\n
100296d8	56	string	R6026\r\n- not enough space for stdio initialization\r\n
10029710	40	string	R6025\r\n- pure virtual function call\r\n
10029738	56	string	R6024\r\n- not enough space for _onexit/atexit table\r\n
10029770	44	string	R6019\r\n- unable to open console device\r\n
1002979c	36	string	R6018\r\n- unexpected heap error\r\n
100297c0	48	string	R6017\r\n- unexpected multithread lock error\r\n
100297f0	44	string	R6016\r\n- not enough space for thread data\r\n
1002981c	36	string	\r\nabnormal program termination\r\n
10029840	44	string	R6009\r\n- not enough space for environment\r\n
1002986c	44	string	R6008\r\n- not enough space for arguments\r\n
10029898	40	string	R6002\r\n- floating point not loaded\r\n
100298c0	37	string	Microsoft Visual C++ Runtime Library
100298ec	28	string	Runtime Error!\n\nProgram:\s
1002990c	24	string	<program name unknown>
10029947	21	string	?GetLastActivePopup
1002995c	16	string	GetActiveWindow
1002996c	12	string	MessageBoxA
10029978	11	string	user32.dll
10029a04	8	string	floor
1002a04e	12	TerminatedCString	glide2x.dll
1002a05a	26	TerminatedCString	_ConvertAndDownloadRle@64
1002a074	16	TerminatedCString	_grAADrawLine@8
1002a084	17	TerminatedCString	_grAADrawPoint@4
1002a095	20	TerminatedCString	_grAADrawPolygon@12
1002a0a9	29	TerminatedCString	_grAADrawPolygonVertexList@8
1002a0c6	21	TerminatedCString	_grAADrawTriangle@24
1002a0db	25	TerminatedCString	_grAlphaBlendFunction@16
1002a0f4	19	TerminatedCString	_grAlphaCombine@20
1002a107	32	TerminatedCString	_grAlphaControlsITRGBLighting@4
1002a127	23	TerminatedCString	_grAlphaTestFunction@4
1002a13e	29	TerminatedCString	_grAlphaTestReferenceValue@4
1002a15b	18	TerminatedCString	_grBufferClear@12
1002a16d	22	TerminatedCString	_grBufferNumPending@0
1002a183	16	TerminatedCString	_grBufferSwap@4
1002a193	18	TerminatedCString	_grCheckForRoom@4
1002a1a5	19	TerminatedCString	_grChromakeyMode@4
1002a1b8	20	TerminatedCString	_grChromakeyValue@4
1002a1cc	17	TerminatedCString	_grClipWindow@16
1002a1dd	19	TerminatedCString	_grColorCombine@20
1002a1f0	15	TerminatedCString	_grColorMask@8
1002a1ff	26	TerminatedCString	_grConstantColorValue4@16
1002a219	24	TerminatedCString	_grConstantColorValue@4
1002a231	14	TerminatedCString	_grCullMode@4
1002a23f	20	TerminatedCString	_grDepthBiasLevel@4
1002a253	25	TerminatedCString	_grDepthBufferFunction@4
1002a26c	21	TerminatedCString	_grDepthBufferMode@4
1002a281	15	TerminatedCString	_grDepthMask@4
1002a290	23	TerminatedCString	_grDisableAllEffects@0
1002a2a7	16	TerminatedCString	_grDitherMode@4
1002a2b7	14	TerminatedCString	_grDrawLine@8
1002a2c5	24	TerminatedCString	_grDrawPlanarPolygon@12
1002a2dd	33	TerminatedCString	_grDrawPlanarPolygonVertexList@8
1002a2fe	15	TerminatedCString	_grDrawPoint@4
1002a30d	18	TerminatedCString	_grDrawPolygon@12
1002a31f	27	TerminatedCString	_grDrawPolygonVertexList@8
1002a33a	19	TerminatedCString	_grDrawTriangle@12
1002a34d	22	TerminatedCString	_grErrorSetCallback@4
1002a363	19	TerminatedCString	_grFogColorValue@4
1002a376	13	TerminatedCString	_grFogMode@4
1002a383	14	TerminatedCString	_grFogTable@4
1002a391	26	TerminatedCString	_grGammaCorrectionValue@4
1002a3ab	19	TerminatedCString	_grGlideGetState@4
1002a3be	21	TerminatedCString	_grGlideGetVersion@4
1002a3d3	15	TerminatedCString	_grGlideInit@0
1002a3e2	19	TerminatedCString	_grGlideSetState@4
1002a3f5	24	TerminatedCString	_grGlideShamelessPlug@4
1002a40d	19	TerminatedCString	_grGlideShutdown@0
1002a420	11	TerminatedCString	_grHints@8
1002a42b	22	TerminatedCString	_grLfbConstantAlpha@4
1002a441	22	TerminatedCString	_grLfbConstantDepth@4
1002a457	14	TerminatedCString	_grLfbLock@24
1002a465	20	TerminatedCString	_grLfbReadRegion@28
1002a479	15	TerminatedCString	_grLfbUnlock@8
1002a488	25	TerminatedCString	_grLfbWriteColorFormat@4
1002a4a1	26	TerminatedCString	_grLfbWriteColorSwizzle@8
1002a4bb	21	TerminatedCString	_grLfbWriteRegion@32
1002a4d0	18	TerminatedCString	_grRenderBuffer@4
1002a4e2	19	TerminatedCString	_grResetTriStats@0
1002a4f5	13	TerminatedCString	_grSplash@20
1002a502	24	TerminatedCString	_grSstConfigPipeline@12
1002a51a	16	TerminatedCString	_grSstControl@4
1002a52a	13	TerminatedCString	_grSstIdle@0
1002a537	15	TerminatedCString	_grSstIsBusy@0
1002a546	15	TerminatedCString	_grSstOrigin@4
1002a555	18	TerminatedCString	_grSstPerfStats@4
1002a567	20	TerminatedCString	_grSstQueryBoards@4
1002a57b	22	TerminatedCString	_grSstQueryHardware@4
1002a591	23	TerminatedCString	_grSstResetPerfStats@0
1002a5a8	21	TerminatedCString	_grSstScreenHeight@0
1002a5bd	20	TerminatedCString	_grSstScreenWidth@0
1002a5d1	15	TerminatedCString	_grSstSelect@4
1002a5e0	15	TerminatedCString	_grSstStatus@0
1002a5ef	19	TerminatedCString	_grSstVRetraceOn@0
1002a602	16	TerminatedCString	_grSstVidMode@8
1002a612	18	TerminatedCString	_grSstVideoLine@0
1002a624	17	TerminatedCString	_grSstWinClose@0
1002a635	17	TerminatedCString	_grSstWinOpen@28
1002a646	25	TerminatedCString	_grTexCalcMemRequired@16
1002a65f	19	TerminatedCString	_grTexClampMode@12
1002a672	17	TerminatedCString	_grTexCombine@28
1002a683	24	TerminatedCString	_grTexCombineFunction@8
1002a69b	23	TerminatedCString	_grTexDetailControl@16
1002a6b2	24	TerminatedCString	_grTexDownloadMipMap@16
1002a6ca	29	TerminatedCString	_grTexDownloadMipMapLevel@32
1002a6e7	36	TerminatedCString	_grTexDownloadMipMapLevelPartial@40
1002a70b	23	TerminatedCString	_grTexDownloadTable@12
1002a722	30	TerminatedCString	_grTexDownloadTablePartial@20
1002a740	20	TerminatedCString	_grTexFilterMode@12
1002a754	21	TerminatedCString	_grTexLodBiasValue@8
1002a769	19	TerminatedCString	_grTexMaxAddress@4
1002a77c	19	TerminatedCString	_grTexMinAddress@4
1002a78f	20	TerminatedCString	_grTexMipMapMode@12
1002a7a3	18	TerminatedCString	_grTexMultibase@8
1002a7b5	26	TerminatedCString	_grTexMultibaseAddress@20
1002a7cf	17	TerminatedCString	_grTexNCCTable@8
1002a7e0	16	TerminatedCString	_grTexSource@16
1002a7f0	27	TerminatedCString	_grTexTextureMemRequired@8
1002a80b	14	TerminatedCString	_grTriStats@8
1002a819	16	TerminatedCString	_gu3dfGetInfo@8
1002a829	13	TerminatedCString	_gu3dfLoad@8
1002a836	29	TerminatedCString	_guAADrawTriangleWithClip@12
1002a853	17	TerminatedCString	_guAlphaSource@4
1002a864	26	TerminatedCString	_guColorCombineFunction@4
1002a87e	35	TerminatedCString	_guDrawPolygonVertexListWithClip@8
1002a8a1	27	TerminatedCString	_guDrawTriangleWithClip@12
1002a8bc	18	TerminatedCString	_guEncodeRLE16@16
1002a8ce	21	TerminatedCString	_guEndianSwapBytes@4
1002a8e3	21	TerminatedCString	_guEndianSwapWords@4
1002a8f8	19	TerminatedCString	_guFbReadRegion@24
