address	type	category	comment
10038720	Info	PE Header	IMAGE_DIRECTORY_ENTRY_EXPORT
10046000	Info	PE Header	IMAGE_DIRECTORY_ENTRY_IMPORT
10048000	Info	PE Header	IMAGE_DIRECTORY_ENTRY_BASERELOC
10036000	Info	PE Header	IMAGE_DIRECTORY_ENTRY_DEBUG
1004634c	Info	PE Header	IMAGE_DIRECTORY_ENTRY_IAT
10017c45	Analysis	Non-Returning Function	Non-Returning Function Found
10001005	Analysis	Found Code	Found code from operand reference
1000100f	Analysis	Found Code	Found code from operand reference
10001014	Analysis	Found Code	Found code from operand reference
1000101e	Analysis	Found Code	Found code from operand reference
10001037	Analysis	Found Code	Found code from operand reference
10001041	Analysis	Found Code	Found code from operand reference
1000106e	Analysis	Found Code	Found code from operand reference
10001078	Analysis	Found Code	Found code from operand reference
1000107d	Analysis	Found Code	Found code from operand reference
1000108c	Analysis	Found Code	Found code from operand reference
1000109b	Analysis	Found Code	Found code from operand reference
100010b4	Analysis	Found Code	Found code from operand reference
100010be	Analysis	Found Code	Found code from operand reference
100010d2	Analysis	Found Code	Found code from operand reference
100010d7	Analysis	Found Code	Found code from operand reference
100010dc	Analysis	Found Code	Found code from operand reference
10001118	Analysis	Found Code	Found code from operand reference
10001122	Analysis	Found Code	Found code from operand reference
1000114a	Analysis	Found Code	Found code from operand reference
1000114f	Analysis	Found Code	Found code from operand reference
10001159	Analysis	Found Code	Found code from operand reference
10001168	Analysis	Found Code	Found code from operand reference
10001177	Analysis	Found Code	Found code from operand reference
10001195	Analysis	Found Code	Found code from operand reference
100011d6	Analysis	Found Code	Found code from operand reference
100011e0	Analysis	Found Code	Found code from operand reference
100011ea	Analysis	Found Code	Found code from operand reference
100011f4	Analysis	Found Code	Found code from operand reference
10001208	Analysis	Found Code	Found code from operand reference
10001217	Analysis	Found Code	Found code from operand reference
10001221	Analysis	Found Code	Found code from operand reference
1000123f	Analysis	Found Code	Found code from operand reference
10001253	Analysis	Found Code	Found code from operand reference
100012a3	Analysis	Found Code	Found code from operand reference
100012ad	Analysis	Found Code	Found code from operand reference
100012bc	Analysis	Found Code	Found code from operand reference
100012c1	Analysis	Found Code	Found code from operand reference
100012c6	Analysis	Found Code	Found code from operand reference
100012cb	Analysis	Found Code	Found code from operand reference
100012d0	Analysis	Found Code	Found code from operand reference
100012e9	Analysis	Found Code	Found code from operand reference
10001302	Analysis	Found Code	Found code from operand reference
1000132f	Analysis	Found Code	Found code from operand reference
10001339	Analysis	Found Code	Found code from operand reference
1000133e	Analysis	Found Code	Found code from operand reference
10001357	Analysis	Found Code	Found code from operand reference
1000138e	Analysis	Found Code	Found code from operand reference
10001393	Analysis	Found Code	Found code from operand reference
100013a2	Analysis	Found Code	Found code from operand reference
10011cb0	Analysis	Found Code	Found code from operand reference
10018024	Analysis	Found Code	Found code from operand reference
