address	type	comment
100001d8	EOL	.text
10000200	EOL	.rdata
10000228	EOL	.data
10000250	EOL	.idata
10000278	EOL	.reloc
10001073	PRE	0x1073  3  instantiate_winsys
100011e5	PLATE	void __cdecl deallocate_winsys(class Winsys *)
100011e5	PRE	0x11e5  1  ?deallocate_winsys@@YAXPAVWinsys@@@Z
100011f9	PRE	0x11f9  2  detect_winsys
100013bb	PRE	0x13bb  4  process_exit
100114e0	PLATE	Library Function - Single Match\n __ftol\n\nLibrary: Visual Studio
10011850	PLATE	Library Function - Single Match\n _memset\n\nLibraries: Visual Studio 1998 Debug, Visual Studio 1998 Release
100118f0	PLATE	Library Function - Single Match\n void __stdcall _CallMemberFunction0(void *,void *)\n\nLibraries: Visual Studio 2003 Debug, Visual Studio 2003 Release
10011980	PLATE	Library Function - Multiple Matches With Different Base Names\n ___CxxFrameHandler\n ___CxxFrameHandler2\n ___CxxFrameHandler3\n\nLibraries: Visual Studio 2003, Visual Studio 2005, Visual Studio 2008, Visual Studio 2010
100119c0	PLATE	Library Function - Single Match\n ___CxxLongjmpUnwind@4\n\nLibraries: Visual Studio 2003, Visual Studio 2005, Visual Studio 2008, Visual Studio 2010
10011c90	PLATE	Library Function - Single Match\n __global_unwind2\n\nLibrary: Visual Studio
10011cd2	PLATE	Library Function - Single Match\n __local_unwind2\n\nLibraries: Visual Studio 1998 Debug, Visual Studio 1998 Release, Visual Studio 2003 Debug, Visual Studio 2003 Release
10011d3a	PLATE	Library Function - Single Match\n __abnormal_termination\n\nLibrary: Visual Studio
10011d5d	PLATE	Library Function - Single Match\n __NLG_Notify1\n\nLibraries: Visual Studio 2017 Debug, Visual Studio 2017 Release, Visual Studio 2019 Debug, Visual Studio 2019 Release
10011ef0	PLATE	Library Function - Single Match\n _rand\n\nLibraries: Visual Studio 2003 Debug, Visual Studio 2005 Debug, Visual Studio 2008 Debug
10011f30	PLATE	Library Function - Single Match\n _malloc\n\nLibrary: Visual Studio
10011f60	PLATE	Library Function - Single Match\n __malloc_dbg\n\nLibrary: Visual Studio
10012390	PLATE	Library Function - Single Match\n _calloc\n\nLibrary: Visual Studio 2003 Debug
100123c0	PLATE	Library Function - Single Match\n __calloc_dbg\n\nLibrary: Visual Studio 2003 Debug
10012420	PLATE	Library Function - Multiple Matches With Different Base Names\n __expand\n _realloc\n\nLibrary: Visual Studio 2003 Debug
10012450	PLATE	Library Function - Multiple Matches With Different Base Names\n __expand_dbg\n __realloc_dbg\n\nLibrary: Visual Studio 2003 Debug
10012a00	PLATE	Library Function - Multiple Matches With Different Base Names\n __expand\n _realloc\n\nLibrary: Visual Studio 2003 Debug
10012a30	PLATE	Library Function - Multiple Matches With Different Base Names\n __expand_dbg\n __realloc_dbg\n\nLibrary: Visual Studio 2003 Debug
10012b00	PLATE	Library Function - Single Match\n __free_dbg\n\nLibrary: Visual Studio 2003 Debug
10013750	PLATE	Library Function - Single Match\n __CrtIsValidPointer\n\nLibrary: Visual Studio 2003 Debug
100138d0	PLATE	Library Function - Single Match\n __CrtIsMemoryBlock\n\nLibrary: Visual Studio 2003 Debug
100142d0	PLATE	Library Function - Single Match\n __exit\n\nLibrary: Visual Studio 2003 Debug
10014440	PLATE	Library Function - Single Match\n __initterm\n\nLibrary: Visual Studio 2003 Debug
100145a0	PLATE	Library Function - Single Match\n int __cdecl ArrayUnwindFilter(struct _EXCEPTION_POINTERS *)\n\nLibrary: Visual Studio
100145d0	PLATE	Library Function - Single Match\n void __stdcall `eh vector constructor iterator'(void *,unsigned int,int,void (__thiscall*)(void *),void (__thiscall*)(void *))\n\nLibraries: Visual Studio 2003 Debug, Visual Studio 2003 Release
10014670	PLATE	Library Function - Single Match\n _strlen\n\nLibraries: Visual Studio 1998 Debug, Visual Studio 1998 Release
10014a30	PLATE	Library Function - Single Match\n __amsg_exit\n\nLibrary: Visual Studio 2003 Debug
100150f0	PLATE	Library Function - Single Match\n __setdefaultprecision\n\nLibrary: Visual Studio 2003 Debug
10015170	PLATE	Library Function - Single Match\n __ms_p5_mp_test_fdiv\n\nLibraries: Visual Studio 2003, Visual Studio 2005, Visual Studio 2008
10015270	PLATE	Library Function - Single Match\n __cropzeros\n\nLibraries: Visual Studio 2003 Debug, Visual Studio 2003 Release
10015350	PLATE	Library Function - Single Match\n __positive\n\nLibraries: Visual Studio 2003 Debug, Visual Studio 2003 Release
10015380	PLATE	Library Function - Single Match\n __fassign\n\nLibraries: Visual Studio 2003 Debug, Visual Studio 2003 Release
10015860	PLATE	Library Function - Single Match\n __cfltcvt\n\nLibraries: Visual Studio 2003 Debug, Visual Studio 2003 Release
100158c0	PLATE	Library Function - Single Match\n __shift\n\nLibrary: Visual Studio
100158f0	PLATE	Library Function - Single Match\n _abort\n\nLibrary: Visual Studio 2003 Debug
10015f60	PLATE	Library Function - Single Match\n __itoa\n\nLibrary: Visual Studio 2003 Debug
10015fb0	PLATE	Library Function - Single Match\n _xtoa\n\nLibrary: Visual Studio 2003 Debug
10016080	PLATE	Library Function - Single Match\n __ltoa\n\nLibrary: Visual Studio 2003 Debug
100160c0	PLATE	Library Function - Single Match\n __ultoa\n\nLibrary: Visual Studio 2003 Debug
100160e0	PLATE	Library Function - Single Match\n __i64toa\n\nLibrary: Visual Studio 2003 Debug
10016130	PLATE	Library Function - Single Match\n _x64toa@20\n\nLibrary: Visual Studio 2003 Debug\n__stdcall x64toa,20
10016230	PLATE	Library Function - Single Match\n __ui64toa\n\nLibrary: Visual Studio 2003 Debug
10016250	PLATE	Library Function - Single Match\n _strncat\n\nLibraries: Visual Studio 1998 Debug, Visual Studio 1998 Release
10016380	PLATE	Library Function - Single Match\n _strncpy\n\nLibraries: Visual Studio 1998 Debug, Visual Studio 1998 Release
10017000	PLATE	Library Function - Single Match\n int __cdecl ArrayUnwindFilter(struct _EXCEPTION_POINTERS *)\n\nLibrary: Visual Studio
10017030	PLATE	Library Function - Single Match\n void __cdecl CatchIt(struct EHExceptionRecord *,struct EHRegistrationNode *,struct _CONTEXT *,void *,struct _s_FuncInfo const *,struct _s_HandlerType const *,struct _s_CatchableType const *,struct _s_TryBlockMapEntry const *,int,struct EHRegistrationNode *,unsigned char)\n\nLibrary: Visual Studio
10017510	PLATE	Library Function - Single Match\n ___DestructExceptionObject\n\nLibraries: Visual Studio 2003 Debug, Visual Studio 2003 Release
100175a0	PLATE	Library Function - Multiple Matches With Different Base Names\n void * __cdecl AdjustPointer(void *,struct PMD const &)\n ___AdjustPointer\n\nLibrary: Visual Studio
100175f0	PLATE	Library Function - Single Match\n __CallSettingFrame@12\n\nLibraries: Visual Studio 2017 Debug, Visual Studio 2017 Release, Visual Studio 2019 Debug, Visual Studio 2019 Release
10017a30	PLATE	Library Function - Single Match\n __trandisp1\n\nLibrary: Visual Studio
10017a97	PLATE	Library Function - Single Match\n __trandisp2\n\nLibraries: Visual Studio 1998, Visual Studio 2003, Visual Studio 2005, Visual Studio 2008
10017c45	PLATE	Library Function - Single Match\n __fload_withFB\n\nLibrary: Visual Studio
10017cab	PLATE	Library Function - Single Match\n __math_exit\n\nLibrary: Visual Studio
10017da7	PLATE	Library Function - Single Match\n __startOneArgErrorHandling\n\nLibrary: Visual Studio
10017df0	PLATE	Library Function - Single Match\n int (__cdecl*__cdecl _set_new_handler(int (__cdecl*)(unsigned int)))(unsigned int)\n\nLibrary: Visual Studio 2003 Debug
10017e30	PLATE	Library Function - Single Match\n __callnewh\n\nLibrary: Visual Studio 2003 Debug
10018100	PLATE	Library Function - Single Match\n __malloc_base\n\nLibrary: Visual Studio 2003 Debug
