address	type	name	full_name	namespace	source	primary	external	external_entry
EXTERNAL:00000001	Function	GetVersion	KERNEL32.DLL::GetVersion	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000002	Function	GlobalFree	KERNEL32.DLL::GlobalFree	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000003	Function	EnterCriticalSection	KERNEL32.DLL::EnterCriticalSection	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000004	Function	LeaveCriticalSection	KERNEL32.DLL::LeaveCriticalSection	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000005	Function	HeapCreate	KERNEL32.DLL::HeapCreate	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000006	Function	HeapDestroy	KERNEL32.DLL::HeapDestroy	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000007	Function	HeapAlloc	KERNEL32.DLL::HeapAlloc	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000008	Function	FatalAppExitA	KERNEL32.DLL::FatalAppExitA	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000009	Function	DeleteCriticalSection	KERNEL32.DLL::DeleteCriticalSection	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:0000000a	Function	SetEnvironmentVariableA	KERNEL32.DLL::SetEnvironmentVariableA	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:0000000b	Function	CompareStringW	KERNEL32.DLL::CompareStringW	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:0000000c	Function	CompareStringA	KERNEL32.DLL::CompareStringA	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:0000000d	Function	GetLocaleInfoW	KERNEL32.DLL::GetLocaleInfoW	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:0000000e	Function	GetTimeZoneInformation	KERNEL32.DLL::GetTimeZoneInformation	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:0000000f	Function	GetUserDefaultLCID	KERNEL32.DLL::GetUserDefaultLCID	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000010	Function	EnumSystemLocalesA	KERNEL32.DLL::EnumSystemLocalesA	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000011	Function	GetLocaleInfoA	KERNEL32.DLL::GetLocaleInfoA	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000012	Function	IsValidCodePage	KERNEL32.DLL::IsValidCodePage	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000013	Function	IsValidLocale	KERNEL32.DLL::IsValidLocale	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000014	Function	CloseHandle	KERNEL32.DLL::CloseHandle	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000015	Function	RaiseException	KERNEL32.DLL::RaiseException	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000016	Function	SetStdHandle	KERNEL32.DLL::SetStdHandle	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000017	Function	LCMapStringW	KERNEL32.DLL::LCMapStringW	KERNEL32.DLL	IMPORTED	true	true	false
