library	label	original_imported_name	parent	address	external_space_address	is_function	source	data_type
GLIDE2X.DLL	grHints	_grHints@8	GLIDE2X.DLL	00046906	EXTERNAL:00000056	true	IMPORTED	null
GLIDE2X.DLL	grTexDownloadMipMap	_grTexDownloadMipMap@16	GLIDE2X.DLL	00046adc	EXTERNAL:00000057	true	IMPORTED	null
GLIDE2X.DLL	grTexMinAddress	_grTexMinAddress@4	GLIDE2X.DLL	00046ac6	EXTERNAL:00000058	true	IMPORTED	null
GLIDE2X.DLL	grTexMaxAddress	_grTexMaxAddress@4	GLIDE2X.DLL	00046ab0	EXTERNAL:00000059	true	IMPORTED	null
GLIDE2X.DLL	grGlideShutdown	_grGlideShutdown@0	GLIDE2X.DLL	00046a9a	EXTERNAL:0000005a	true	IMPORTED	null
GLIDE2X.DLL	grSstQueryBoards	_grSstQueryBoards@4	GLIDE2X.DLL	00046a84	EXTERNAL:0000005b	true	IMPORTED	null
GLIDE2X.DLL	grGlideInit	_grGlideInit@0	GLIDE2X.DLL	00046a72	EXTERNAL:0000005c	true	IMPORTED	null
GLIDE2X.DLL	grSstQueryHardware	_grSstQueryHardware@4	GLIDE2X.DLL	00046a5a	EXTERNAL:0000005d	true	IMPORTED	null
GLIDE2X.DLL	grLfbReadRegion	_grLfbReadRegion@28	GLIDE2X.DLL	00046a44	EXTERNAL:0000005e	true	IMPORTED	null
GLIDE2X.DLL	grTexSource	_grTexSource@16	GLIDE2X.DLL	00046a32	EXTERNAL:0000005f	true	IMPORTED	null
GLIDE2X.DLL	grDrawPolygonVertexList	_grDrawPolygonVertexList@8	GLIDE2X.DLL	00046a14	EXTERNAL:00000060	true	IMPORTED	null
GLIDE2X.DLL	grAADrawPoint	_grAADrawPoint@4	GLIDE2X.DLL	00046a00	EXTERNAL:00000061	true	IMPORTED	null
GLIDE2X.DLL	grDrawPoint	_grDrawPoint@4	GLIDE2X.DLL	000469ee	EXTERNAL:00000062	true	IMPORTED	null
GLIDE2X.DLL	grAADrawLine	_grAADrawLine@8	GLIDE2X.DLL	000469dc	EXTERNAL:00000063	true	IMPORTED	null
GLIDE2X.DLL	grDrawLine	_grDrawLine@8	GLIDE2X.DLL	000469cc	EXTERNAL:00000064	true	IMPORTED	null
GLIDE2X.DLL	grDrawTriangle	_grDrawTriangle@12	GLIDE2X.DLL	000469b6	EXTERNAL:00000065	true	IMPORTED	null
GLIDE2X.DLL	grSstWinClose	_grSstWinClose@0	GLIDE2X.DLL	000469a2	EXTERNAL:00000066	true	IMPORTED	null
GLIDE2X.DLL	grBufferSwap	_grBufferSwap@4	GLIDE2X.DLL	00046990	EXTERNAL:00000067	true	IMPORTED	null
GLIDE2X.DLL	grSstIdle	_grSstIdle@0	GLIDE2X.DLL	00046980	EXTERNAL:00000068	true	IMPORTED	null
GLIDE2X.DLL	grBufferClear	_grBufferClear@12	GLIDE2X.DLL	0004696c	EXTERNAL:00000069	true	IMPORTED	null
GLIDE2X.DLL	grSstSelect	_grSstSelect@4	GLIDE2X.DLL	0004695a	EXTERNAL:0000006a	true	IMPORTED	null
GLIDE2X.DLL	grSstWinOpen	_grSstWinOpen@28	GLIDE2X.DLL	00046946	EXTERNAL:0000006b	true	IMPORTED	null
GLIDE2X.DLL	grErrorSetCallback	_grErrorSetCallback@4	GLIDE2X.DLL	0004692e	EXTERNAL:0000006c	true	IMPORTED	null
GLIDE2X.DLL	grDisableAllEffects	_grDisableAllEffects@0	GLIDE2X.DLL	00046914	EXTERNAL:0000006d	true	IMPORTED	null
GLIDE2X.DLL	grRenderBuffer	_grRenderBuffer@4	GLIDE2X.DLL	000468f2	EXTERNAL:0000006e	true	IMPORTED	null
GLIDE2X.DLL	grCullMode	_grCullMode@4	GLIDE2X.DLL	000468e2	EXTERNAL:0000006f	true	IMPORTED	null
GLIDE2X.DLL	grDepthBufferMode	_grDepthBufferMode@4	GLIDE2X.DLL	000468ca	EXTERNAL:00000070	true	IMPORTED	null
GLIDE2X.DLL	grDepthBufferFunction	_grDepthBufferFunction@4	GLIDE2X.DLL	000468ae	EXTERNAL:00000071	true	IMPORTED	null
GLIDE2X.DLL	grDepthMask	_grDepthMask@4	GLIDE2X.DLL	0004689c	EXTERNAL:00000072	true	IMPORTED	null
GLIDE2X.DLL	grFogMode	_grFogMode@4	GLIDE2X.DLL	0004688c	EXTERNAL:00000073	true	IMPORTED	null
GLIDE2X.DLL	grGlideGetState	_grGlideGetState@4	GLIDE2X.DLL	00046876	EXTERNAL:00000074	true	IMPORTED	null
GLIDE2X.DLL	grAlphaBlendFunction	_grAlphaBlendFunction@16	GLIDE2X.DLL	0004685a	EXTERNAL:00000075	true	IMPORTED	null
GLIDE2X.DLL	grColorCombine	_grColorCombine@20	GLIDE2X.DLL	00046844	EXTERNAL:00000076	true	IMPORTED	null
GLIDE2X.DLL	grConstantColorValue	_grConstantColorValue@4	GLIDE2X.DLL	0004682a	EXTERNAL:00000077	true	IMPORTED	null
GLIDE2X.DLL	grAlphaCombine	_grAlphaCombine@20	GLIDE2X.DLL	00046814	EXTERNAL:00000078	true	IMPORTED	null
GLIDE2X.DLL	grFogColorValue	_grFogColorValue@4	GLIDE2X.DLL	000467fe	EXTERNAL:00000079	true	IMPORTED	null
GLIDE2X.DLL	grTexCombine	_grTexCombine@28	GLIDE2X.DLL	000467ea	EXTERNAL:0000007a	true	IMPORTED	null
GLIDE2X.DLL	grAlphaTestFunction	_grAlphaTestFunction@4	GLIDE2X.DLL	000467d0	EXTERNAL:0000007b	true	IMPORTED	null
GLIDE2X.DLL	grAlphaTestReferenceValue	_grAlphaTestReferenceValue@4	GLIDE2X.DLL	000467b0	EXTERNAL:0000007c	true	IMPORTED	null
GLIDE2X.DLL	grTexFilterMode	_grTexFilterMode@12	GLIDE2X.DLL	0004679a	EXTERNAL:0000007d	true	IMPORTED	null
GLIDE2X.DLL	grTexMipMapMode	_grTexMipMapMode@12	GLIDE2X.DLL	00046784	EXTERNAL:0000007e	true	IMPORTED	null
GLIDE2X.DLL	grTexClampMode	_grTexClampMode@12	GLIDE2X.DLL	0004676e	EXTERNAL:0000007f	true	IMPORTED	null
GLIDE2X.DLL	grChromakeyMode	_grChromakeyMode@4	GLIDE2X.DLL	00046758	EXTERNAL:00000080	true	IMPORTED	null
GLIDE2X.DLL	grChromakeyValue	_grChromakeyValue@4	GLIDE2X.DLL	00046742	EXTERNAL:00000081	true	IMPORTED	null
GLIDE2X.DLL	grTexDownloadTable	_grTexDownloadTable@12	GLIDE2X.DLL	00046728	EXTERNAL:00000082	true	IMPORTED	null
GLIDE2X.DLL	grGlideSetState	_grGlideSetState@4	GLIDE2X.DLL	00046712	EXTERNAL:00000083	true	IMPORTED	null
GLIDE2X.DLL	grTexCalcMemRequired	_grTexCalcMemRequired@16	GLIDE2X.DLL	000466f6	EXTERNAL:00000084	true	IMPORTED	null
GLIDE2X.DLL	grClipWindow	_grClipWindow@16	GLIDE2X.DLL	000466e2	EXTERNAL:00000085	true	IMPORTED	null
KERNEL32.DLL	GlobalFree	\N	KERNEL32.DLL	00046656	EXTERNAL:00000002	true	IMPORTED	null
KERNEL32.DLL	IsBadCodePtr	\N	KERNEL32.DLL	00046ede	EXTERNAL:00000021	true	IMPORTED	null
KERNEL32.DLL	GetStartupInfoA	\N	KERNEL32.DLL	00046e02	EXTERNAL:0000002a	true	IMPORTED	null
KERNEL32.DLL	SetHandleCount	\N	KERNEL32.DLL	00046de2	EXTERNAL:0000002c	true	IMPORTED	null
KERNEL32.DLL	GetCurrentThread	\N	KERNEL32.DLL	00046c90	EXTERNAL:0000002d	true	IMPORTED	null
KERNEL32.DLL	InterlockedIncrement	\N	KERNEL32.DLL	00046d4c	EXTERNAL:00000035	true	IMPORTED	null
KERNEL32.DLL	InterlockedDecrement	\N	KERNEL32.DLL	00046d1e	EXTERNAL:00000037	true	IMPORTED	null
KERNEL32.DLL	IsBadWritePtr	\N	KERNEL32.DLL	00046b24	EXTERNAL:0000003d	true	IMPORTED	null
KERNEL32.DLL	IsBadReadPtr	\N	KERNEL32.DLL	00046b34	EXTERNAL:0000003e	true	IMPORTED	null
KERNEL32.DLL	GetCurrentProcess	\N	KERNEL32.DLL	00046b76	EXTERNAL:00000042	true	IMPORTED	null
KERNEL32.DLL	GetCurrentThreadId	\N	KERNEL32.DLL	00046c38	EXTERNAL:00000046	true	IMPORTED	null
KERNEL32.DLL	GetProcAddress	\N	KERNEL32.DLL	00046bda	EXTERNAL:00000047	true	IMPORTED	null
KERNEL32.DLL	GetLastError	\N	KERNEL32.DLL	00046c00	EXTERNAL:00000049	true	IMPORTED	null
KERNEL32.DLL	TlsGetValue	\N	KERNEL32.DLL	00046c82	EXTERNAL:0000004f	true	IMPORTED	null
KERNEL32.DLL	ExitProcess	\N	KERNEL32.DLL	00046b54	EXTERNAL:00000040	true	IMPORTED	null
KERNEL32.DLL	RtlUnwind	\N	KERNEL32.DLL	00046b18	EXTERNAL:0000003c	true	IMPORTED	null
KERNEL32.DLL	GlobalAlloc	\N	KERNEL32.DLL	00046648	EXTERNAL:00000044	true	IMPORTED	null
KERNEL32.DLL	GetModuleFileNameA	\N	KERNEL32.DLL	00046b02	EXTERNAL:0000003b	true	IMPORTED	null
KERNEL32.DLL	HeapValidate	\N	KERNEL32.DLL	00046b44	EXTERNAL:0000003f	true	IMPORTED	null
KERNEL32.DLL	TerminateProcess	\N	KERNEL32.DLL	00046b62	EXTERNAL:00000041	true	IMPORTED	null
KERNEL32.DLL	GetVersion	\N	KERNEL32.DLL	00046b9c	EXTERNAL:00000001	true	IMPORTED	null
KERNEL32.DLL	GetCommandLineA	\N	KERNEL32.DLL	00046b8a	EXTERNAL:00000043	true	IMPORTED	null
KERNEL32.DLL	EnterCriticalSection	\N	KERNEL32.DLL	00046baa	EXTERNAL:00000003	true	IMPORTED	null
