address	length	data_type	value
10036244	37	string	Microsoft Visual C++ Runtime Library
1003626c	61	string	(Press Retry to debug the application - JIT must be enabled)
100362ac	112	string	For information on how your program can cause an assertion\nfailure, see the Visual C++ documentation on asserts
1003631c	13	string	Expression:\s
1003632c	7	string	Line:\s
10036334	7	string	File:\s
1003633c	23	string	<program name unknown>
10036354	10	string	Program:\s
10036360	18	string	Assertion failed!
10036374	7	string	Client
1003637c	7	string	Ignore
10036388	7	string	Normal
100363a4	50	string	Error: memory allocation: bad memory block type.\n
100363d8	36	string	Invalid allocation size: %u bytes.\n
10036400	33	string	Client hook allocation failure.\n
10036424	53	string	Client hook allocation failure at file %hs line %d.\n
1003645c	10	string	dbgheap.c
10036468	18	string	_CrtCheckMemory()
1003648c	26	string	_pFirstBlock == pOldBlock
100364a8	25	string	_pLastBlock == pOldBlock
100364c4	50	string	fRealloc || (!fRealloc && pNewBlock == pOldBlock)
100364f8	58	string	_BLOCK_TYPE(pOldBlock->nBlockUse)==_BLOCK_TYPE(nBlockUse)
10036534	69	string	pOldBlock->nLine == IGNORE_LINE && pOldBlock->lRequest == IGNORE_REQ
1003657c	34	string	_CrtIsValidHeapPointer(pUserData)
100365a0	45	string	Allocation too large or negative: %u bytes.\n
100365d0	36	string	Client hook re-allocation failure.\n
100365f4	56	string	Client hook re-allocation failure at file %hs line %d.\n
1003664c	22	string	_pFirstBlock == pHead
10036664	21	string	_pLastBlock == pHead
1003667c	30	string	pHead->nBlockUse == nBlockUse
1003669c	61	string	pHead->nLine == IGNORE_LINE && pHead->lRequest == IGNORE_REQ
100366dc	42	string	DAMAGE: after %hs block (#%d) at 0x%08X.\n
10036708	43	string	DAMAGE: before %hs block (#%d) at 0x%08X.\n
10036734	39	string	_BLOCK_TYPE_IS_VALID(pHead->nBlockUse)
1003675c	27	string	Client hook free failure.\n
10036794	58	string	memory check error at 0x%08X = 0x%02X, should be 0x%02X.\n
100367d0	41	string	%hs located at 0x%08X is %u bytes long.\n
100367fc	32	string	%hs allocated at file %hs(%d).\n
1003681c	41	string	DAMAGE: on top of Free block at 0x%08X.\n
10036848	8	string	DAMAGED
10036850	43	string	_heapchk fails with unknown return value!\n
1003687c	34	string	_heapchk fails with _HEAPBADPTR.\n
100368a0	34	string	_heapchk fails with _HEAPBADEND.\n
100368c4	35	string	_heapchk fails with _HEAPBADNODE.\n
100368e8	36	string	_heapchk fails with _HEAPBADBEGIN.\n
1003693c	35	string	Bad memory block found at 0x%08X.\n
10036960	40	string	_CrtMemCheckPoint: NULL state pointer.\n
10036994	40	string	_CrtMemDifference: NULL state pointer.\n
100369bc	23	string	Object dump complete.\n
100369d4	49	string	crt block at 0x%08X, subtype %x, %u bytes long.\n
10036a08	40	string	normal block at 0x%08X, %u bytes long.\n
10036a30	52	string	client block at 0x%08X, subtype %x, %u bytes long.\n
10036a64	7	string	{%ld}\s
10036a6c	11	string	%hs(%d) :\s
10036a78	20	string	#File Error#(%d) :\s
10036a8c	20	string	Dumping objects ->\n
10036aac	16	string	\sData: <%s> %s\n
10036abc	6	string	%.2X\s
10036ac4	24	string	Detected memory leaks!\n
10036adc	31	string	Total allocations: %ld bytes.\n
10036afc	33	string	Largest number used: %ld bytes.\n
10036b20	30	string	%ld bytes in %ld %hs Blocks.\n
10036b6c	15	string	format != NULL
10036b7c	10	string	sprintf.c
10036b88	15	string	string != NULL
10036b98	9	string	printf.c
10036ba4	10	string	fprintf.c
10036bb0	12	string	str != NULL
10036bbc	8	string	_file.c
10036bc4	11	string	vsprintf.c
10036bd0	26	string	IsProcessorFeaturePresent
10036bec	9	string	KERNEL32
10036bf8	6	string	e+000
