address	type	category	comment
00425ad0	Info	PE Header	IMAGE_DIRECTORY_ENTRY_IMPORT
004242b0	Info	PE Header	IMAGE_DIRECTORY_ENTRY_DEBUG
00424000	Info	PE Header	IMAGE_DIRECTORY_ENTRY_IAT
00401f40	Analysis	Found Code	Found code from operand reference
00401f60	Analysis	Found Code	Found code from operand reference
00401f90	Analysis	Found Code	Found code from operand reference
00401fb0	Analysis	Found Code	Found code from operand reference
00402030	Analysis	Found Code	Found code from operand reference
00403928	Analysis	Found Code	Found code from operand reference
004052a8	Analysis	Found Code	Found code from operand reference
004055b6	Analysis	Found Code	Found code from operand reference
00405610	Analysis	Found Code	Found code from operand reference
0040565e	Analysis	Found Code	Found code from operand reference
0040b250	Analysis	Found Code	Found code from operand reference
00410c60	Analysis	Found Code	Found code from operand reference
00411f20	Analysis	Found Code	Found code from operand reference
00411f70	Analysis	Found Code	Found code from operand reference
00423558	Analysis	Found Code	Found code from operand reference
00423570	Analysis	Found Code	Found code from operand reference
004235ac	Analysis	Found Code	Found code from operand reference
004235e2	Analysis	Found Code	Found code from operand reference
004235fb	Analysis	Found Code	Found code from operand reference
00423625	Analysis	Found Code	Found code from operand reference
0042364f	Analysis	Found Code	Found code from operand reference
00423668	Analysis	Found Code	Found code from operand reference
00402aac	Analysis	Function ID Analyzer	Library Function - Single Match,  __exit
00402ed0	Analysis	Function ID Analyzer	Library Function - Single Match,  _strlen
00403053	Analysis	Function ID Analyzer	Library Function - Single Match,  __amsg_exit
004031f0	Analysis	Function ID Analyzer	Library Function - Single Match,  ??2@YAPAXI@Z
00403908	Analysis	Function ID Analyzer	Library Function - Single Match,  __global_unwind2
0040394a	Analysis	Function ID Analyzer	Library Function - Single Match,  __local_unwind2
004039b2	Analysis	Function ID Analyzer	Library Function - Single Match,  __abnormal_termination
004039d5	Analysis	Function ID Analyzer	Library Function - Single Match,  __NLG_Notify1
00403a48	Analysis	Function ID Analyzer	Library Function - Single Match,  __ftol
004044b4	Analysis	Function ID Analyzer	Library Function - Single Match,  _malloc
004044c6	Analysis	Function ID Analyzer	Library Function - Single Match,  __nh_malloc
00405676	Analysis	Function ID Analyzer	Library Function - Single Match,  __fassign
00405966	Analysis	Function ID Analyzer	Library Function - Single Match,  __cfltcvt
00407eb0	Analysis	Function ID Analyzer	Library Function - Single Match,  __CallSettingFrame@12
004083d0	Analysis	Function ID Analyzer	Library Function - Single Match,  __aulldiv
00408440	Analysis	Function ID Analyzer	Library Function - Single Match,  __aullrem
00408f90	Analysis	Function ID Analyzer	Library Function - Single Match,  _strchr
00409050	Analysis	Function ID Analyzer	Library Function - Single Match,  _strstr
004090d0	Analysis	Function ID Analyzer	Library Function - Single Match,  _strncmp
004091a0	Analysis	Function ID Analyzer	Library Function - Single Match,  _strncpy
00409bf0	Analysis	Function ID Analyzer	Library Function - Single Match,  _memset
0040a108	Analysis	Function ID Analyzer	Library Function - Single Match,  __fclose_lk
0040a2a0	Analysis	Function ID Analyzer	Library Function - Single Match,  _strcmp
0040b4a4	Analysis	Function ID Analyzer	Library Function - Single Match,  ___add_12
0040bea4	Analysis	Function ID Analyzer	Library Function - Single Match,  __freebuf
0040f2b0	Analysis	Function ID Analyzer	Library Function - Single Match,  __allmul
0040f382	Analysis	Function ID Analyzer	Library Function - Single Match,  __mbsnbicoll
00415b10	Analysis	Function ID Analyzer	Library Function - Single Match,  __allshl
00415f90	Analysis	Function ID Analyzer	Library Function - Single Match,  _strrchr
0041fc5b	Analysis	Function ID Analyzer	Library Function - Single Match,  _rand
0041ff70	Analysis	Function ID Analyzer	Library Function - Single Match,  __allrem
00420030	Analysis	Function ID Analyzer	Library Function - Single Match,  __alldiv
0042011b	Analysis	Function ID Analyzer	Library Function - Single Match,  __copysign
00420780	Analysis	Function ID Analyzer	Library Function - Single Match,  _strncat
004218b5	Analysis	Function ID Analyzer	Library Function - Single Match,  __fload_withFB
0042191b	Analysis	Function ID Analyzer	Library Function - Single Match,  __math_exit
00421a17	Analysis	Function ID Analyzer	Library Function - Single Match,  __startOneArgErrorHandling
00422a4b	Analysis	Function ID Analyzer	Library Function - Single Match,  __frnd
00422db0	Analysis	Function ID Analyzer	Library Function - Single Match,  __CrtSetReportFile
00408a74	Analysis	Address Table	Address table[3] created
00408b58	Analysis	Address Table	Address table[4] created
00408bfc	Analysis	Address Table	Address table[3] created
00408cf0	Analysis	Address Table	Address table[4] created
00409cb4	Analysis	Address Table	Address table[3] created
00409d98	Analysis	Address Table	Address table[4] created
00409e3c	Analysis	Address Table	Address table[3] created
00409f30	Analysis	Address Table	Address table[4] created
00411e80	Analysis	Address Table	Address table[14] created
0041eb40	Analysis	Address Table	Address table[48] created
00425100	Analysis	Address Table	Address table[6] created
00425118	Analysis	Address Table	Address table[6] created
0042700c	Analysis	Address Table	Address table[4] created
00427930	Analysis	Address Table	Address table[3] created
0042a41c	Analysis	Address Table	Address table[8] created
0042a9e0	Analysis	Address Table	Address table[3] created
0042aa28	Analysis	Address Table	Address table[3] created
0042abd4	Analysis	Address Table	Address table[6] created
0042abf0	Analysis	Address Table	Address table[6] created
0042ac0c	Analysis	Address Table	Address table[11] created
0042ac3c	Analysis	Address Table	Address table[11] created
0042ac90	Analysis	Address Table	Address table[8] created
0042c418	Analysis	Address Table	Address table[43] created
0042c4f4	Analysis	Address Table	Address table[16] created
0042e82c	Analysis	Address Table	Address table[3] created
00402aac	Analysis	Non-Returning Function	Non-Returning Function Identified
00405365	Analysis	Function ID Analyzer	Library Function - Single Match,  __seh_longjmp_unwind@4
0040c2ae	Analysis	Function ID Analyzer	Library Function - Single Match,  ___free_lc_time
