address	type	name	full_name	namespace	source	primary	external	external_entry
EXTERNAL:00000001	Function	Beep	KERNEL32.DLL::Beep	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000002	Function	GetProcessHeap	KERNEL32.DLL::GetProcessHeap	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000003	Function	QueryPerformanceFrequency	KERNEL32.DLL::QueryPerformanceFrequency	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000004	Function	QueryPerformanceCounter	KERNEL32.DLL::QueryPerformanceCounter	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000005	Function	CreateProcessA	KERNEL32.DLL::CreateProcessA	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000006	Function	WaitForSingleObject	KERNEL32.DLL::WaitForSingleObject	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000007	Function	GetExitCodeProcess	KERNEL32.DLL::GetExitCodeProcess	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000008	Function	SetEndOfFile	KERNEL32.DLL::SetEndOfFile	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000009	Function	ReadFile	KERNEL32.DLL::ReadFile	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:0000000a	Function	CreateFileA	KERNEL32.DLL::CreateFileA	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:0000000b	Function	FindNextFileA	KERNEL32.DLL::FindNextFileA	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:0000000c	Function	GetLocalTime	KERNEL32.DLL::GetLocalTime	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:0000000d	Function	MoveFileA	KERNEL32.DLL::MoveFileA	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:0000000e	Function	DeleteFileA	KERNEL32.DLL::DeleteFileA	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:0000000f	Function	GetSystemTime	KERNEL32.DLL::GetSystemTime	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000010	Function	SetPriorityClass	KERNEL32.DLL::SetPriorityClass	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000011	Function	SetThreadPriority	KERNEL32.DLL::SetThreadPriority	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000012	Function	SetEnvironmentVariableA	KERNEL32.DLL::SetEnvironmentVariableA	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000013	Function	CompareStringW	KERNEL32.DLL::CompareStringW	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000014	Function	CompareStringA	KERNEL32.DLL::CompareStringA	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000015	Function	GetLocaleInfoW	KERNEL32.DLL::GetLocaleInfoW	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000016	Function	GetTimeZoneInformation	KERNEL32.DLL::GetTimeZoneInformation	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000017	Function	FindFirstFileA	KERNEL32.DLL::FindFirstFileA	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000018	Function	FileTimeToSystemTime	KERNEL32.DLL::FileTimeToSystemTime	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000019	Function	FileTimeToLocalFileTime	KERNEL32.DLL::FileTimeToLocalFileTime	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:0000001a	Function	GetFileInformationByHandle	KERNEL32.DLL::GetFileInformationByHandle	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:0000001b	Function	PeekNamedPipe	KERNEL32.DLL::PeekNamedPipe	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:0000001c	Function	CreateDirectoryA	KERNEL32.DLL::CreateDirectoryA	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:0000001d	Function	RaiseException	KERNEL32.DLL::RaiseException	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:0000001e	Function	DebugBreak	KERNEL32.DLL::DebugBreak	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:0000001f	Function	Sleep	KERNEL32.DLL::Sleep	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000020	Function	MulDiv	KERNEL32.DLL::MulDiv	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000021	Function	HeapSize	KERNEL32.DLL::HeapSize	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000022	Function	GetCommandLineA	KERNEL32.DLL::GetCommandLineA	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000023	Function	ExitProcess	KERNEL32.DLL::ExitProcess	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000024	Function	TerminateProcess	KERNEL32.DLL::TerminateProcess	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000025	Function	GetCurrentProcess	KERNEL32.DLL::GetCurrentProcess	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000026	Function	GetCurrentDirectoryA	KERNEL32.DLL::GetCurrentDirectoryA	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000027	Function	GetFullPathNameA	KERNEL32.DLL::GetFullPathNameA	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000028	Function	GetDriveTypeA	KERNEL32.DLL::GetDriveTypeA	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000029	Function	GetLastError	KERNEL32.DLL::GetLastError	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:0000002a	Function	GetFileAttributesA	KERNEL32.DLL::GetFileAttributesA	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:0000002b	Function	GetModuleHandleA	KERNEL32.DLL::GetModuleHandleA	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:0000002c	Function	GetStartupInfoA	KERNEL32.DLL::GetStartupInfoA	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:0000002d	Function	GetVersion	KERNEL32.DLL::GetVersion	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:0000002e	Function	HeapFree	KERNEL32.DLL::HeapFree	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:0000002f	Function	EnterCriticalSection	KERNEL32.DLL::EnterCriticalSection	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000030	Function	LeaveCriticalSection	KERNEL32.DLL::LeaveCriticalSection	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000031	Function	RtlUnwind	KERNEL32.DLL::RtlUnwind	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000032	Function	InitializeCriticalSection	KERNEL32.DLL::InitializeCriticalSection	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000033	Function	DeleteCriticalSection	KERNEL32.DLL::DeleteCriticalSection	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000034	Function	FatalAppExitA	KERNEL32.DLL::FatalAppExitA	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000035	Function	HeapAlloc	KERNEL32.DLL::HeapAlloc	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000036	Function	UnhandledExceptionFilter	KERNEL32.DLL::UnhandledExceptionFilter	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000037	Function	GetModuleFileNameA	KERNEL32.DLL::GetModuleFileNameA	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000038	Function	FreeEnvironmentStringsA	KERNEL32.DLL::FreeEnvironmentStringsA	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000039	Function	FreeEnvironmentStringsW	KERNEL32.DLL::FreeEnvironmentStringsW	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:0000003a	Function	WideCharToMultiByte	KERNEL32.DLL::WideCharToMultiByte	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:0000003b	Function	GetEnvironmentStrings	KERNEL32.DLL::GetEnvironmentStrings	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:0000003c	Function	GetEnvironmentStringsW	KERNEL32.DLL::GetEnvironmentStringsW	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:0000003d	Function	SetHandleCount	KERNEL32.DLL::SetHandleCount	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:0000003e	Function	GetStdHandle	KERNEL32.DLL::GetStdHandle	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:0000003f	Function	GetFileType	KERNEL32.DLL::GetFileType	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000040	Function	GetCurrentThreadId	KERNEL32.DLL::GetCurrentThreadId	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000041	Function	TlsSetValue	KERNEL32.DLL::TlsSetValue	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000042	Function	TlsAlloc	KERNEL32.DLL::TlsAlloc	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000043	Function	TlsFree	KERNEL32.DLL::TlsFree	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000044	Function	SetLastError	KERNEL32.DLL::SetLastError	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000045	Function	TlsGetValue	KERNEL32.DLL::TlsGetValue	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000046	Function	GetCurrentThread	KERNEL32.DLL::GetCurrentThread	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000047	Function	GetEnvironmentVariableA	KERNEL32.DLL::GetEnvironmentVariableA	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000048	Function	GetVersionExA	KERNEL32.DLL::GetVersionExA	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000049	Function	HeapDestroy	KERNEL32.DLL::HeapDestroy	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:0000004a	Function	HeapCreate	KERNEL32.DLL::HeapCreate	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:0000004b	Function	VirtualFree	KERNEL32.DLL::VirtualFree	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:0000004c	Function	WriteFile	KERNEL32.DLL::WriteFile	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:0000004d	Function	GetProcAddress	KERNEL32.DLL::GetProcAddress	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:0000004e	Function	VirtualAlloc	KERNEL32.DLL::VirtualAlloc	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:0000004f	Function	HeapReAlloc	KERNEL32.DLL::HeapReAlloc	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000050	Function	IsBadWritePtr	KERNEL32.DLL::IsBadWritePtr	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000051	Function	SetFilePointer	KERNEL32.DLL::SetFilePointer	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000052	Function	InterlockedDecrement	KERNEL32.DLL::InterlockedDecrement	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000053	Function	InterlockedIncrement	KERNEL32.DLL::InterlockedIncrement	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000054	Function	GetCPInfo	KERNEL32.DLL::GetCPInfo	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000055	Label	GetACP	KERNEL32.DLL::GetACP	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000056	Label	GetOEMCP	KERNEL32.DLL::GetOEMCP	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000057	Function	LoadLibraryA	KERNEL32.DLL::LoadLibraryA	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000058	Function	MultiByteToWideChar	KERNEL32.DLL::MultiByteToWideChar	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000059	Function	GetStringTypeA	KERNEL32.DLL::GetStringTypeA	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:0000005a	Function	GetStringTypeW	KERNEL32.DLL::GetStringTypeW	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:0000005b	Function	FlushFileBuffers	KERNEL32.DLL::FlushFileBuffers	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:0000005c	Function	SetUnhandledExceptionFilter	KERNEL32.DLL::SetUnhandledExceptionFilter	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:0000005d	Function	IsBadReadPtr	KERNEL32.DLL::IsBadReadPtr	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:0000005e	Function	IsBadCodePtr	KERNEL32.DLL::IsBadCodePtr	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:0000005f	Function	SetStdHandle	KERNEL32.DLL::SetStdHandle	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000060	Function	LCMapStringA	KERNEL32.DLL::LCMapStringA	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000061	Function	LCMapStringW	KERNEL32.DLL::LCMapStringW	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000062	Function	SetConsoleCtrlHandler	KERNEL32.DLL::SetConsoleCtrlHandler	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000063	Function	CloseHandle	KERNEL32.DLL::CloseHandle	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000064	Function	IsValidLocale	KERNEL32.DLL::IsValidLocale	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000065	Function	IsValidCodePage	KERNEL32.DLL::IsValidCodePage	KERNEL32.DLL	IMPORTED	true	true	false
