library	label	original_imported_name	parent	address	external_space_address	is_function	source	data_type
GDI32.DLL	SetBkColor	\N	GDI32.DLL	0002609c	EXTERNAL:00000088	true	IMPORTED	null
GDI32.DLL	SelectObject	\N	GDI32.DLL	0002608c	EXTERNAL:00000089	true	IMPORTED	null
GDI32.DLL	MoveToEx	\N	GDI32.DLL	00026080	EXTERNAL:0000008a	true	IMPORTED	null
GDI32.DLL	LineTo	\N	GDI32.DLL	00026076	EXTERNAL:0000008b	true	IMPORTED	null
GDI32.DLL	SetTextColor	\N	GDI32.DLL	00026066	EXTERNAL:0000008c	true	IMPORTED	null
GDI32.DLL	TextOutA	\N	GDI32.DLL	0002605a	EXTERNAL:0000008d	true	IMPORTED	null
GDI32.DLL	DeleteObject	\N	GDI32.DLL	0002604a	EXTERNAL:0000008e	true	IMPORTED	null
GDI32.DLL	CreatePen	\N	GDI32.DLL	0002603e	EXTERNAL:0000008f	true	IMPORTED	null
GDI32.DLL	CreateSolidBrush	\N	GDI32.DLL	0002602a	EXTERNAL:00000090	true	IMPORTED	null
GDI32.DLL	GetDeviceCaps	\N	GDI32.DLL	0002601a	EXTERNAL:00000091	true	IMPORTED	null
GDI32.DLL	CreateFontIndirectA	\N	GDI32.DLL	00026004	EXTERNAL:00000092	true	IMPORTED	null
GDI32.DLL	GetStockObject	\N	GDI32.DLL	000260aa	EXTERNAL:00000093	true	IMPORTED	null
KERNEL32.DLL	GetACP	\N	KERNEL32.DLL	00026462	EXTERNAL:00000055	false	IMPORTED	null
KERNEL32.DLL	GetOEMCP	\N	KERNEL32.DLL	0002646c	EXTERNAL:00000056	false	IMPORTED	null
KERNEL32.DLL	Beep	\N	KERNEL32.DLL	0002675e	EXTERNAL:00000001	true	IMPORTED	null
KERNEL32.DLL	GetProcessHeap	\N	KERNEL32.DLL	0002674c	EXTERNAL:00000002	true	IMPORTED	null
KERNEL32.DLL	GetExitCodeProcess	\N	KERNEL32.DLL	000266d8	EXTERNAL:00000007	true	IMPORTED	null
KERNEL32.DLL	MoveFileA	\N	KERNEL32.DLL	00026686	EXTERNAL:0000000d	true	IMPORTED	null
KERNEL32.DLL	MulDiv	\N	KERNEL32.DLL	00025dfe	EXTERNAL:00000020	true	IMPORTED	null
KERNEL32.DLL	GetCurrentProcess	\N	KERNEL32.DLL	000260e8	EXTERNAL:00000025	true	IMPORTED	null
KERNEL32.DLL	GetLastError	\N	KERNEL32.DLL	00026138	EXTERNAL:00000029	true	IMPORTED	null
KERNEL32.DLL	GetStartupInfoA	\N	KERNEL32.DLL	00026172	EXTERNAL:0000002c	true	IMPORTED	null
KERNEL32.DLL	SetHandleCount	\N	KERNEL32.DLL	000262d8	EXTERNAL:0000003d	true	IMPORTED	null
KERNEL32.DLL	GetCurrentThreadId	\N	KERNEL32.DLL	00026308	EXTERNAL:00000040	true	IMPORTED	null
KERNEL32.DLL	TlsGetValue	\N	KERNEL32.DLL	00026352	EXTERNAL:00000045	true	IMPORTED	null
KERNEL32.DLL	GetCurrentThread	\N	KERNEL32.DLL	00026360	EXTERNAL:00000046	true	IMPORTED	null
KERNEL32.DLL	GetProcAddress	\N	KERNEL32.DLL	000263d4	EXTERNAL:0000004d	true	IMPORTED	null
KERNEL32.DLL	IsBadWritePtr	\N	KERNEL32.DLL	00026404	EXTERNAL:00000050	true	IMPORTED	null
KERNEL32.DLL	InterlockedDecrement	\N	KERNEL32.DLL	00026426	EXTERNAL:00000052	true	IMPORTED	null
KERNEL32.DLL	InterlockedIncrement	\N	KERNEL32.DLL	0002643e	EXTERNAL:00000053	true	IMPORTED	null
KERNEL32.DLL	IsBadReadPtr	\N	KERNEL32.DLL	000264f4	EXTERNAL:0000005d	true	IMPORTED	null
KERNEL32.DLL	IsBadCodePtr	\N	KERNEL32.DLL	00026504	EXTERNAL:0000005e	true	IMPORTED	null
KERNEL32.DLL	ExitProcess	\N	KERNEL32.DLL	000260c6	EXTERNAL:00000023	true	IMPORTED	null
KERNEL32.DLL	RtlUnwind	\N	KERNEL32.DLL	000261ce	EXTERNAL:00000031	true	IMPORTED	null
KERNEL32.DLL	GetCommandLineA	\N	KERNEL32.DLL	00025dec	EXTERNAL:00000022	true	IMPORTED	null
KERNEL32.DLL	Sleep	\N	KERNEL32.DLL	00025e08	EXTERNAL:0000001f	true	IMPORTED	null
KERNEL32.DLL	TerminateProcess	\N	KERNEL32.DLL	000260d4	EXTERNAL:00000024	true	IMPORTED	null
KERNEL32.DLL	GetFullPathNameA	\N	KERNEL32.DLL	00026114	EXTERNAL:00000027	true	IMPORTED	null
KERNEL32.DLL	GetCurrentDirectoryA	\N	KERNEL32.DLL	000260fc	EXTERNAL:00000026	true	IMPORTED	null
KERNEL32.DLL	GetDriveTypeA	\N	KERNEL32.DLL	00026128	EXTERNAL:00000028	true	IMPORTED	null
KERNEL32.DLL	GetFileAttributesA	\N	KERNEL32.DLL	00026148	EXTERNAL:0000002a	true	IMPORTED	null
KERNEL32.DLL	GetVersion	\N	KERNEL32.DLL	00026184	EXTERNAL:0000002d	true	IMPORTED	null
KERNEL32.DLL	GetModuleHandleA	\N	KERNEL32.DLL	0002615e	EXTERNAL:0000002b	true	IMPORTED	null
KERNEL32.DLL	HeapFree	\N	KERNEL32.DLL	00026192	EXTERNAL:0000002e	true	IMPORTED	null
KERNEL32.DLL	EnterCriticalSection	\N	KERNEL32.DLL	0002619e	EXTERNAL:0000002f	true	IMPORTED	null
KERNEL32.DLL	LeaveCriticalSection	\N	KERNEL32.DLL	000261b6	EXTERNAL:00000030	true	IMPORTED	null
KERNEL32.DLL	InitializeCriticalSection	\N	KERNEL32.DLL	000261da	EXTERNAL:00000032	true	IMPORTED	null
KERNEL32.DLL	HeapAlloc	\N	KERNEL32.DLL	0002621e	EXTERNAL:00000035	true	IMPORTED	null
KERNEL32.DLL	UnhandledExceptionFilter	\N	KERNEL32.DLL	0002622a	EXTERNAL:00000036	true	IMPORTED	null
KERNEL32.DLL	GetModuleFileNameA	\N	KERNEL32.DLL	00026246	EXTERNAL:00000037	true	IMPORTED	null
KERNEL32.DLL	GetEnvironmentStringsW	\N	KERNEL32.DLL	000262be	EXTERNAL:0000003c	true	IMPORTED	null
KERNEL32.DLL	GetEnvironmentStrings	\N	KERNEL32.DLL	000262a6	EXTERNAL:0000003b	true	IMPORTED	null
KERNEL32.DLL	WideCharToMultiByte	\N	KERNEL32.DLL	00026290	EXTERNAL:0000003a	true	IMPORTED	null
KERNEL32.DLL	FreeEnvironmentStringsW	\N	KERNEL32.DLL	00026276	EXTERNAL:00000039	true	IMPORTED	null
KERNEL32.DLL	FreeEnvironmentStringsA	\N	KERNEL32.DLL	0002625c	EXTERNAL:00000038	true	IMPORTED	null
KERNEL32.DLL	GetFileType	\N	KERNEL32.DLL	000262fa	EXTERNAL:0000003f	true	IMPORTED	null
KERNEL32.DLL	GetStdHandle	\N	KERNEL32.DLL	000262ea	EXTERNAL:0000003e	true	IMPORTED	null
KERNEL32.DLL	DeleteCriticalSection	\N	KERNEL32.DLL	000261f6	EXTERNAL:00000033	true	IMPORTED	null
KERNEL32.DLL	TlsAlloc	\N	KERNEL32.DLL	0002632c	EXTERNAL:00000042	true	IMPORTED	null
KERNEL32.DLL	TlsSetValue	\N	KERNEL32.DLL	0002631e	EXTERNAL:00000041	true	IMPORTED	null
KERNEL32.DLL	SetLastError	\N	KERNEL32.DLL	00026342	EXTERNAL:00000044	true	IMPORTED	null
KERNEL32.DLL	GetVersionExA	\N	KERNEL32.DLL	0002638e	EXTERNAL:00000048	true	IMPORTED	null
KERNEL32.DLL	GetEnvironmentVariableA	\N	KERNEL32.DLL	00026374	EXTERNAL:00000047	true	IMPORTED	null
KERNEL32.DLL	HeapCreate	\N	KERNEL32.DLL	000263ac	EXTERNAL:0000004a	true	IMPORTED	null
KERNEL32.DLL	HeapDestroy	\N	KERNEL32.DLL	0002639e	EXTERNAL:00000049	true	IMPORTED	null
KERNEL32.DLL	WriteFile	\N	KERNEL32.DLL	000263c8	EXTERNAL:0000004c	true	IMPORTED	null
KERNEL32.DLL	VirtualFree	\N	KERNEL32.DLL	000263ba	EXTERNAL:0000004b	true	IMPORTED	null
KERNEL32.DLL	HeapReAlloc	\N	KERNEL32.DLL	000263f6	EXTERNAL:0000004f	true	IMPORTED	null
KERNEL32.DLL	VirtualAlloc	\N	KERNEL32.DLL	000263e6	EXTERNAL:0000004e	true	IMPORTED	null
KERNEL32.DLL	SetFilePointer	\N	KERNEL32.DLL	00026414	EXTERNAL:00000051	true	IMPORTED	null
KERNEL32.DLL	GetCPInfo	\N	KERNEL32.DLL	00026456	EXTERNAL:00000054	true	IMPORTED	null
KERNEL32.DLL	LoadLibraryA	\N	KERNEL32.DLL	00026478	EXTERNAL:00000057	true	IMPORTED	null
KERNEL32.DLL	GetStringTypeW	\N	KERNEL32.DLL	000264b0	EXTERNAL:0000005a	true	IMPORTED	null
KERNEL32.DLL	GetStringTypeA	\N	KERNEL32.DLL	0002649e	EXTERNAL:00000059	true	IMPORTED	null
KERNEL32.DLL	MultiByteToWideChar	\N	KERNEL32.DLL	00026488	EXTERNAL:00000058	true	IMPORTED	null
KERNEL32.DLL	FlushFileBuffers	\N	KERNEL32.DLL	000264c2	EXTERNAL:0000005b	true	IMPORTED	null
KERNEL32.DLL	SetStdHandle	\N	KERNEL32.DLL	00026514	EXTERNAL:0000005f	true	IMPORTED	null
KERNEL32.DLL	LCMapStringW	\N	KERNEL32.DLL	00026534	EXTERNAL:00000061	true	IMPORTED	null
KERNEL32.DLL	LCMapStringA	\N	KERNEL32.DLL	00026524	EXTERNAL:00000060	true	IMPORTED	null
KERNEL32.DLL	SetConsoleCtrlHandler	\N	KERNEL32.DLL	00026544	EXTERNAL:00000062	true	IMPORTED	null
KERNEL32.DLL	CloseHandle	\N	KERNEL32.DLL	0002655c	EXTERNAL:00000063	true	IMPORTED	null
KERNEL32.DLL	IsValidCodePage	\N	KERNEL32.DLL	0002657a	EXTERNAL:00000065	true	IMPORTED	null
KERNEL32.DLL	IsValidLocale	\N	KERNEL32.DLL	0002656a	EXTERNAL:00000064	true	IMPORTED	null
KERNEL32.DLL	GetLocaleInfoA	\N	KERNEL32.DLL	0002658c	EXTERNAL:00000066	true	IMPORTED	null
KERNEL32.DLL	EnumSystemLocalesA	\N	KERNEL32.DLL	0002659e	EXTERNAL:00000067	true	IMPORTED	null
KERNEL32.DLL	GetUserDefaultLCID	\N	KERNEL32.DLL	000265b4	EXTERNAL:00000068	true	IMPORTED	null
KERNEL32.DLL	GetTimeZoneInformation	\N	KERNEL32.DLL	000265ca	EXTERNAL:00000016	true	IMPORTED	null
KERNEL32.DLL	GetLocaleInfoW	\N	KERNEL32.DLL	000265e4	EXTERNAL:00000015	true	IMPORTED	null
KERNEL32.DLL	CompareStringW	\N	KERNEL32.DLL	00026608	EXTERNAL:00000013	true	IMPORTED	null
KERNEL32.DLL	CompareStringA	\N	KERNEL32.DLL	000265f6	EXTERNAL:00000014	true	IMPORTED	null
KERNEL32.DLL	SetEnvironmentVariableA	\N	KERNEL32.DLL	0002661a	EXTERNAL:00000012	true	IMPORTED	null
KERNEL32.DLL	GetSystemTime	\N	KERNEL32.DLL	0002665c	EXTERNAL:0000000f	true	IMPORTED	null
KERNEL32.DLL	DeleteFileA	\N	KERNEL32.DLL	00026678	EXTERNAL:0000000e	true	IMPORTED	null
KERNEL32.DLL	GetLocalTime	\N	KERNEL32.DLL	00026692	EXTERNAL:0000000c	true	IMPORTED	null
KERNEL32.DLL	HeapSize	\N	KERNEL32.DLL	000266a2	EXTERNAL:00000021	true	IMPORTED	null
KERNEL32.DLL	CreateFileA	\N	KERNEL32.DLL	000266ae	EXTERNAL:0000000a	true	IMPORTED	null
KERNEL32.DLL	ReadFile	\N	KERNEL32.DLL	000266bc	EXTERNAL:00000009	true	IMPORTED	null
KERNEL32.DLL	SetEndOfFile	\N	KERNEL32.DLL	000266c8	EXTERNAL:00000008	true	IMPORTED	null
KERNEL32.DLL	CreateProcessA	\N	KERNEL32.DLL	00026704	EXTERNAL:00000005	true	IMPORTED	null
KERNEL32.DLL	WaitForSingleObject	\N	KERNEL32.DLL	000266ee	EXTERNAL:00000006	true	IMPORTED	null
KERNEL32.DLL	QueryPerformanceFrequency	\N	KERNEL32.DLL	00026730	EXTERNAL:00000003	true	IMPORTED	null
KERNEL32.DLL	QueryPerformanceCounter	\N	KERNEL32.DLL	00026716	EXTERNAL:00000004	true	IMPORTED	null
KERNEL32.DLL	FindFirstFileA	\N	KERNEL32.DLL	00026776	EXTERNAL:00000017	true	IMPORTED	null
