entry	name	full_name	namespace	name_source	signature_source	calling_convention	return_type	parameter_count	is_thunk	thunk_target	is_external	body_ranges	comment	repeatable_comment	prototype
10001000	FUN_10001000	FUN_10001000	Global	DEFAULT	ANALYSIS	__cdecl	undefined4	4	false	\N	false	10001000-10001046	\N	\N	undefined4 __cdecl FUN_10001000(int * param_1, int * param_2, int param_3, int param_4)
10001050	FUN_10001050	FUN_10001050	Global	DEFAULT	ANALYSIS	__cdecl	undefined4	11	false	\N	false	10001050-10001142	\N	\N	undefined4 __cdecl FUN_10001050(int param_1, int param_2, int param_3, int param_4, int param_5, int * param_6, int * param_7, int * param_8, int * param_9, int * param_10, int * param_11)
10001150	FUN_10001150	FUN_10001150	Global	DEFAULT	ANALYSIS	__thiscall	undefined	5	false	\N	false	10001150-1000137d	\N	\N	undefined __thiscall FUN_10001150(int * param_1, float * param_2, undefined1 * param_3, float param_4)
10001380	FUN_10001380	FUN_10001380	Global	DEFAULT	ANALYSIS	__cdecl	byte	3	false	\N	false	10001380-100013bc	\N	\N	byte __cdecl FUN_10001380(int param_1, int param_2, int param_3)
100013e0	FUN_100013e0	FUN_100013e0	Global	DEFAULT	ANALYSIS	__cdecl	undefined	1	false	\N	false	100013e0-100013f4	\N	\N	undefined __cdecl FUN_100013e0(undefined4 param_1)
10001400	FUN_10001400	FUN_10001400	Global	DEFAULT	ANALYSIS	__cdecl	undefined	1	false	\N	false	10001400-10001412	\N	\N	undefined __cdecl FUN_10001400(undefined4 param_1)
10001420	FUN_10001420	FUN_10001420	Global	DEFAULT	ANALYSIS	__cdecl	undefined	4	false	\N	false	10001420-100014aa	\N	\N	undefined __cdecl FUN_10001420(int param_1, int param_2, int param_3, undefined4 * param_4)
100014b0	FUN_100014b0	FUN_100014b0	Global	DEFAULT	ANALYSIS	__cdecl	undefined	1	false	\N	false	100014b0-100014dd	\N	\N	undefined __cdecl FUN_100014b0(int param_1)
100014e0	FUN_100014e0	FUN_100014e0	Global	DEFAULT	ANALYSIS	__stdcall	undefined	0	false	\N	false	100014e0-100015d1	\N	\N	undefined __stdcall FUN_100014e0(void)
100015e0	FUN_100015e0	FUN_100015e0	Global	DEFAULT	ANALYSIS	__stdcall	undefined	0	false	\N	false	100015e0-1000160e	\N	\N	undefined __stdcall FUN_100015e0(void)
10001610	FUN_10001610	FUN_10001610	Global	DEFAULT	ANALYSIS	__stdcall	undefined	0	false	\N	false	10001610-10001643	\N	\N	undefined __stdcall FUN_10001610(void)
10001650	FUN_10001650	FUN_10001650	Global	DEFAULT	ANALYSIS	__stdcall	undefined	0	false	\N	false	10001650-10001dcf	\N	\N	undefined __stdcall FUN_10001650(void)
