address	type	comment
59a601f0	EOL	.text
59a60218	EOL	.data
59a60240	EOL	.rsrc
59a60268	EOL	.reloc
59a61000	PRE	133  CryptAcquireContextA  [Bound to: 0x77de7f96]
59a61004	PRE	150  CryptGenRandom  [Bound to: 0x77de5244]
59a61008	PRE	160  CryptReleaseContext  [Bound to: 0x77de8546]
59a6100c	PRE	483  RegOpenKeyExA  [Bound to: 0x77dd761b]
59a61010	PRE	493  RegQueryValueExA  [Bound to: 0x77dd7883]
59a61014	PRE	494  RegQueryValueExW  [Bound to: 0x77dd6fc8]
59a61018	PRE	472  RegEnumKeyExW  [Bound to: 0x77dd79a1]
59a6101c	PRE	489  RegQueryInfoKeyW  [Bound to: 0x77dfccef]
59a61020	PRE	484  RegOpenKeyExW  [Bound to: 0x77dd6a78]
59a61024	PRE	458  RegCloseKey  [Bound to: 0x77dd6bf0]
59a61028	PRE	560  SetSecurityDescriptorDacl  [Bound to: 0x77dd77b3]
59a6102c	PRE	306  InitializeSecurityDescriptor  [Bound to: 0x77dd778e]
59a61034	PRE	350  GetFileType  [Bound to: 0x7c811069]
59a61038	PRE	830  Sleep  [Bound to: 0x7c802442]
59a6103c	PRE	136  DeviceIoControl  [Bound to: 0x7c801625]
59a61040	PRE	186  ExpandEnvironmentStringsW  [Bound to: 0x7c81dfb1]
59a61044	PRE	534  InitializeCriticalSectionAndSpinCount  [Bound to: 0x7c80b6b1]
59a61048	PRE	63  CopyFileA  [Bound to: 0x7c830053]
59a6104c	PRE	772  SetFileAttributesA  [Bound to: 0x7c81fb44]
59a61050	PRE	66  CopyFileW  [Bound to: 0x7c825779]
59a61054	PRE	345  GetFileAttributesW  [Bound to: 0x7c80b5d4]
59a61058	PRE	773  SetFileAttributesW  [Bound to: 0x7c81fc05]
59a6105c	PRE	576  LeaveCriticalSection  [Bound to: 0x7c9010ed]
59a61060	PRE	150  EnterCriticalSection  [Bound to: 0x7c901005]
59a61064	PRE	127  DeleteCriticalSection  [Bound to: 0x7c91188a]
59a61068	PRE	533  InitializeCriticalSection  [Bound to: 0x7c809fa1]
59a6106c	PRE	541  InterlockedIncrement  [Bound to: 0x7c80977b]
59a61070	PRE	537  InterlockedDecrement  [Bound to: 0x7c809794]
59a61074	PRE	81  CreateFileMappingW  [Bound to: 0x7c80939e]
59a61078	PRE	564  LCMapStringW  [Bound to: 0x7c80cec4]
59a6107c	PRE	332  GetDriveTypeW  [Bound to: 0x7c80b158]
59a61080	PRE	315  GetCurrentProcess  [Bound to: 0x7c80e00d]
59a61084	PRE	858  UnmapViewOfFile  [Bound to: 0x7c80b7fc]
59a61088	PRE	336  GetEnvironmentVariableA  [Bound to: 0x7c81486a]
59a6108c	PRE	787  SetLastError  [Bound to: 0x7c910340]
59a61090	PRE	49  CloseHandle  [Bound to: 0x7c809b77]
59a61094	PRE	79  CreateFileA  [Bound to: 0x7c801a24]
59a61098	PRE	360  GetLastError  [Bound to: 0x7c910331]
59a6109c	PRE	774  SetFilePointer  [Bound to: 0x7c810da6]
59a610a0	PRE	204  FindClose  [Bound to: 0x7c80efd7]
59a610a4	PRE	217  FindNextFileA  [Bound to: 0x7c839019]
59a610a8	PRE	208  FindFirstFileA  [Bound to: 0x7c813559]
59a610ac	PRE	71  CreateDirectoryA  [Bound to: 0x7c826219]
59a610b0	PRE	353  GetFullPathNameA  [Bound to: 0x7c81367c]
59a610b4	PRE	583  LocalAlloc  [Bound to: 0x7c8099bd]
59a610b8	PRE	587  LocalFree  [Bound to: 0x7c80995d]
59a610bc	PRE	941  lstrcpyA  [Bound to: 0x7c80c729]
59a610c0	PRE	331  GetDriveTypeA  [Bound to: 0x7c822cfb]
59a610c4	PRE	845  TlsGetValue  [Bound to: 0x7c809750]
59a610c8	PRE	843  TlsAlloc  [Bound to: 0x7c812b0f]
59a610cc	PRE	844  TlsFree  [Bound to: 0x7c813453]
59a610d0	PRE	524  HeapReAlloc  [Bound to: 0x7c9179fd]
59a610d4	PRE	514  HeapAlloc  [Bound to: 0x7c9105d4]
59a610d8	PRE	520  HeapFree  [Bound to: 0x7c91043d]
59a610dc	PRE	552  IsDBCSLeadByte  [Bound to: 0x7c80b664]
59a610e0	PRE	407  GetProcAddress  [Bound to: 0x7c80ac28]
59a610e4	PRE	373  GetModuleHandleA  [Bound to: 0x7c80b529]
59a610e8	PRE	947  lstrlenA  [Bound to: 0x7c80c6e0]
59a610ec	PRE	518  HeapDestroy  [Bound to: 0x7c811110]
59a610f0	PRE	516  HeapCreate  [Bound to: 0x7c812929]
59a610f4	PRE	137  DisableThreadLibraryCalls  [Bound to: 0x7c811476]
59a610f8	PRE	475  GetVersionExA  [Bound to: 0x7c812851]
59a610fc	PRE	599  MapViewOfFile  [Bound to: 0x7c80b78d]
59a61100	PRE	80  CreateFileMappingA  [Bound to: 0x7c80946c]
59a61104	PRE	240  FreeLibrary  [Bound to: 0x7c80aa66]
59a61108	PRE	347  GetFileSize  [Bound to: 0x7c810c8f]
59a6110c	PRE	577  LoadLibraryA  [Bound to: 0x7c801d77]
59a61110	PRE	145  DuplicateHandle  [Bound to: 0x7c80e016]
59a61114	PRE	185  ExpandEnvironmentStringsA  [Bound to: 0x7c8227c7]
59a61118	PRE	612  MultiByteToWideChar  [Bound to: 0x7c809cad]
59a6111c	PRE	894  WideCharToMultiByte  [Bound to: 0x7c80a0c7]
59a61120	PRE	316  GetCurrentProcessId  [Bound to: 0x7c80994e]
59a61124	PRE	877  VirtualFree  [Bound to: 0x7c809b14]
59a61128	PRE	768  SetErrorMode  [Bound to: 0x7c80aa97]
59a6112c	PRE	342  GetFileAttributesA  [Bound to: 0x7c81174c]
59a61130	PRE	678  ReadProcessMemory  [Bound to: 0x7c8021cc]
59a61134	PRE	880  VirtualProtect  [Bound to: 0x7c801ad0]
59a61138	PRE	874  VirtualAlloc  [Bound to: 0x7c809a81]
59a6113c	PRE	130  DeleteFileW  [Bound to: 0x7c81f73d]
59a61140	PRE	907  WriteFile  [Bound to: 0x7c810f9f]
59a61144	PRE	82  CreateFileW  [Bound to: 0x7c810976]
59a61148	PRE	635  OutputDebugStringA  [Bound to: 0x7c859b5c]
59a6114c	PRE	657  QueryPerformanceCounter  [Bound to: 0x7c80a417]
59a61150	PRE	465  GetTickCount  [Bound to: 0x7c8092ac]
59a61154	PRE	318  GetCurrentThreadId  [Bound to: 0x7c809737]
59a61158	PRE	445  GetSystemTimeAsFileTime  [Bound to: 0x7c8017e5]
59a6115c	PRE	838  TerminateProcess  [Bound to: 0x7c801e16]
59a61160	PRE	855  UnhandledExceptionFilter  [Bound to: 0x7c862b8a]
59a61164	PRE	818  SetUnhandledExceptionFilter  [Bound to: 0x7c810386]
59a61168	PRE	440  GetSystemInfo  [Bound to: 0x7c812ac6]
59a6116c	PRE	476  GetVersionExW  [Bound to: 0x7c80aced]
59a61170	PRE	410  GetProcessHeap  [Bound to: 0x7c80aa49]
59a61174	PRE	832  SuspendThread  [Bound to: 0x7c838f10]
59a61178	PRE	703  ResumeThread  [Bound to: 0x7c81e92a]
