address	type	name	full_name	namespace	source	primary	external	external_entry
EXTERNAL:00000001	Function	__dllonexit	MSVCRT.DLL::__dllonexit	MSVCRT.DLL	IMPORTED	true	true	false
EXTERNAL:00000002	Function	_wcsicmp	MSVCRT.DLL::_wcsicmp	MSVCRT.DLL	IMPORTED	true	true	false
EXTERNAL:00000003	Function	wcsncpy	MSVCRT.DLL::wcsncpy	MSVCRT.DLL	IMPORTED	true	true	false
EXTERNAL:00000004	Function	wcscmp	MSVCRT.DLL::wcscmp	MSVCRT.DLL	IMPORTED	true	true	false
EXTERNAL:00000005	Function	wcsncmp	MSVCRT.DLL::wcsncmp	MSVCRT.DLL	IMPORTED	true	true	false
EXTERNAL:00000006	Function	__CxxFrameHandler	MSVCRT.DLL::__CxxFrameHandler	MSVCRT.DLL	IMPORTED	true	true	false
EXTERNAL:00000007	Function	_wsplitpath	MSVCRT.DLL::_wsplitpath	MSVCRT.DLL	IMPORTED	true	true	false
EXTERNAL:00000008	Function	_wcsnicmp	MSVCRT.DLL::_wcsnicmp	MSVCRT.DLL	IMPORTED	true	true	false
EXTERNAL:00000009	Function	towlower	MSVCRT.DLL::towlower	MSVCRT.DLL	IMPORTED	true	true	false
EXTERNAL:0000000a	Function	__unDName	MSVCRT.DLL::__unDName	MSVCRT.DLL	IMPORTED	true	true	false
EXTERNAL:0000000b	Function	fclose	MSVCRT.DLL::fclose	MSVCRT.DLL	IMPORTED	true	true	false
EXTERNAL:0000000c	Function	wcstol	MSVCRT.DLL::wcstol	MSVCRT.DLL	IMPORTED	true	true	false
EXTERNAL:0000000d	Function	_CxxThrowException	MSVCRT.DLL::_CxxThrowException	MSVCRT.DLL	IMPORTED	true	true	false
EXTERNAL:0000000e	Function	bsearch	MSVCRT.DLL::bsearch	MSVCRT.DLL	IMPORTED	true	true	false
EXTERNAL:0000000f	Function	_snwprintf	MSVCRT.DLL::_snwprintf	MSVCRT.DLL	IMPORTED	true	true	false
EXTERNAL:00000010	Function	fread	MSVCRT.DLL::fread	MSVCRT.DLL	IMPORTED	true	true	false
EXTERNAL:00000011	Function	fseek	MSVCRT.DLL::fseek	MSVCRT.DLL	IMPORTED	true	true	false
EXTERNAL:00000012	Function	_wfopen	MSVCRT.DLL::_wfopen	MSVCRT.DLL	IMPORTED	true	true	false
EXTERNAL:00000013	Function	fopen	MSVCRT.DLL::fopen	MSVCRT.DLL	IMPORTED	true	true	false
EXTERNAL:00000014	Label	_osver	MSVCRT.DLL::_osver	MSVCRT.DLL	IMPORTED	true	true	false
EXTERNAL:00000015	Function	_mbsnbcpy	MSVCRT.DLL::_mbsnbcpy	MSVCRT.DLL	IMPORTED	true	true	false
EXTERNAL:00000016	Function	fflush	MSVCRT.DLL::fflush	MSVCRT.DLL	IMPORTED	true	true	false
EXTERNAL:00000017	Label	_iob	MSVCRT.DLL::_iob	MSVCRT.DLL	IMPORTED	true	true	false
EXTERNAL:00000018	Function	_wmakepath	MSVCRT.DLL::_wmakepath	MSVCRT.DLL	IMPORTED	true	true	false
EXTERNAL:00000019	Function	wcsrchr	MSVCRT.DLL::wcsrchr	MSVCRT.DLL	IMPORTED	true	true	false
EXTERNAL:0000001a	Function	wcscpy	MSVCRT.DLL::wcscpy	MSVCRT.DLL	IMPORTED	true	true	false
EXTERNAL:0000001b	Function	_wcsdup	MSVCRT.DLL::_wcsdup	MSVCRT.DLL	IMPORTED	true	true	false
EXTERNAL:0000001c	Function	ftell	MSVCRT.DLL::ftell	MSVCRT.DLL	IMPORTED	true	true	false
EXTERNAL:0000001d	Function	_wgetenv	MSVCRT.DLL::_wgetenv	MSVCRT.DLL	IMPORTED	true	true	false
EXTERNAL:0000001e	Function	_mbsicmp	MSVCRT.DLL::_mbsicmp	MSVCRT.DLL	IMPORTED	true	true	false
EXTERNAL:0000001f	Function	_access	MSVCRT.DLL::_access	MSVCRT.DLL	IMPORTED	true	true	false
EXTERNAL:00000020	Function	_fullpath	MSVCRT.DLL::_fullpath	MSVCRT.DLL	IMPORTED	true	true	false
EXTERNAL:00000021	Function	_fsopen	MSVCRT.DLL::_fsopen	MSVCRT.DLL	IMPORTED	true	true	false
EXTERNAL:00000022	Function	_wfsopen	MSVCRT.DLL::_wfsopen	MSVCRT.DLL	IMPORTED	true	true	false
EXTERNAL:00000023	Function	_sopen	MSVCRT.DLL::_sopen	MSVCRT.DLL	IMPORTED	true	true	false
EXTERNAL:00000024	Function	_wsopen	MSVCRT.DLL::_wsopen	MSVCRT.DLL	IMPORTED	true	true	false
EXTERNAL:00000025	Function	_wfullpath	MSVCRT.DLL::_wfullpath	MSVCRT.DLL	IMPORTED	true	true	false
EXTERNAL:00000026	Function	_read	MSVCRT.DLL::_read	MSVCRT.DLL	IMPORTED	true	true	false
EXTERNAL:00000027	Function	_write	MSVCRT.DLL::_write	MSVCRT.DLL	IMPORTED	true	true	false
EXTERNAL:00000028	Function	_onexit	MSVCRT.DLL::_onexit	MSVCRT.DLL	IMPORTED	true	true	false
EXTERNAL:00000029	Function	_chsize	MSVCRT.DLL::_chsize	MSVCRT.DLL	IMPORTED	true	true	false
EXTERNAL:0000002a	Function	_close	MSVCRT.DLL::_close	MSVCRT.DLL	IMPORTED	true	true	false
EXTERNAL:0000002b	Function	_get_osfhandle	MSVCRT.DLL::_get_osfhandle	MSVCRT.DLL	IMPORTED	true	true	false
EXTERNAL:0000002c	Function	_open_osfhandle	MSVCRT.DLL::_open_osfhandle	MSVCRT.DLL	IMPORTED	true	true	false
EXTERNAL:0000002d	Label	_winminor	MSVCRT.DLL::_winminor	MSVCRT.DLL	IMPORTED	true	true	false
EXTERNAL:0000002e	Label	_winmajor	MSVCRT.DLL::_winmajor	MSVCRT.DLL	IMPORTED	true	true	false
EXTERNAL:0000002f	Function	_mbscmp	MSVCRT.DLL::_mbscmp	MSVCRT.DLL	IMPORTED	true	true	false
EXTERNAL:00000030	Function	_memicmp	MSVCRT.DLL::_memicmp	MSVCRT.DLL	IMPORTED	true	true	false
EXTERNAL:00000031	Function	wcsncat	MSVCRT.DLL::wcsncat	MSVCRT.DLL	IMPORTED	true	true	false
EXTERNAL:00000032	Function	terminate	MSVCRT.DLL::terminate	MSVCRT.DLL	IMPORTED	true	true	false
EXTERNAL:00000033	Function	~type_info	MSVCRT.DLL::type_info::~type_info	MSVCRT.DLL::type_info	IMPORTED	true	true	false
EXTERNAL:00000034	Label	_adjust_fdiv	MSVCRT.DLL::_adjust_fdiv	MSVCRT.DLL	IMPORTED	true	true	false
EXTERNAL:00000035	Function	initterm	MSVCRT.DLL::initterm	MSVCRT.DLL	IMPORTED	true	true	false
EXTERNAL:00000036	Function	time	MSVCRT.DLL::time	MSVCRT.DLL	IMPORTED	true	true	false
EXTERNAL:00000037	Function	memmove	MSVCRT.DLL::memmove	MSVCRT.DLL	IMPORTED	true	true	false
EXTERNAL:00000038	Function	ftol	MSVCRT.DLL::ftol	MSVCRT.DLL	IMPORTED	true	true	false
EXTERNAL:00000039	Function	swprintf	MSVCRT.DLL::swprintf	MSVCRT.DLL	IMPORTED	true	true	false
EXTERNAL:0000003a	Function	calloc	MSVCRT.DLL::calloc	MSVCRT.DLL	IMPORTED	true	true	false
EXTERNAL:0000003b	Function	wcscat	MSVCRT.DLL::wcscat	MSVCRT.DLL	IMPORTED	true	true	false
EXTERNAL:0000003c	Function	_ltoa	MSVCRT.DLL::_ltoa	MSVCRT.DLL	IMPORTED	true	true	false
EXTERNAL:0000003d	Function	_itoa	MSVCRT.DLL::_itoa	MSVCRT.DLL	IMPORTED	true	true	false
EXTERNAL:0000003e	Function	printf	MSVCRT.DLL::printf	MSVCRT.DLL	IMPORTED	true	true	false
EXTERNAL:0000003f	Function	_vsnprintf	MSVCRT.DLL::_vsnprintf	MSVCRT.DLL	IMPORTED	true	true	false
EXTERNAL:00000040	Function	strncat	MSVCRT.DLL::strncat	MSVCRT.DLL	IMPORTED	true	true	false
EXTERNAL:00000041	Function	tolower	MSVCRT.DLL::tolower	MSVCRT.DLL	IMPORTED	true	true	false
EXTERNAL:00000042	Function	_strcmpi	MSVCRT.DLL::_strcmpi	MSVCRT.DLL	IMPORTED	true	true	false
EXTERNAL:00000043	Function	_makepath	MSVCRT.DLL::_makepath	MSVCRT.DLL	IMPORTED	true	true	false
EXTERNAL:00000044	Function	purecall	MSVCRT.DLL::purecall	MSVCRT.DLL	IMPORTED	true	true	false
EXTERNAL:00000045	Function	malloc	MSVCRT.DLL::malloc	MSVCRT.DLL	IMPORTED	true	true	false
EXTERNAL:00000046	Function	free	MSVCRT.DLL::free	MSVCRT.DLL	IMPORTED	true	true	false
EXTERNAL:00000047	Function	_strlwr	MSVCRT.DLL::_strlwr	MSVCRT.DLL	IMPORTED	true	true	false
EXTERNAL:00000048	Function	isspace	MSVCRT.DLL::isspace	MSVCRT.DLL	IMPORTED	true	true	false
EXTERNAL:00000049	Function	ctime	MSVCRT.DLL::ctime	MSVCRT.DLL	IMPORTED	true	true	false
EXTERNAL:0000004a	Function	strstr	MSVCRT.DLL::strstr	MSVCRT.DLL	IMPORTED	true	true	false
