address	primary_symbol
59a82fa5	DbgHelpCreateUserDump
59a828f0	DbgHelpCreateUserDumpW
59a7d11a	EnumerateLoadedModules64
59a7d0ab	EnumerateLoadedModules
59a75881	ExtensionApiVersion
59a718d0	FindDebugInfoFile
59a71865	FindDebugInfoFileEx
59a718b0	FindExecutableImage
59a7181e	FindExecutableImageEx
59a70985	FindFileInPath
59a709b4	FindFileInSearchPath
59a78de8	GetTimestampForLoadedLibrary
59a78acb	ImageDirectoryEntryToData
59a78a33	ImageDirectoryEntryToDataEx
59a7883d	ImageNtHeader
59a78aec	ImageRvaToSection
59a78b2f	ImageRvaToVa
59a71453	ImagehlpApiVersion
59a7145e	ImagehlpApiVersionEx
59a71307	MakeSureDirectoryPathExists
59a7032c	MapDebugInformation
59a8b019	MiniDumpReadDumpStream
59a8b9b0	MiniDumpWriteDump
59a712e7	SearchTreeForFile
59a83492	StackWalk64
59a8334c	StackWalk
59a7b6ba	SymCleanup
59a7e190	SymEnumSourceFiles
59a7e16c	SymEnumSym
59a7e143	SymEnumSymbols
59a7d399	SymEnumTypes
59a7b9fb	SymEnumerateModules64
59a7b9dd	SymEnumerateModules
59a7e007	SymEnumerateSymbols64
59a7dfc8	SymEnumerateSymbols
59a706f7	SymFindFileInPath
59a7d315	SymFromAddr
59a7d362	SymFromName
59a7c790	SymFunctionTableAccess64
59a7d92f	SymFunctionTableAccess
59a798f7	SymGetFileLineOffsets64
59a7c001	SymGetLineFromAddr64
59a7c0af	SymGetLineFromAddr
59a7c0f2	SymGetLineFromName64
59a7c2f5	SymGetLineFromName
59a7c345	SymGetLineNext64
59a7c469	SymGetLineNext
59a7c4ad	SymGetLinePrev64
59a7c5c3	SymGetLinePrev
59a7cba8	SymGetModuleBase64
59a7cc18	SymGetModuleBase
59a7c94e	SymGetModuleInfo64
59a7ca70	SymGetModuleInfo
59a7e0d6	SymGetModuleInfoW64
59a7e04c	SymGetModuleInfoW
59a7b7ad	SymGetOptions
59a7ce9e	SymGetSearchPath
59a7bac7	SymGetSymFromAddr64
59a7bb04	SymGetSymFromAddr
59a7be87	SymGetSymFromName64
59a7bebe	SymGetSymFromName
59a7d8a8	SymGetSymNext64
59a7d857	SymGetSymNext
59a7d914	SymGetSymPrev64
59a7d8c3	SymGetSymPrev
59a7d3ff	SymGetTypeFromName
59a7d61e	SymGetTypeInfo
59a7d6fb	SymInitialize
59a7cd63	SymLoadModule64
59a7cd8f	SymLoadModule
59a7ccff	SymLoadModuleEx
59a7c607	SymMatchFileName
59a7dc14	SymMatchString
59a7d201	SymRegisterCallback64
59a7d189	SymRegisterCallback
59a7c718	SymRegisterFunctionEntryCallback64
59a7c6a0	SymRegisterFunctionEntryCallback
59a7b7b8	SymSetContext
59a7b77b	SymSetOptions
59a7cf08	SymSetSearchPath
59a7bb4d	SymSetSymWithAddr64
59a7ce2a	SymUnDName64
59a7cdb6	SymUnDName
59a7cc33	SymUnloadModule64
59a7cce4	SymUnloadModule
59a78ce2	UnDecorateSymbolName
59a7052c	UnmapDebugInformation
59a7588c	WinDbgExtensionDllInit
59a7b962	dbghelp
59a77c16	dh
59a75a15	lm
59a76fe6	lmi
59a77147	omap
59a772a5	srcfiles
59a758ed	sym
59a758bf	vc7fpo
59a907e4	entry
