library	label	original_imported_name	parent	address	external_space_address	is_function	source	data_type
ADVAPI32.DLL	RegOpenKeyExW	\N	ADVAPI32.DLL	77dd6a78	EXTERNAL:000000c4	true	IMPORTED	null
ADVAPI32.DLL	RegQueryInfoKeyW	\N	ADVAPI32.DLL	77dfccef	EXTERNAL:000000c3	true	IMPORTED	null
ADVAPI32.DLL	RegEnumKeyExW	\N	ADVAPI32.DLL	77dd79a1	EXTERNAL:000000c2	true	IMPORTED	null
ADVAPI32.DLL	RegCloseKey	\N	ADVAPI32.DLL	77dd6bf0	EXTERNAL:000000c5	true	IMPORTED	null
ADVAPI32.DLL	InitializeSecurityDescriptor	\N	ADVAPI32.DLL	77dd778e	EXTERNAL:000000c7	true	IMPORTED	null
ADVAPI32.DLL	SetSecurityDescriptorDacl	\N	ADVAPI32.DLL	77dd77b3	EXTERNAL:000000c6	true	IMPORTED	null
ADVAPI32.DLL	RegOpenKeyExA	\N	ADVAPI32.DLL	77dd761b	EXTERNAL:000000bf	true	IMPORTED	null
ADVAPI32.DLL	RegQueryValueExA	\N	ADVAPI32.DLL	77dd7883	EXTERNAL:000000c0	true	IMPORTED	null
ADVAPI32.DLL	RegQueryValueExW	\N	ADVAPI32.DLL	77dd6fc8	EXTERNAL:000000c1	true	IMPORTED	null
ADVAPI32.DLL	CryptAcquireContextA	\N	ADVAPI32.DLL	77de7f96	EXTERNAL:000000bc	true	IMPORTED	null
ADVAPI32.DLL	CryptGenRandom	\N	ADVAPI32.DLL	77de5244	EXTERNAL:000000bd	true	IMPORTED	null
ADVAPI32.DLL	CryptReleaseContext	\N	ADVAPI32.DLL	77de8546	EXTERNAL:000000be	true	IMPORTED	null
KERNEL32.DLL	DeviceIoControl	\N	KERNEL32.DLL	7c801625	EXTERNAL:0000005d	true	IMPORTED	null
KERNEL32.DLL	CopyFileA	\N	KERNEL32.DLL	7c830053	EXTERNAL:00000060	true	IMPORTED	null
KERNEL32.DLL	InterlockedIncrement	\N	KERNEL32.DLL	7c80977b	EXTERNAL:00000069	true	IMPORTED	null
KERNEL32.DLL	InterlockedDecrement	\N	KERNEL32.DLL	7c809794	EXTERNAL:0000006a	true	IMPORTED	null
KERNEL32.DLL	GetCurrentProcess	\N	KERNEL32.DLL	7c80e00d	EXTERNAL:0000006e	true	IMPORTED	null
KERNEL32.DLL	GetLastError	\N	KERNEL32.DLL	7c910331	EXTERNAL:00000074	true	IMPORTED	null
KERNEL32.DLL	lstrcpyA	\N	KERNEL32.DLL	7c80c729	EXTERNAL:0000007d	true	IMPORTED	null
KERNEL32.DLL	TlsGetValue	\N	KERNEL32.DLL	7c809750	EXTERNAL:0000007f	true	IMPORTED	null
KERNEL32.DLL	GetProcAddress	\N	KERNEL32.DLL	7c80ac28	EXTERNAL:00000086	true	IMPORTED	null
KERNEL32.DLL	CreateFileMappingA	\N	KERNEL32.DLL	7c80946c	EXTERNAL:0000008e	true	IMPORTED	null
KERNEL32.DLL	GetCurrentProcessId	\N	KERNEL32.DLL	7c80994e	EXTERNAL:00000096	true	IMPORTED	null
