entry	name	full_name	namespace	name_source	signature_source	calling_convention	return_type	parameter_count	is_thunk	thunk_target	is_external	body_ranges	comment	repeatable_comment	prototype
59a70030	FUN_59a70030	FUN_59a70030	Global	DEFAULT	ANALYSIS	__cdecl	undefined	3	false	\N	false	59a70030-59a7004c;59a70050-59a700b0	\N	\N	undefined __cdecl FUN_59a70030(undefined1 * param_1, int param_2, undefined * param_3)
59a700c0	FUN_59a700c0	FUN_59a700c0	Global	DEFAULT	ANALYSIS	__cdecl	undefined	4	false	\N	false	59a700c0-59a700fc;59a70100-59a701ec;59a701f0-59a70326	\N	\N	undefined __cdecl FUN_59a700c0(undefined1 * param_1, uint param_2, uint param_3, undefined * param_4)
59a7032c	MapDebugInformation	MapDebugInformation	Global	IMPORTED	ANALYSIS	__stdcall	undefined	4	false	\N	false	59a7032c-59a70526	\N	\N	undefined __stdcall MapDebugInformation(HANDLE param_1, BYTE * param_2, char * param_3, undefined4 param_4)
59a7052c	UnmapDebugInformation	UnmapDebugInformation	Global	IMPORTED	ANALYSIS	__stdcall	undefined4	1	false	\N	false	59a7052c-59a70594	\N	\N	undefined4 __stdcall UnmapDebugInformation(int param_1)
59a7059a	FUN_59a7059a	FUN_59a7059a	Global	DEFAULT	ANALYSIS	__stdcall	undefined	1	false	\N	false	59a7059a-59a706f1	\N	\N	undefined __stdcall FUN_59a7059a(char * param_1)
59a706f7	SymFindFileInPath	SymFindFileInPath	Global	IMPORTED	ANALYSIS	__stdcall	undefined	10	false	\N	false	59a706f7-59a7097f	\N	\N	undefined __stdcall SymFindFileInPath(int param_1, char * param_2, char * param_3, int * * * * param_4, undefined4 param_5, undefined4 param_6, uint param_7, char * param_8, undefined * param_9, undefined4 param_10)
59a70985	FindFileInPath	FindFileInPath	Global	IMPORTED	ANALYSIS	__stdcall	undefined	8	false	\N	false	59a70985-59a709ae	\N	\N	undefined __stdcall FindFileInPath(int param_1, char * param_2, char * param_3, int * * * * param_4, undefined4 param_5, undefined4 param_6, uint param_7, char * param_8)
59a709b4	FindFileInSearchPath	FindFileInSearchPath	Global	IMPORTED	ANALYSIS	__stdcall	undefined	7	false	\N	false	59a709b4-59a709d8	\N	\N	undefined __stdcall FindFileInSearchPath(int param_1, char * param_2, char * param_3, int * * * * param_4, undefined4 param_5, undefined4 param_6, char * param_7)
59a709de	FUN_59a709de	FUN_59a709de	Global	DEFAULT	ANALYSIS	__stdcall	typedef HANDLE void *	4	false	\N	false	59a709de-59a70ac2	\N	\N	HANDLE __stdcall FUN_59a709de(LPCSTR param_1, undefined * param_2, undefined4 param_3, byte param_4)
59a70ac8	FUN_59a70ac8	FUN_59a70ac8	Global	DEFAULT	ANALYSIS	__stdcall	bool	2	false	\N	false	59a70ac8-59a70af2	\N	\N	bool __stdcall FUN_59a70ac8(LPCSTR param_1, undefined4 * param_2)
59a70af8	FUN_59a70af8	FUN_59a70af8	Global	DEFAULT	ANALYSIS	__stdcall	undefined	6	false	\N	false	59a70af8-59a70fad;59a70fda-59a71099	\N	\N	undefined __stdcall FUN_59a70af8(char * param_1, char * param_2, BYTE * param_3, undefined * param_4, int param_5, uint param_6)
59a7109f	FUN_59a7109f	FUN_59a7109f	Global	DEFAULT	ANALYSIS	__stdcall	undefined	5	false	\N	false	59a7109f-59a712e1	\N	\N	undefined __stdcall FUN_59a7109f(char * param_1, BYTE * param_2, int param_3, undefined * param_4, undefined4 param_5)
59a712e7	SearchTreeForFile	SearchTreeForFile	Global	IMPORTED	ANALYSIS	__stdcall	undefined	3	false	\N	false	59a712e7-59a71301	\N	\N	undefined __stdcall SearchTreeForFile(char * param_1, BYTE * param_2, int param_3)
59a71307	MakeSureDirectoryPathExists	MakeSureDirectoryPathExists	Global	IMPORTED	ANALYSIS	__stdcall	undefined4	1	false	\N	false	59a71307-59a7141e;59a71440-59a7144d	\N	\N	undefined4 __stdcall MakeSureDirectoryPathExists(BYTE * param_1)
59a71453	ImagehlpApiVersion	ImagehlpApiVersion	Global	IMPORTED	ANALYSIS	__stdcall	undefined *	0	false	\N	false	59a71453-59a71458	\N	\N	undefined * __stdcall ImagehlpApiVersion(void)
59a7145e	ImagehlpApiVersionEx	ImagehlpApiVersionEx	Global	IMPORTED	ANALYSIS	__stdcall	undefined *	1	false	\N	false	59a7145e-59a71475;59a71482-59a71499	\N	\N	undefined * __stdcall ImagehlpApiVersionEx(undefined * param_1)
59a7149f	FUN_59a7149f	FUN_59a7149f	Global	DEFAULT	ANALYSIS	__stdcall	undefined	6	false	\N	false	59a7149f-59a71682;59a71692-59a716a0;59a716b0-59a716ee	\N	\N	undefined __stdcall FUN_59a7149f(BYTE * param_1, char * param_2, LPSTR param_3, undefined * param_4, undefined4 param_5, undefined4 param_6)
59a716f4	FUN_59a716f4	FUN_59a716f4	Global	DEFAULT	ANALYSIS	__stdcall	typedef HANDLE void *	6	false	\N	false	59a716f4-59a71799;59a717ab-59a71818	\N	\N	HANDLE __stdcall FUN_59a716f4(BYTE * param_1, char * param_2, BYTE * param_3, undefined * param_4, undefined4 param_5, undefined4 param_6)
59a7181e	FindExecutableImageEx	FindExecutableImageEx	Global	IMPORTED	ANALYSIS	__stdcall	undefined	5	false	\N	false	59a7181e-59a7185f	\N	\N	undefined __stdcall FindExecutableImageEx(BYTE * param_1, char * param_2, BYTE * param_3, undefined * param_4, undefined4 param_5)
59a71865	FindDebugInfoFileEx	FindDebugInfoFileEx	Global	IMPORTED	ANALYSIS	__stdcall	undefined	5	false	\N	false	59a71865-59a718aa	\N	\N	undefined __stdcall FindDebugInfoFileEx(char * param_1, char * param_2, BYTE * param_3, undefined * param_4, int param_5)
59a718b0	FindExecutableImage	FindExecutableImage	Global	IMPORTED	ANALYSIS	__stdcall	undefined	3	false	\N	false	59a718b0-59a718ca	\N	\N	undefined __stdcall FindExecutableImage(BYTE * param_1, char * param_2, BYTE * param_3)
59a718d0	FindDebugInfoFile	FindDebugInfoFile	Global	IMPORTED	ANALYSIS	__stdcall	undefined	3	false	\N	false	59a718d0-59a718ea	\N	\N	undefined __stdcall FindDebugInfoFile(char * param_1, char * param_2, BYTE * param_3)
59a718f0	QzAtlComPtrAssign	QzAtlComPtrAssign	Global	ANALYSIS	IMPORTED	__stdcall	IUnknown *	2	false	\N	false	59a718f0-59a7191c	Library Function - Single Match\n struct IUnknown * __stdcall QzAtlComPtrAssign(struct IUnknown * *,struct IUnknown *)\n\nLibrary: Visual Studio 2019 Release	\N	IUnknown * __stdcall QzAtlComPtrAssign(IUnknown * * param_1, IUnknown * param_2)
59a71922	FUN_59a71922	FUN_59a71922	Global	DEFAULT	ANALYSIS	__stdcall	undefined4	1	false	\N	false	59a71922-59a71958	\N	\N	undefined4 __stdcall FUN_59a71922(int * param_1)
59a7195e	FUN_59a7195e	FUN_59a7195e	Global	DEFAULT	ANALYSIS	__stdcall	int	2	false	\N	false	59a7195e-59a7197b	\N	\N	int __stdcall FUN_59a7195e(int param_1, int param_2)
59a71981	FUN_59a71981	FUN_59a71981	Global	DEFAULT	ANALYSIS	__stdcall	bool	2	false	\N	false	59a71981-59a719a2	\N	\N	bool __stdcall FUN_59a71981(int param_1, int * param_2)
59a719a8	FUN_59a719a8	FUN_59a719a8	Global	DEFAULT	ANALYSIS	__stdcall	undefined *	1	false	\N	false	59a719a8-59a719e6	\N	\N	undefined * __stdcall FUN_59a719a8(int param_1)
59a719ec	FUN_59a719ec	FUN_59a719ec	Global	DEFAULT	ANALYSIS	__stdcall	undefined4	0	false	\N	false	59a719ec-59a719f1	\N	\N	undefined4 __stdcall FUN_59a719ec(void)
59a719f7	FUN_59a719f7	FUN_59a719f7	Global	DEFAULT	ANALYSIS	__stdcall	char *	3	false	\N	false	59a719f7-59a71a35	\N	\N	char * __stdcall FUN_59a719f7(char * param_1, int param_2, char * param_3)
