address	length	data_type	value
59a602c8	11	TerminatedCString	msvcrt.dll
59a602d3	13	TerminatedCString	KERNEL32.dll
59a602e0	10	string	NTDLL.DLL
59a602ea	12	TerminatedCString	VERSION.dll
59a602f6	13	TerminatedCString	ADVAPI32.dll
59a60303	11	TerminatedCString	RPCRT4.dll
59a6135c	8	string	SYMSRV*
59a61364	11	string	debug(%s)\n
59a61370	9	string	no file\n
59a61384	22	string	mismatched timestamp\s
59a6139c	43	string	FindExecutableImageEx-> Looking for %s...\s
59a613c8	16	string	file not found\n
59a613d8	16	string	path not found\n
59a613e8	17	string	file error 0x%x\n
59a613fc	22	string	mismatched timestamp\n
59a61414	41	string	FindDebugInfoFileEx-> Looking for %s...\s
59a61440	8	string	symbols
59a6148b	9	string	Yfound\n
59a61494	48	string	FindExecutableImageEx-> Searching %s for %s...\s
59a614eb	17	string	YRECURSIVE %s\n
59a614fc	16	string	pdb error 0x%x
59a6150c	20	string	pdb has no symbols
59a61520	16	string	E_PDB_RESERVED
59a61530	28	string	image has invalid timestamp
59a6154c	28	string	pdb is stripped of cv info
59a61568	20	string	dbg file not found
59a6157c	28	string	invalid executable image
59a61598	24	string	E_PDB_ILLEGAL_TYPE_EDIT
59a615b0	20	string	E_PDB_ACCESS_DENIED
59a615d0	16	string	E_PDB_CORRUPT
59a615e0	12	string	E_PDB_LIMIT
59a615ec	44	string	file system or network error reading pdb
59a61628	24	string	E_PDB_NOT_IMPLEMENTED
59a61640	16	string	E_PDB_OUT_OF_TI
59a61650	24	string	E_PDB_PRECOMP_REQUIRED
59a61668	16	string	unmatched pdb
59a61678	16	string	file not found
59a61688	12	string	disk error
59a61694	16	string	out of memory
59a616a4	19	string	invalid parameters
59a616bc	15	string	dia error 0x%x
59a6179c	17	string	unknown pdb sig\s
59a617b8	34	string	diaLocatePDB-> Looking for %s...\s
59a617f4	12	unicode	PDATA
59a61800	12	unicode	XDATA
59a6180c	18	unicode	OMAPFROM
59a61820	14	unicode	OMAPTO
59a61834	13	string	IP not set!\n
59a61844	12	string	`string'
59a61858	55	string	\scouldn't match name! disp=0x%x rva=0x%x addr=0x%I64x\n
59a61890	20	unicode	FrameData
59a6197c	9	string	Reserved
59a61988	21	string	Import Address Table
59a619a0	13	string	Bound Import
