address	type	comment
100001e8	EOL	UPX0
10000210	EOL	UPX1
10000238	EOL	.rsrc
10010232	PRE	0x10232  96  _FSOUND_File_SetCallbacks@20
10010be6	PRE	0x10be6  174  _FSOUND_SetMemorySystem@20
10010d1e	PRE	0x10d1e  111  _FSOUND_GetMemoryStats@8
100205c2	PRE	0x205c2  25  _FMUSIC_LoadSong@4
100205ee	PRE	0x205ee  26  _FMUSIC_LoadSongEx@24
10020626	PRE	0x20626  1  _FMUSIC_FreeSong@4
10020896	PRE	0x20896  28  _FMUSIC_PlaySong@4
10020b30	PRE	0x20b30  43  _FMUSIC_StopSong@4
10020c18	PRE	0x20c18  42  _FMUSIC_StopAllSongs@0
10020c3f	PRE	0x20c3f  41  _FMUSIC_SetZxxCallback@8
10020cde	PRE	0x20cde  38  _FMUSIC_SetRowCallback@12
10020d94	PRE	0x20d94  34  _FMUSIC_SetOrderCallback@12
10020e4a	PRE	0x20e4a  29  _FMUSIC_SetInstCallback@12
10020ef6	PRE	0x20ef6  39  _FMUSIC_SetSample@12
10021130	PRE	0x21130  27  _FMUSIC_OptimizeChannels@12
1002118b	PRE	0x2118b  33  _FMUSIC_SetOrder@8
1002126c	PRE	0x2126c  36  _FMUSIC_SetPaused@8
100212c0	PRE	0x212c0  32  _FMUSIC_SetMasterVolume@8
10021323	PRE	0x21323  31  _FMUSIC_SetMasterSpeed@8
100213a8	PRE	0x213a8  35  _FMUSIC_SetPanSeperation@8
1002141d	PRE	0x2141d  5  _FMUSIC_GetName@4
10021459	PRE	0x21459  21  _FMUSIC_GetType@4
1002148c	PRE	0x2148c  23  _FMUSIC_IsFinished@4
100214da	PRE	0x214da  24  _FMUSIC_IsPlaying@4
10021536	PRE	0x21536  8  _FMUSIC_GetNumOrders@4
10021575	PRE	0x21575  9  _FMUSIC_GetNumPatterns@4
100215aa	PRE	0x215aa  7  _FMUSIC_GetNumInstruments@4
100215e9	PRE	0x215e9  10  _FMUSIC_GetNumSamples@4
10021628	PRE	0x21628  6  _FMUSIC_GetNumChannels@4
10021667	PRE	0x21667  18  _FMUSIC_GetSample@8
100216b9	PRE	0x216b9  14  _FMUSIC_GetPatternLength@8
1002170b	PRE	0x2170b  4  _FMUSIC_GetMasterVolume@4
1002174b	PRE	0x2174b  3  _FMUSIC_GetGlobalVolume@4
