address	type	name	full_name	namespace	source	primary	external	external_entry
EXTERNAL:00000001	Function	LoadLibraryA	KERNEL32.DLL::LoadLibraryA	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000002	Function	GetProcAddress	KERNEL32.DLL::GetProcAddress	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000003	Function	RegCloseKey	ADVAPI32.DLL::RegCloseKey	ADVAPI32.DLL	IMPORTED	true	true	false
EXTERNAL:00000004	Function	acmStreamOpen	MSACM32.DLL::acmStreamOpen	MSACM32.DLL	IMPORTED	true	true	false
EXTERNAL:00000005	Function	abs	MSVCRT.DLL::abs	MSVCRT.DLL	IMPORTED	true	true	false
EXTERNAL:00000006	Function	CoInitialize	OLE32.DLL::CoInitialize	OLE32.DLL	IMPORTED	true	true	false
EXTERNAL:00000007	Function	ShowWindow	USER32.DLL::ShowWindow	USER32.DLL	IMPORTED	true	true	false
EXTERNAL:00000008	Function	mixerOpen	WINMM.DLL::mixerOpen	WINMM.DLL	IMPORTED	true	true	false
EXTERNAL:00000009	Function	inet_ntoa	WSOCK32.DLL::inet_ntoa	WSOCK32.DLL	IMPORTED	true	true	false
10010232	Label	_FSOUND_File_SetCallbacks@20	_FSOUND_File_SetCallbacks@20	Global	IMPORTED	true	false	true
10010232	Label	Ordinal_96	Ordinal_96	Global	IMPORTED	false	false	true
10010be6	Label	_FSOUND_SetMemorySystem@20	_FSOUND_SetMemorySystem@20	Global	IMPORTED	true	false	true
10010be6	Label	Ordinal_174	Ordinal_174	Global	IMPORTED	false	false	true
10010d1e	Label	_FSOUND_GetMemoryStats@8	_FSOUND_GetMemoryStats@8	Global	IMPORTED	true	false	true
10010d1e	Label	Ordinal_111	Ordinal_111	Global	IMPORTED	false	false	true
100205c2	Label	_FMUSIC_LoadSong@4	_FMUSIC_LoadSong@4	Global	IMPORTED	true	false	true
100205c2	Label	Ordinal_25	Ordinal_25	Global	IMPORTED	false	false	true
100205ee	Label	_FMUSIC_LoadSongEx@24	_FMUSIC_LoadSongEx@24	Global	IMPORTED	true	false	true
100205ee	Label	Ordinal_26	Ordinal_26	Global	IMPORTED	false	false	true
10020626	Label	_FMUSIC_FreeSong@4	_FMUSIC_FreeSong@4	Global	IMPORTED	true	false	true
10020626	Label	Ordinal_1	Ordinal_1	Global	IMPORTED	false	false	true
10020896	Label	_FMUSIC_PlaySong@4	_FMUSIC_PlaySong@4	Global	IMPORTED	true	false	true
10020896	Label	Ordinal_28	Ordinal_28	Global	IMPORTED	false	false	true
10020b30	Label	_FMUSIC_StopSong@4	_FMUSIC_StopSong@4	Global	IMPORTED	true	false	true
10020b30	Label	Ordinal_43	Ordinal_43	Global	IMPORTED	false	false	true
10020c18	Label	_FMUSIC_StopAllSongs@0	_FMUSIC_StopAllSongs@0	Global	IMPORTED	true	false	true
10020c18	Label	Ordinal_42	Ordinal_42	Global	IMPORTED	false	false	true
10020c3f	Label	_FMUSIC_SetZxxCallback@8	_FMUSIC_SetZxxCallback@8	Global	IMPORTED	true	false	true
10020c3f	Label	Ordinal_41	Ordinal_41	Global	IMPORTED	false	false	true
10020cde	Label	_FMUSIC_SetRowCallback@12	_FMUSIC_SetRowCallback@12	Global	IMPORTED	true	false	true
10020cde	Label	Ordinal_38	Ordinal_38	Global	IMPORTED	false	false	true
10020d94	Label	_FMUSIC_SetOrderCallback@12	_FMUSIC_SetOrderCallback@12	Global	IMPORTED	true	false	true
10020d94	Label	Ordinal_34	Ordinal_34	Global	IMPORTED	false	false	true
10020e4a	Label	_FMUSIC_SetInstCallback@12	_FMUSIC_SetInstCallback@12	Global	IMPORTED	true	false	true
10020e4a	Label	Ordinal_29	Ordinal_29	Global	IMPORTED	false	false	true
10020ef6	Label	_FMUSIC_SetSample@12	_FMUSIC_SetSample@12	Global	IMPORTED	true	false	true
10020ef6	Label	Ordinal_39	Ordinal_39	Global	IMPORTED	false	false	true
10021130	Label	_FMUSIC_OptimizeChannels@12	_FMUSIC_OptimizeChannels@12	Global	IMPORTED	true	false	true
10021130	Label	Ordinal_27	Ordinal_27	Global	IMPORTED	false	false	true
1002118b	Label	_FMUSIC_SetOrder@8	_FMUSIC_SetOrder@8	Global	IMPORTED	true	false	true
1002118b	Label	Ordinal_33	Ordinal_33	Global	IMPORTED	false	false	true
1002126c	Label	_FMUSIC_SetPaused@8	_FMUSIC_SetPaused@8	Global	IMPORTED	true	false	true
1002126c	Label	Ordinal_36	Ordinal_36	Global	IMPORTED	false	false	true
100212c0	Label	_FMUSIC_SetMasterVolume@8	_FMUSIC_SetMasterVolume@8	Global	IMPORTED	true	false	true
100212c0	Label	Ordinal_32	Ordinal_32	Global	IMPORTED	false	false	true
10021323	Label	_FMUSIC_SetMasterSpeed@8	_FMUSIC_SetMasterSpeed@8	Global	IMPORTED	true	false	true
10021323	Label	Ordinal_31	Ordinal_31	Global	IMPORTED	false	false	true
100213a8	Label	_FMUSIC_SetPanSeperation@8	_FMUSIC_SetPanSeperation@8	Global	IMPORTED	true	false	true
100213a8	Label	Ordinal_35	Ordinal_35	Global	IMPORTED	false	false	true
1002141d	Label	_FMUSIC_GetName@4	_FMUSIC_GetName@4	Global	IMPORTED	true	false	true
1002141d	Label	Ordinal_5	Ordinal_5	Global	IMPORTED	false	false	true
10021459	Label	_FMUSIC_GetType@4	_FMUSIC_GetType@4	Global	IMPORTED	true	false	true
10021459	Label	Ordinal_21	Ordinal_21	Global	IMPORTED	false	false	true
1002148c	Label	_FMUSIC_IsFinished@4	_FMUSIC_IsFinished@4	Global	IMPORTED	true	false	true
1002148c	Label	Ordinal_23	Ordinal_23	Global	IMPORTED	false	false	true
100214da	Label	_FMUSIC_IsPlaying@4	_FMUSIC_IsPlaying@4	Global	IMPORTED	true	false	true
100214da	Label	Ordinal_24	Ordinal_24	Global	IMPORTED	false	false	true
10021536	Label	_FMUSIC_GetNumOrders@4	_FMUSIC_GetNumOrders@4	Global	IMPORTED	true	false	true
10021536	Label	Ordinal_8	Ordinal_8	Global	IMPORTED	false	false	true
10021575	Label	_FMUSIC_GetNumPatterns@4	_FMUSIC_GetNumPatterns@4	Global	IMPORTED	true	false	true
10021575	Label	Ordinal_9	Ordinal_9	Global	IMPORTED	false	false	true
100215aa	Label	_FMUSIC_GetNumInstruments@4	_FMUSIC_GetNumInstruments@4	Global	IMPORTED	true	false	true
100215aa	Label	Ordinal_7	Ordinal_7	Global	IMPORTED	false	false	true
100215e9	Label	_FMUSIC_GetNumSamples@4	_FMUSIC_GetNumSamples@4	Global	IMPORTED	true	false	true
100215e9	Label	Ordinal_10	Ordinal_10	Global	IMPORTED	false	false	true
10021628	Label	_FMUSIC_GetNumChannels@4	_FMUSIC_GetNumChannels@4	Global	IMPORTED	true	false	true
10021628	Label	Ordinal_6	Ordinal_6	Global	IMPORTED	false	false	true
10021667	Label	_FMUSIC_GetSample@8	_FMUSIC_GetSample@8	Global	IMPORTED	true	false	true
10021667	Label	Ordinal_18	Ordinal_18	Global	IMPORTED	false	false	true
100216b9	Label	_FMUSIC_GetPatternLength@8	_FMUSIC_GetPatternLength@8	Global	IMPORTED	true	false	true
100216b9	Label	Ordinal_14	Ordinal_14	Global	IMPORTED	false	false	true
1002170b	Label	_FMUSIC_GetMasterVolume@4	_FMUSIC_GetMasterVolume@4	Global	IMPORTED	true	false	true
1002170b	Label	Ordinal_4	Ordinal_4	Global	IMPORTED	false	false	true
1002174b	Label	_FMUSIC_GetGlobalVolume@4	_FMUSIC_GetGlobalVolume@4	Global	IMPORTED	true	false	true
1002174b	Label	Ordinal_3	Ordinal_3	Global	IMPORTED	false	false	true
1002178b	Label	_FMUSIC_GetPattern@4	_FMUSIC_GetPattern@4	Global	IMPORTED	true	false	true
1002178b	Label	Ordinal_13	Ordinal_13	Global	IMPORTED	false	false	true
100217d3	Label	_FMUSIC_GetSpeed@4	_FMUSIC_GetSpeed@4	Global	IMPORTED	true	false	true
100217d3	Label	Ordinal_19	Ordinal_19	Global	IMPORTED	false	false	true
10021813	Label	_FMUSIC_GetBPM@4	_FMUSIC_GetBPM@4	Global	IMPORTED	true	false	true
10021813	Label	Ordinal_2	Ordinal_2	Global	IMPORTED	false	false	true
10021853	Label	_FMUSIC_GetOrder@4	_FMUSIC_GetOrder@4	Global	IMPORTED	true	false	true
10021853	Label	Ordinal_12	Ordinal_12	Global	IMPORTED	false	false	true
100218a9	Label	_FMUSIC_GetRow@4	_FMUSIC_GetRow@4	Global	IMPORTED	true	false	true
100218a9	Label	Ordinal_17	Ordinal_17	Global	IMPORTED	false	false	true
10021900	Label	_FMUSIC_GetTime@4	_FMUSIC_GetTime@4	Global	IMPORTED	true	false	true
10021900	Label	Ordinal_20	Ordinal_20	Global	IMPORTED	false	false	true
1002197b	Label	_FMUSIC_GetPaused@4	_FMUSIC_GetPaused@4	Global	IMPORTED	true	false	true
1002197b	Label	Ordinal_15	Ordinal_15	Global	IMPORTED	false	false	true
100219ba	Label	_FMUSIC_GetRealChannel@8	_FMUSIC_GetRealChannel@8	Global	IMPORTED	true	false	true
100219ba	Label	Ordinal_16	Ordinal_16	Global	IMPORTED	false	false	true
10021a20	Label	_FMUSIC_SetLooping@8	_FMUSIC_SetLooping@8	Global	IMPORTED	true	false	true
10021a20	Label	Ordinal_30	Ordinal_30	Global	IMPORTED	false	false	true
10021a65	Label	_FMUSIC_SetUserData@8	_FMUSIC_SetUserData@8	Global	IMPORTED	true	false	true
10021a65	Label	Ordinal_40	Ordinal_40	Global	IMPORTED	false	false	true
10021aaa	Label	_FMUSIC_GetUserData@4	_FMUSIC_GetUserData@4	Global	IMPORTED	true	false	true
