address	primary_symbol
10020626	_FMUSIC_FreeSong@4
10021813	_FMUSIC_GetBPM@4
1002174b	_FMUSIC_GetGlobalVolume@4
1002170b	_FMUSIC_GetMasterVolume@4
1002141d	_FMUSIC_GetName@4
10021628	_FMUSIC_GetNumChannels@4
100215aa	_FMUSIC_GetNumInstruments@4
10021536	_FMUSIC_GetNumOrders@4
10021575	_FMUSIC_GetNumPatterns@4
100215e9	_FMUSIC_GetNumSamples@4
10021d11	_FMUSIC_GetOpenState@4
10021853	_FMUSIC_GetOrder@4
1002178b	_FMUSIC_GetPattern@4
100216b9	_FMUSIC_GetPatternLength@8
1002197b	_FMUSIC_GetPaused@4
100219ba	_FMUSIC_GetRealChannel@8
100218a9	_FMUSIC_GetRow@4
10021667	_FMUSIC_GetSample@8
100217d3	_FMUSIC_GetSpeed@4
10021900	_FMUSIC_GetTime@4
10021459	_FMUSIC_GetType@4
10021aaa	_FMUSIC_GetUserData@4
1002148c	_FMUSIC_IsFinished@4
100214da	_FMUSIC_IsPlaying@4
100205c2	_FMUSIC_LoadSong@4
100205ee	_FMUSIC_LoadSongEx@24
10021130	_FMUSIC_OptimizeChannels@12
10020896	_FMUSIC_PlaySong@4
10020e4a	_FMUSIC_SetInstCallback@12
10021a20	_FMUSIC_SetLooping@8
10021323	_FMUSIC_SetMasterSpeed@8
100212c0	_FMUSIC_SetMasterVolume@8
1002118b	_FMUSIC_SetOrder@8
10020d94	_FMUSIC_SetOrderCallback@12
100213a8	_FMUSIC_SetPanSeperation@8
1002126c	_FMUSIC_SetPaused@8
10021ced	_FMUSIC_SetReverb@4
10020cde	_FMUSIC_SetRowCallback@12
10020ef6	_FMUSIC_SetSample@12
10021a65	_FMUSIC_SetUserData@8
10020c3f	_FMUSIC_SetZxxCallback@8
10020c18	_FMUSIC_StopAllSongs@0
10020b30	_FMUSIC_StopSong@4
100231ae	_FSOUND_3D_GetAttributes@12
1002854c	_FSOUND_3D_GetMinMaxDistance@12
10022dfc	_FSOUND_3D_Listener_GetAttributes@32
10022cbb	_FSOUND_3D_Listener_SetAttributes@32
1002301c	_FSOUND_3D_Listener_SetCurrent@8
1002304a	_FSOUND_3D_SetAttributes@12
10022f5b	_FSOUND_3D_SetDistanceFactor@4
10022f32	_FSOUND_3D_SetDopplerFactor@4
1002845d	_FSOUND_3D_SetMinMaxDistance@12
10022fbe	_FSOUND_3D_SetRolloffFactor@4
1002639b	_FSOUND_CD_Eject@4
1002648e	_FSOUND_CD_GetNumTracks@4
10026462	_FSOUND_CD_GetPaused@4
1002647a	_FSOUND_CD_GetTrack@4
100264a2	_FSOUND_CD_GetTrackLength@8
10026501	_FSOUND_CD_GetTrackTime@4
1002637d	_FSOUND_CD_GetVolume@4
10026405	_FSOUND_CD_OpenTray@8
1002623e	_FSOUND_CD_Play@8
100262d2	_FSOUND_CD_SetPaused@8
100262b9	_FSOUND_CD_SetPlayMode@8
100264e7	_FSOUND_CD_SetTrackTime@8
