address	length	data_type	value
1008d333	9	string	er Error
100930be	30	TerminatedUnicode	StringFileInfo
100930e2	18	TerminatedUnicode	0c0904b0
100930fa	18	TerminatedUnicode	Comments
1009310c	56	TerminatedUnicode	FMOD Sound and Music System
1009314a	24	TerminatedUnicode	CompanyName
10093164	64	TerminatedUnicode	Firelight Technologies Pty, Ltd
100931aa	32	TerminatedUnicode	FileDescription
100931cc	10	TerminatedUnicode	FMOD
100931de	24	TerminatedUnicode	FileVersion
100931f8	10	TerminatedUnicode	3.75
1009320a	26	TerminatedUnicode	InternalName
10093224	10	TerminatedUnicode	FMOD
10093236	30	TerminatedUnicode	LegalCopyright
10093254	112	TerminatedUnicode	Copyright © 1994-2005, Firelight Technologies Pty, Ltd.
100932ca	32	TerminatedUnicode	LegalTrademarks
100932f2	34	TerminatedUnicode	OriginalFilename
10093314	18	TerminatedUnicode	fmod.dll
1009332e	26	TerminatedUnicode	PrivateBuild
1009334e	24	TerminatedUnicode	ProductName
10093368	10	TerminatedUnicode	FMOD
1009337a	30	TerminatedUnicode	ProductVersion
10093398	10	TerminatedUnicode	3.75
100933aa	26	TerminatedUnicode	SpecialBuild
100933ca	24	TerminatedUnicode	VarFileInfo
100933ea	24	TerminatedUnicode	Translation
10093500	13	TerminatedCString	KERNEL32.DLL
1009350d	13	TerminatedCString	ADVAPI32.dll
1009351a	12	TerminatedCString	MSACM32.dll
10093526	11	TerminatedCString	MSVCRT.dll
10093531	10	TerminatedCString	ole32.dll
1009353b	11	TerminatedCString	USER32.dll
10093546	10	TerminatedCString	WINMM.dll
10093550	12	TerminatedCString	WSOCK32.dll
1009355e	13	TerminatedCString	LoadLibraryA
1009356c	15	TerminatedCString	GetProcAddress
1009357c	12	TerminatedCString	RegCloseKey
1009358a	14	TerminatedCString	acmStreamOpen
1009359a	4	TerminatedCString	abs
100935a0	13	TerminatedCString	CoInitialize
100935ae	11	TerminatedCString	ShowWindow
100935ba	10	TerminatedCString	mixerOpen
10093efc	9	TerminatedCString	fmod.dll
10093f05	19	TerminatedCString	_FMUSIC_FreeSong@4
10093f18	17	TerminatedCString	_FMUSIC_GetBPM@4
10093f29	26	TerminatedCString	_FMUSIC_GetGlobalVolume@4
10093f43	26	TerminatedCString	_FMUSIC_GetMasterVolume@4
10093f5d	18	TerminatedCString	_FMUSIC_GetName@4
10093f6f	25	TerminatedCString	_FMUSIC_GetNumChannels@4
10093f88	28	TerminatedCString	_FMUSIC_GetNumInstruments@4
10093fa4	23	TerminatedCString	_FMUSIC_GetNumOrders@4
10093fbb	25	TerminatedCString	_FMUSIC_GetNumPatterns@4
10093fd4	24	TerminatedCString	_FMUSIC_GetNumSamples@4
10093fec	23	TerminatedCString	_FMUSIC_GetOpenState@4
10094003	19	TerminatedCString	_FMUSIC_GetOrder@4
10094016	21	TerminatedCString	_FMUSIC_GetPattern@4
1009402b	27	TerminatedCString	_FMUSIC_GetPatternLength@8
10094046	20	TerminatedCString	_FMUSIC_GetPaused@4
1009405a	25	TerminatedCString	_FMUSIC_GetRealChannel@8
10094073	17	TerminatedCString	_FMUSIC_GetRow@4
10094084	20	TerminatedCString	_FMUSIC_GetSample@8
10094098	19	TerminatedCString	_FMUSIC_GetSpeed@4
100940ab	18	TerminatedCString	_FMUSIC_GetTime@4
100940bd	18	TerminatedCString	_FMUSIC_GetType@4
100940cf	22	TerminatedCString	_FMUSIC_GetUserData@4
100940e5	21	TerminatedCString	_FMUSIC_IsFinished@4
100940fa	20	TerminatedCString	_FMUSIC_IsPlaying@4
1009410e	19	TerminatedCString	_FMUSIC_LoadSong@4
10094121	22	TerminatedCString	_FMUSIC_LoadSongEx@24
10094137	28	TerminatedCString	_FMUSIC_OptimizeChannels@12
10094153	19	TerminatedCString	_FMUSIC_PlaySong@4
10094166	27	TerminatedCString	_FMUSIC_SetInstCallback@12
10094181	21	TerminatedCString	_FMUSIC_SetLooping@8
10094196	25	TerminatedCString	_FMUSIC_SetMasterSpeed@8
100941af	26	TerminatedCString	_FMUSIC_SetMasterVolume@8
100941c9	19	TerminatedCString	_FMUSIC_SetOrder@8
100941dc	28	TerminatedCString	_FMUSIC_SetOrderCallback@12
100941f8	27	TerminatedCString	_FMUSIC_SetPanSeperation@8
10094213	20	TerminatedCString	_FMUSIC_SetPaused@8
10094227	20	TerminatedCString	_FMUSIC_SetReverb@4
1009423b	26	TerminatedCString	_FMUSIC_SetRowCallback@12
10094255	21	TerminatedCString	_FMUSIC_SetSample@12
1009426a	22	TerminatedCString	_FMUSIC_SetUserData@8
10094280	25	TerminatedCString	_FMUSIC_SetZxxCallback@8
10094299	23	TerminatedCString	_FMUSIC_StopAllSongs@0
100942b0	19	TerminatedCString	_FMUSIC_StopSong@4
100942c3	28	TerminatedCString	_FSOUND_3D_GetAttributes@12
100942df	32	TerminatedCString	_FSOUND_3D_GetMinMaxDistance@12
100942ff	37	TerminatedCString	_FSOUND_3D_Listener_GetAttributes@32
10094324	37	TerminatedCString	_FSOUND_3D_Listener_SetAttributes@32
