address	type	name	full_name	namespace	source	primary	external	external_entry
EXTERNAL:00000001	Function	GetAdaptersInfo	IPHLPAPI.DLL::GetAdaptersInfo	IPHLPAPI.DLL	IMPORTED	true	true	false
EXTERNAL:00000002	Function	DirectInputCreateA	DINPUT.DLL::DirectInputCreateA	DINPUT.DLL	IMPORTED	true	true	false
EXTERNAL:00000003	Function	timeKillEvent	WINMM.DLL::timeKillEvent	WINMM.DLL	IMPORTED	true	true	false
EXTERNAL:00000004	Function	timeSetEvent	WINMM.DLL::timeSetEvent	WINMM.DLL	IMPORTED	true	true	false
EXTERNAL:00000005	Function	DirectDrawCreateEx	DDRAW.DLL::DirectDrawCreateEx	DDRAW.DLL	IMPORTED	true	true	false
EXTERNAL:00000006	Function	DirectDrawEnumerateExA	DDRAW.DLL::DirectDrawEnumerateExA	DDRAW.DLL	IMPORTED	true	true	false
EXTERNAL:00000007	Function	DirectDrawCreate	DDRAW.DLL::DirectDrawCreate	DDRAW.DLL	IMPORTED	true	true	false
EXTERNAL:00000008	Function	RegEnumValueA	ADVAPI32.DLL::RegEnumValueA	ADVAPI32.DLL	IMPORTED	true	true	false
EXTERNAL:00000009	Function	RegFlushKey	ADVAPI32.DLL::RegFlushKey	ADVAPI32.DLL	IMPORTED	true	true	false
EXTERNAL:0000000a	Function	RegCreateKeyExA	ADVAPI32.DLL::RegCreateKeyExA	ADVAPI32.DLL	IMPORTED	true	true	false
EXTERNAL:0000000b	Function	RegSetValueExA	ADVAPI32.DLL::RegSetValueExA	ADVAPI32.DLL	IMPORTED	true	true	false
EXTERNAL:0000000c	Function	GetUserNameA	ADVAPI32.DLL::GetUserNameA	ADVAPI32.DLL	IMPORTED	true	true	false
EXTERNAL:0000000d	Function	RegOpenKeyExA	ADVAPI32.DLL::RegOpenKeyExA	ADVAPI32.DLL	IMPORTED	true	true	false
EXTERNAL:0000000e	Function	RegQueryValueExA	ADVAPI32.DLL::RegQueryValueExA	ADVAPI32.DLL	IMPORTED	true	true	false
EXTERNAL:0000000f	Function	RegCloseKey	ADVAPI32.DLL::RegCloseKey	ADVAPI32.DLL	IMPORTED	true	true	false
EXTERNAL:00000010	Function	_FSOUND_Sample_SetMode@8	FMOD.DLL::_FSOUND_Sample_SetMode@8	FMOD.DLL	IMPORTED	true	true	false
EXTERNAL:00000011	Function	_FSOUND_Record_StartSample@8	FMOD.DLL::_FSOUND_Record_StartSample@8	FMOD.DLL	IMPORTED	true	true	false
EXTERNAL:00000012	Function	_FSOUND_Stream_Stop@4	FMOD.DLL::_FSOUND_Stream_Stop@4	FMOD.DLL	IMPORTED	true	true	false
EXTERNAL:00000013	Function	_FSOUND_Record_GetPosition@0	FMOD.DLL::_FSOUND_Record_GetPosition@0	FMOD.DLL	IMPORTED	true	true	false
EXTERNAL:00000014	Function	_FSOUND_GetError@0	FMOD.DLL::_FSOUND_GetError@0	FMOD.DLL	IMPORTED	true	true	false
EXTERNAL:00000015	Function	_FSOUND_GetFrequency@4	FMOD.DLL::_FSOUND_GetFrequency@4	FMOD.DLL	IMPORTED	true	true	false
EXTERNAL:00000016	Function	_FSOUND_StopSound@4	FMOD.DLL::_FSOUND_StopSound@4	FMOD.DLL	IMPORTED	true	true	false
EXTERNAL:00000017	Function	_FSOUND_IsPlaying@4	FMOD.DLL::_FSOUND_IsPlaying@4	FMOD.DLL	IMPORTED	true	true	false
EXTERNAL:00000018	Function	_FSOUND_Sample_SetDefaults@20	FMOD.DLL::_FSOUND_Sample_SetDefaults@20	FMOD.DLL	IMPORTED	true	true	false
EXTERNAL:00000019	Function	_FSOUND_3D_SetRolloffFactor@4	FMOD.DLL::_FSOUND_3D_SetRolloffFactor@4	FMOD.DLL	IMPORTED	true	true	false
EXTERNAL:0000001a	Function	_FSOUND_SetBufferSize@4	FMOD.DLL::_FSOUND_SetBufferSize@4	FMOD.DLL	IMPORTED	true	true	false
EXTERNAL:0000001b	Function	_FSOUND_3D_SetDopplerFactor@4	FMOD.DLL::_FSOUND_3D_SetDopplerFactor@4	FMOD.DLL	IMPORTED	true	true	false
EXTERNAL:0000001c	Function	_FSOUND_Sample_Unlock@20	FMOD.DLL::_FSOUND_Sample_Unlock@20	FMOD.DLL	IMPORTED	true	true	false
EXTERNAL:0000001d	Function	_FSOUND_Sample_GetLength@4	FMOD.DLL::_FSOUND_Sample_GetLength@4	FMOD.DLL	IMPORTED	true	true	false
EXTERNAL:0000001e	Function	_FSOUND_Stream_Create@20	FMOD.DLL::_FSOUND_Stream_Create@20	FMOD.DLL	IMPORTED	true	true	false
EXTERNAL:0000001f	Function	_FSOUND_Close@0	FMOD.DLL::_FSOUND_Close@0	FMOD.DLL	IMPORTED	true	true	false
EXTERNAL:00000020	Function	_FSOUND_GetDriverCaps@8	FMOD.DLL::_FSOUND_GetDriverCaps@8	FMOD.DLL	IMPORTED	true	true	false
EXTERNAL:00000021	Function	_FSOUND_Sample_GetMode@4	FMOD.DLL::_FSOUND_Sample_GetMode@4	FMOD.DLL	IMPORTED	true	true	false
EXTERNAL:00000022	Function	_FSOUND_PlaySoundEx@16	FMOD.DLL::_FSOUND_PlaySoundEx@16	FMOD.DLL	IMPORTED	true	true	false
EXTERNAL:00000023	Function	_FSOUND_Stream_PlayEx@16	FMOD.DLL::_FSOUND_Stream_PlayEx@16	FMOD.DLL	IMPORTED	true	true	false
EXTERNAL:00000024	Function	_FSOUND_Sample_Load@20	FMOD.DLL::_FSOUND_Sample_Load@20	FMOD.DLL	IMPORTED	true	true	false
EXTERNAL:00000025	Function	_FSOUND_SetFrequency@8	FMOD.DLL::_FSOUND_SetFrequency@8	FMOD.DLL	IMPORTED	true	true	false
EXTERNAL:00000026	Function	_FSOUND_SetPaused@8	FMOD.DLL::_FSOUND_SetPaused@8	FMOD.DLL	IMPORTED	true	true	false
EXTERNAL:00000027	Function	_FSOUND_Stream_Close@4	FMOD.DLL::_FSOUND_Stream_Close@4	FMOD.DLL	IMPORTED	true	true	false
EXTERNAL:00000028	Function	_FSOUND_SetOutput@4	FMOD.DLL::_FSOUND_SetOutput@4	FMOD.DLL	IMPORTED	true	true	false
EXTERNAL:00000029	Function	_FSOUND_SetHWND@4	FMOD.DLL::_FSOUND_SetHWND@4	FMOD.DLL	IMPORTED	true	true	false
EXTERNAL:0000002a	Function	_FSOUND_Init@12	FMOD.DLL::_FSOUND_Init@12	FMOD.DLL	IMPORTED	true	true	false
EXTERNAL:0000002b	Function	_FSOUND_Sample_Free@4	FMOD.DLL::_FSOUND_Sample_Free@4	FMOD.DLL	IMPORTED	true	true	false
EXTERNAL:0000002c	Function	_FSOUND_SetVolume@8	FMOD.DLL::_FSOUND_SetVolume@8	FMOD.DLL	IMPORTED	true	true	false
EXTERNAL:0000002d	Function	_FSOUND_Sample_SetMinMaxDistance@12	FMOD.DLL::_FSOUND_Sample_SetMinMaxDistance@12	FMOD.DLL	IMPORTED	true	true	false
EXTERNAL:0000002e	Function	_FSOUND_3D_GetAttributes@12	FMOD.DLL::_FSOUND_3D_GetAttributes@12	FMOD.DLL	IMPORTED	true	true	false
EXTERNAL:0000002f	Function	_FSOUND_SetSpeakerMode@4	FMOD.DLL::_FSOUND_SetSpeakerMode@4	FMOD.DLL	IMPORTED	true	true	false
EXTERNAL:00000030	Function	_FSOUND_SetMinHardwareChannels@4	FMOD.DLL::_FSOUND_SetMinHardwareChannels@4	FMOD.DLL	IMPORTED	true	true	false
EXTERNAL:00000031	Function	_FSOUND_3D_SetAttributes@12	FMOD.DLL::_FSOUND_3D_SetAttributes@12	FMOD.DLL	IMPORTED	true	true	false
EXTERNAL:00000032	Function	_FSOUND_Stream_GetSample@4	FMOD.DLL::_FSOUND_Stream_GetSample@4	FMOD.DLL	IMPORTED	true	true	false
EXTERNAL:00000033	Function	_FSOUND_GetDriverName@4	FMOD.DLL::_FSOUND_GetDriverName@4	FMOD.DLL	IMPORTED	true	true	false
EXTERNAL:00000034	Function	_FSOUND_Update@0	FMOD.DLL::_FSOUND_Update@0	FMOD.DLL	IMPORTED	true	true	false
EXTERNAL:00000035	Function	_FSOUND_SetSFXMasterVolume@4	FMOD.DLL::_FSOUND_SetSFXMasterVolume@4	FMOD.DLL	IMPORTED	true	true	false
EXTERNAL:00000036	Function	_FSOUND_Sample_GetDefaults@20	FMOD.DLL::_FSOUND_Sample_GetDefaults@20	FMOD.DLL	IMPORTED	true	true	false
EXTERNAL:00000037	Function	_FSOUND_GetNumHWChannels@12	FMOD.DLL::_FSOUND_GetNumHWChannels@12	FMOD.DLL	IMPORTED	true	true	false
EXTERNAL:00000038	Function	_FSOUND_Sample_Lock@28	FMOD.DLL::_FSOUND_Sample_Lock@28	FMOD.DLL	IMPORTED	true	true	false
EXTERNAL:00000039	Function	_FSOUND_GetDriver@0	FMOD.DLL::_FSOUND_GetDriver@0	FMOD.DLL	IMPORTED	true	true	false
EXTERNAL:0000003a	Function	_FSOUND_GetNumDrivers@0	FMOD.DLL::_FSOUND_GetNumDrivers@0	FMOD.DLL	IMPORTED	true	true	false
EXTERNAL:0000003b	Function	_FSOUND_3D_Listener_SetAttributes@32	FMOD.DLL::_FSOUND_3D_Listener_SetAttributes@32	FMOD.DLL	IMPORTED	true	true	false
