library	label	original_imported_name	parent	address	external_space_address	is_function	source	data_type
ADVAPI32.DLL	GetUserNameA	\N	ADVAPI32.DLL	00170df4	EXTERNAL:0000000c	true	IMPORTED	null
ADVAPI32.DLL	RegSetValueExA	\N	ADVAPI32.DLL	00170e04	EXTERNAL:0000000b	true	IMPORTED	null
ADVAPI32.DLL	RegQueryValueExA	\N	ADVAPI32.DLL	00170dc2	EXTERNAL:0000000e	true	IMPORTED	null
ADVAPI32.DLL	RegFlushKey	\N	ADVAPI32.DLL	00170e28	EXTERNAL:00000009	true	IMPORTED	null
ADVAPI32.DLL	RegOpenKeyExA	\N	ADVAPI32.DLL	00170dd6	EXTERNAL:0000000d	true	IMPORTED	null
ADVAPI32.DLL	RegCreateKeyExA	\N	ADVAPI32.DLL	00170e16	EXTERNAL:0000000a	true	IMPORTED	null
ADVAPI32.DLL	RegCloseKey	\N	ADVAPI32.DLL	00170de6	EXTERNAL:0000000f	true	IMPORTED	null
ADVAPI32.DLL	RegEnumValueA	\N	ADVAPI32.DLL	00170e36	EXTERNAL:00000008	true	IMPORTED	null
DBGHELP.DLL	MiniDumpWriteDump	\N	DBGHELP.DLL	00171798	EXTERNAL:00000082	true	IMPORTED	null
DDRAW.DLL	DirectDrawCreateEx	\N	DDRAW.DLL	00170d8e	EXTERNAL:00000005	true	IMPORTED	null
DDRAW.DLL	DirectDrawEnumerateExA	\N	DDRAW.DLL	00170d74	EXTERNAL:00000006	true	IMPORTED	null
DDRAW.DLL	DirectDrawCreate	\N	DDRAW.DLL	00170da4	EXTERNAL:00000007	true	IMPORTED	null
DINPUT.DLL	DirectInputCreateA	\N	DINPUT.DLL	00170d28	EXTERNAL:00000002	true	IMPORTED	null
FMOD.DLL	_FSOUND_GetNumDrivers@0	\N	FMOD.DLL	00170e7c	EXTERNAL:0000003a	true	IMPORTED	null
FMOD.DLL	_FSOUND_GetDriverName@4	\N	FMOD.DLL	00170f38	EXTERNAL:00000033	true	IMPORTED	null
FMOD.DLL	_FSOUND_SetOutput@4	\N	FMOD.DLL	00171066	EXTERNAL:00000028	true	IMPORTED	null
FMOD.DLL	_FSOUND_GetDriverCaps@8	\N	FMOD.DLL	00171132	EXTERNAL:00000020	true	IMPORTED	null
