entry	name	full_name	namespace	name_source	signature_source	calling_convention	return_type	parameter_count	is_thunk	thunk_target	is_external	body_ranges	comment	repeatable_comment	prototype
00401000	TexList_FindByName	TexList_FindByName	Global	USER_DEFINED	ANALYSIS	__cdecl	undefined4	1	false	\N	false	00401000-0040105c	Searches the active texture list for an entry whose name matches param_1; sets the list's current index and returns 1 if found, 0 otherwise.	\N	undefined4 __cdecl TexList_FindByName(char * param_1)
00401060	TexList_FindById	TexList_FindById	Global	USER_DEFINED	ANALYSIS	__stdcall	undefined	0	false	\N	false	00401060-0040109d	Walks the active texture list comparing each entry's 16-bit id; sets the current index when a match is found.	\N	undefined __stdcall TexList_FindById(void)
004010a0	TexList_AddEntry	TexList_AddEntry	Global	USER_DEFINED	ANALYSIS	__cdecl	undefined	1	false	\N	false	004010a0-0040116f	Allocates a Tex_Entry for the given bitmap, appends it to the active texture list and updates the list's max width/height.	\N	undefined __cdecl TexList_AddEntry(int param_1)
00401170	TexList_RemoveById	TexList_RemoveById	Global	USER_DEFINED	ANALYSIS	__stdcall	undefined	0	false	\N	false	00401170-004011b9	Finds the texture-list entry whose object id matches and releases it, then frees the backing bitmap.	\N	undefined __stdcall TexList_RemoveById(void)
004011c0	UIIcon_DrawWithLabel	UIIcon_DrawWithLabel	Global	USER_DEFINED	ANALYSIS	__thiscall	undefined	4	false	\N	false	004011c0-00401267	Draws this UI element's icon via the renderer vtable, then draws its centered caption text beneath it.	\N	undefined __thiscall UIIcon_DrawWithLabel(undefined4 param_1, int param_2, int param_3)
00401270	TexList_AdvanceToNextUsed	TexList_AdvanceToNextUsed	Global	USER_DEFINED	ANALYSIS	__stdcall	undefined	0	false	\N	false	00401270-0040129a	Advances the active texture-list index cyclically to the next non-empty list slot.	\N	undefined __stdcall TexList_AdvanceToNextUsed(void)
004012a0	TexList_Begin	TexList_Begin	Global	USER_DEFINED	ANALYSIS	__stdcall	undefined	0	false	\N	false	004012a0-004012b5	Thin forwarder to FUN_004a5a90 that begins/resets iteration over the active texture list.	\N	undefined __stdcall TexList_Begin(void)
004012c0	TexList_Next	TexList_Next	Global	USER_DEFINED	ANALYSIS	__stdcall	undefined	0	false	\N	false	004012c0-004012d5	Thin forwarder to FUN_004a5af0 that advances the active texture-list iterator.	\N	undefined __stdcall TexList_Next(void)
004012e0	TexList_InitAll	TexList_InitAll	Global	USER_DEFINED	ANALYSIS	__stdcall	undefined	0	false	\N	false	004012e0-004014b5	One-time initialization that allocates the five texture lists and populates each with Tex_Entry objects built from the global bitmap table.	\N	undefined __stdcall TexList_InitAll(void)
004014c0	Anim_ShutdownAll	Anim_ShutdownAll	Global	USER_DEFINED	ANALYSIS	__stdcall	undefined	0	false	\N	false	004014c0-00401505	If the animation subsystem is active, clears its flag and iterates the animator list calling the per-entry step/cleanup function FUN_00401e80.	\N	undefined __stdcall Anim_ShutdownAll(void)
00401510	Anim_BuildTimeRamp	Anim_BuildTimeRamp	Global	USER_DEFINED	ANALYSIS	__stdcall	undefined	0	false	\N	false	00401510-0040155e	Precomputes a 256-entry lookup table of scaled/biased float values from several global tuning constants.	\N	undefined __stdcall Anim_BuildTimeRamp(void)
00401560	Math_BuildReciprocalTable	Math_BuildReciprocalTable	Global	USER_DEFINED	ANALYSIS	__stdcall	undefined	0	false	\N	false	00401560-004015b0	Builds a 641-entry table of 1/i reciprocals as floats plus a parallel table of their converted (rounded) forms.	\N	undefined __stdcall Math_BuildReciprocalTable(void)
004015c0	Math_BuildThresholdIndexTable	Math_BuildThresholdIndexTable	Global	USER_DEFINED	ANALYSIS	__stdcall	undefined	0	false	\N	false	004015c0-0040169c	Fills a lookup table that maps scaled integer values to monotonically increasing bucket indices by comparing against a float threshold array.	\N	undefined __stdcall Math_BuildThresholdIndexTable(void)
004016a0	Math_BuildMipStrideTables	Math_BuildMipStrideTables	Global	USER_DEFINED	ANALYSIS	__stdcall	undefined	0	false	\N	false	004016a0-004016ed	Allocates nine power-of-two-sized integer arrays (sizes 1..256) each filled with multiples of its size, used as per-level row-stride/offset lookups.	\N	undefined __stdcall Math_BuildMipStrideTables(void)
004016f0	Raster_ClampAndStepCoord	Raster_ClampAndStepCoord	Global	USER_DEFINED	ANALYSIS	__fastcall	undefined	3	false	\N	false	004016f0-0040174e	Clamps a coordinate to the [param_1, param_3) range and advances a paired accumulator, clamping the result to valid bounds.	\N	undefined __fastcall Raster_ClampAndStepCoord(int param_1, int * param_2, int param_3)
00401750	Raster_ClipSpanToRect	Raster_ClipSpanToRect	Global	USER_DEFINED	ANALYSIS	__cdecl	undefined4	7	false	\N	false	00401750-00401847	Clips a 2D span's start and end coordinates against a clipping rectangle, returning whether any portion remains visible.	\N	undefined4 __cdecl Raster_ClipSpanToRect(int * param_1, int * param_2, undefined4 param_3, int param_4, int param_5, int param_6, int param_7)
00401850	Raster_BlitTexturedRect	Raster_BlitTexturedRect	Global	USER_DEFINED	ANALYSIS	__stdcall	undefined	11	false	\N	false	00401850-004019e3	Clips and then copies a source texture region into a destination surface with fixed-point UV interpolation per pixel.	\N	undefined __stdcall Raster_BlitTexturedRect(int param_1, int param_2, int param_3, int param_4, int param_5, int param_6, float param_7, int param_8, int param_9, int param_10, float param_11)
004019f0	Time_GetDelta	Time_GetDelta	Global	USER_DEFINED	ANALYSIS	__stdcall	undefined	0	false	\N	false	004019f0-00401a24	Thin forwarder to FUN_00512000 that retrieves the current frame/time delta.	\N	undefined __stdcall Time_GetDelta(void)
00401a30	Anim_UpdateMaxField	Anim_UpdateMaxField	Global	USER_DEFINED	ANALYSIS	__thiscall	undefined	2	false	\N	false	00401a30-00401a49	Sets an object's field at offset 0x2c to a supplied value or to the larger of it and a source field, used to track a running maximum.	\N	undefined __thiscall Anim_UpdateMaxField(int param_1)
00401a50	Tex_ClampMipLevel	Tex_ClampMipLevel	Global	USER_DEFINED	ANALYSIS	__cdecl	undefined	1	false	\N	false	00401a50-00401ad3	Clamps a requested mip level for a bitmap against its min/max bounds, invokes a callback to load missing levels, and updates the entry's resident-level field.	\N	undefined __cdecl Tex_ClampMipLevel(int param_1)
00401ae0	Anim_InitSequence	Anim_InitSequence	Global	USER_DEFINED	ANALYSIS	__stdcall	undefined	2	false	\N	false	00401ae0-00401b50	Initializes an animation-sequence struct, allocating its frame-id and per-frame-duration arrays and filling durations with a default value.	\N	undefined __stdcall Anim_InitSequence(uint param_1, uint param_2)
00401b60	Anim_PreloadSequenceMips	Anim_PreloadSequenceMips	Global	USER_DEFINED	ANALYSIS	__cdecl	undefined	1	false	\N	false	00401b60-00401c1b	Iterates every frame of an animation sequence and clamps/loads each frame bitmap's mip level so all frames are resident.	\N	undefined __cdecl Anim_PreloadSequenceMips(int * param_1)
00401c20	Anim_PreloadFirstFrames	Anim_PreloadFirstFrames	Global	USER_DEFINED	ANALYSIS	__cdecl	undefined	2	false	\N	false	00401c20-00401c7e	Preloads the mip level of the first param_2 frames of an animation sequence by clamping and loading each frame bitmap.	\N	undefined __cdecl Anim_PreloadFirstFrames(int * param_1, int param_2)
