address	length	data_type	value
0053c78c	38	string	MD5 part of OpenSSL 0.9.6g 9 Aug 2002
0053c7b8	14	string	CSN UI WINDOW
0053c7c8	20	string	Total download size
0053c7dc	8	string	KBytes
0053c7e4	8	string	MBytes
0053c7ec	29	string	[csnuilib] command line: %s\n
0053c80c	16	string	Times New Roman
0053c81c	16	string	Package Updater
0053c838	22	string	%03.0f%%     %4.2f %s
0053c850	23	string	%03.0f%%     %04.0f %s
0053c870	22	string	Total files to update
0053c888	6	string	Files
0053c890	23	string	can't unregister class
0053c8a8	37	string	[csnuilib] current package path: %s\n
0053c8d0	49	string	fatal error: can't get current working directory
0053ccbc	43	string	Application transferred too many scanlines
0053cce8	43	string	Invalid SOS parameters for sequential JPEG
0053cd14	56	string	Corrupt JPEG data: found marker 0x%02x instead of RST%d
0053cd4c	27	string	Premature end of JPEG file
0053cd68	46	string	Warning: unknown JFIF revision number %d.%02d
0053cd98	36	string	Corrupt JPEG data: bad Huffman code
0053cdbc	49	string	Corrupt JPEG data: premature end of data segment
0053cdf0	60	string	Corrupt JPEG data: %u extraneous bytes before marker 0x%02x
0053ce30	66	string	Inconsistent progression sequence for component %d coefficient %d
0053ce74	38	string	Unknown Adobe color transform code %d
0053ce9c	23	string	Obtained XMS handle %u
0053ceb4	20	string	Freed XMS handle %u
0053cec8	52	string	Unrecognized component IDs %d %d %d, assuming YCbCr
0053cefc	54	string	JFIF extension marker: RGB thumbnail image, length %u
0053cf34	58	string	JFIF extension marker: palette thumbnail image, length %u
0053cf70	68	string	JFIF extension marker: JPEG-compressed thumbnail image, length %u
0053cfb4	25	string	Opened temporary file %s
0053cfd0	25	string	Closed temporary file %s
0053cfec	29	string	\s Ss=%d, Se=%d, Ah=%d, Al=%d
0053d00c	30	string	\s   Component %d: dc=%d ac=%d
0053d02c	29	string	Start Of Scan: %d components
0053d04c	15	string	Start of Image
0053d05c	31	string	\s   Component %d: %dhx%dv q=%d
0053d07c	58	string	Start Of Frame 0x%02x: width=%u, height=%u, components=%d
0053d0b8	57	string	Smoothing not supported with nonstandard sampling ratios
0053d0f4	6	string	RST%d
0053d0fc	37	string	At marker 0x%02x, recovery action %d
0053d124	36	string	Selected %d colors for quantization
0053d148	24	string	Quantizing to %d colors
0053d160	35	string	Quantizing to %d = %d*%d*%d colors
0053d184	40	string	\s       %4u %4u %4u %4u %4u %4u %4u %4u
0053d1ac	25	string	Unexpected marker 0x%02x
0053d1c8	39	string	Miscellaneous marker 0x%02x, length %u
0053d1f0	33	string	\s   with %d x %d thumbnail image
0053d214	46	string	JFIF extension marker: type 0x%02x, length %u
0053d244	60	string	Warning: thumbnail image size does not match data length %u
0053d280	53	string	JFIF APP0 marker: version %d.%02d, density %dx%d  %d
0053d2b8	40	string	\s       %3d %3d %3d %3d %3d %3d %3d %3d
0053d2e0	13	string	End Of Image
0053d2f0	23	string	Obtained EMS handle %u
0053d308	20	string	Freed EMS handle %u
0053d31c	27	string	Define Restart Interval %u
0053d338	43	string	Define Quantization Table %d  precision %d
0053d364	28	string	Define Huffman Table 0x%02x
0053d380	39	string	Define Arithmetic Table 0x%02x: 0x%02x
0053d3a8	44	string	Unknown APP14 marker (not Adobe), length %u
0053d3d4	42	string	Unknown APP0 marker (not JFIF), length %u
0053d400	66	string	Adobe APP14 marker: version %d, flags 0x%04x 0x%04x, transform %d
0053d444	62	string	Caution: quantization tables are too coarse for baseline JPEG
0053d484	16	string	6b  27-Mar-1998
0053d494	35	string	Copyright (C) 1998, Thomas G. Lane
0053d4b8	20	string	Write to XMS failed
0053d4cc	21	string	Read from XMS failed
0053d4e4	39	string	Image too wide for this implementation
0053d50c	35	string	Virtual array controller messed up
0053d530	31	string	Unsupported marker type 0x%02x
0053d550	42	string	Application transferred too few scanlines
0053d57c	54	string	Write failed on temporary file --- out of disk space?
0053d5b4	30	string	Seek failed on temporary file
0053d5d4	30	string	Read failed on temporary file
0053d5f4	35	string	Failed to create temporary file %s
0053d618	44	string	Invalid JPEG file structure: SOS before SOF
0053d644	45	string	Invalid JPEG file structure: two SOI markers
0053d674	42	string	Unsupported JPEG process: SOF type 0x%02x
0053d6a0	48	string	Invalid JPEG file structure: missing SOS marker
0053d6d0	45	string	Invalid JPEG file structure: two SOF markers
0053d700	39	string	Cannot quantize to more than %d colors
