address	type	comment
004001e8	EOL	.text
00400210	EOL	.rdata
00400238	EOL	.data
00400260	EOL	.data1
00400288	EOL	.CRT
004002b0	EOL	.rsrc
004c5000	PRE	460  RegCreateKeyA  <<not bound>>
004c5004	PRE	492  RegQueryValueExA  <<not bound>>
004c5008	PRE	482  RegOpenKeyExA  <<not bound>>
004c500c	PRE	504  RegSetValueA  <<not bound>>
004c5010	PRE	457  RegCloseKey  <<not bound>>
004c5014	PRE	505  RegSetValueExA  <<not bound>>
004c501c	PRE	584  StartPage  <<not bound>>
004c5020	PRE	356  GetCurrentObject  <<not bound>>
004c5024	PRE	523  SelectClipPath  <<not bound>>
004c5028	PRE	231  FillPath  <<not bound>>
004c502c	PRE	216  ExtCreatePen  <<not bound>>
004c5030	PRE	588  StrokePath  <<not bound>>
004c5034	PRE	150  EndDoc  <<not bound>>
004c5038	PRE	153  EndPath  <<not bound>>
004c503c	PRE	486  PolyBezierTo  <<not bound>>
004c5040	PRE	533  SetBkColor  <<not bound>>
004c5044	PRE	581  StartDocA  <<not bound>>
004c5048	PRE	459  LPtoDP  <<not bound>>
004c504c	PRE	352  GetClipBox  <<not bound>>
004c5050	PRE	80  CreateSolidBrush  <<not bound>>
004c5054	PRE	425  GetSystemPaletteEntries  <<not bound>>
004c5058	PRE	69  CreatePalette  <<not bound>>
004c505c	PRE	332  GetBkColor  <<not bound>>
004c5060	PRE	461  LineTo  <<not bound>>
004c5064	PRE	465  MoveToEx  <<not bound>>
004c5068	PRE	564  SetPolyFillMode  <<not bound>>
004c506c	PRE	17  BeginPath  <<not bound>>
004c5070	PRE	512  RestoreDC  <<not bound>>
004c5074	PRE	519  SaveDC  <<not bound>>
004c5078	PRE	283  GdiFlush  <<not bound>>
004c507c	PRE	143  DeleteObject  <<not bound>>
004c5080	PRE	526  SelectObject  <<not bound>>
004c5084	PRE	586  StretchDIBits  <<not bound>>
004c5088	PRE	544  SetDIBitsToDevice  <<not bound>>
004c508c	PRE	44  CreateCompatibleBitmap  <<not bound>>
004c5090	PRE	405  GetObjectA  <<not bound>>
004c5094	PRE	140  DeleteDC  <<not bound>>
004c5098	PRE	50  CreateDIBSection  <<not bound>>
004c509c	PRE	363  GetDeviceCaps  <<not bound>>
004c50a0	PRE	45  CreateCompatibleDC  <<not bound>>
004c50a4	PRE	18  BitBlt  <<not bound>>
004c50a8	PRE	499  RealizePalette  <<not bound>>
004c50ac	PRE	527  SelectPalette  <<not bound>>
004c50b0	PRE	201  EnumFontFamiliesA  <<not bound>>
004c50b4	PRE	534  SetBkMode  <<not bound>>
004c50b8	PRE	570  SetTextAlign  <<not bound>>
004c50bc	PRE	455  IntersectClipRect  <<not bound>>
004c50c0	PRE	524  SelectClipRgn  <<not bound>>
004c50c4	PRE	221  ExtTextOutA  <<not bound>>
004c50c8	PRE	222  ExtTextOutW  <<not bound>>
004c50cc	PRE	572  SetTextColor  <<not bound>>
004c50d0	PRE	444  GetTextMetricsA  <<not bound>>
004c50d4	PRE	58  CreateFontIndirectA  <<not bound>>
004c50d8	PRE	71  CreatePen  <<not bound>>
004c50dc	PRE	353  GetClipRgn  <<not bound>>
004c50e0	PRE	75  CreateRectRgn  <<not bound>>
004c50e4	PRE	427  GetTextAlign  <<not bound>>
004c50e8	PRE	333  GetBkMode  <<not bound>>
004c50ec	PRE	431  GetTextColor  <<not bound>>
004c50f0	PRE	81  DPtoLP  <<not bound>>
004c50f4	PRE	436  GetTextExtentPoint32A  <<not bound>>
004c50f8	PRE	437  GetTextExtentPoint32W  <<not bound>>
004c50fc	PRE	152  EndPage  <<not bound>>
004c5104	PRE	201  FindFirstFileA  <<not bound>>
004c5108	PRE	211  FindNextFileA  <<not bound>>
004c510c	PRE	197  FindClose  <<not bound>>
004c5110	PRE	441  GetSystemDirectoryA  <<not bound>>
004c5114	PRE	90  CreateMutexA  <<not bound>>
004c5118	PRE	696  ReleaseMutex  <<not bound>>
004c511c	PRE	869  UnmapViewOfFile  <<not bound>>
004c5120	PRE	606  MapViewOfFile  <<not bound>>
004c5124	PRE	78  CreateFileMappingA  <<not bound>>
004c5128	PRE	469  GetTickCount  <<not bound>>
004c512c	PRE	901  WaitForSingleObject  <<not bound>>
004c5130	PRE	905  WideCharToMultiByte  <<not bound>>
004c5134	PRE	373  GetModuleFileNameA  <<not bound>>
004c5138	PRE	347  GetFileSize  <<not bound>>
004c513c	PRE	105  CreateThread  <<not bound>>
004c5140	PRE	176  ExitThread  <<not bound>>
004c5144	PRE	512  GlobalUnlock  <<not bound>>
004c5148	PRE	505  GlobalLock  <<not bound>>
004c514c	PRE	558  IsDBCSLeadByteEx  <<not bound>>
004c5150	PRE	958  lstrlenA  <<not bound>>
004c5154	PRE	773  SetEndOfFile  <<not bound>>
004c5158	PRE	61  CopyFileA  <<not bound>>
004c515c	PRE	175  ExitProcess  <<not bound>>
004c5160	PRE	375  GetModuleHandleA  <<not bound>>
004c5164	PRE	264  GetCommandLineA  <<not bound>>
004c5168	PRE	418  GetProcessTimes  <<not bound>>
004c516c	PRE	314  GetCurrentProcess  <<not bound>>
004c5170	PRE	824  SetThreadPriority  <<not bound>>
004c5174	PRE	73  CreateEventA  <<not bound>>
004c5178	PRE	779  SetEvent  <<not bound>>
004c517c	PRE	546  InterlockedIncrement  <<not bound>>
004c5180	PRE	542  InterlockedDecrement  <<not bound>>
004c5184	PRE	708  ResetEvent  <<not bound>>
004c5188	PRE	899  WaitForMultipleObjects  <<not bound>>
004c518c	PRE	465  GetThreadPriority  <<not bound>>
004c5190	PRE	317  GetCurrentThread  <<not bound>>
004c5194	PRE	784  SetFilePointer  <<not bound>>
004c5198	PRE	459  GetTempPathA  <<not bound>>
004c519c	PRE	457  GetTempFileNameA  <<not bound>>
004c51a0	PRE	918  WriteFile  <<not bound>>
004c51a4	PRE	683  ReadFile  <<not bound>>
004c51a8	PRE	77  CreateFileA  <<not bound>>
004c51ac	PRE	69  CreateDirectoryA  <<not bound>>
004c51b0	PRE	698  RemoveDirectoryA  <<not bound>>
004c51b4	PRE	612  MoveFileA  <<not bound>>
004c51b8	PRE	124  DeleteFileA  <<not bound>>
004c51bc	PRE	342  GetFileAttributesA  <<not bound>>
004c51c0	PRE	846  SystemTimeToFileTime  <<not bound>>
004c51c4	PRE	446  GetSystemTime  <<not bound>>
004c51c8	PRE	472  GetTimeZoneInformation  <<not bound>>
004c51cc	PRE	583  LeaveCriticalSection  <<not bound>>
004c51d0	PRE	439  GetSystemDefaultLangID  <<not bound>>
004c51d4	PRE	239  FreeLibrary  <<not bound>>
004c51d8	PRE	474  GetUserDefaultLangID  <<not bound>>
004c51dc	PRE	361  GetLastError  <<not bound>>
004c51e0	PRE	431  GetStartupInfoA  <<not bound>>
004c51e4	PRE	96  CreateProcessA  <<not bound>>
004c51e8	PRE	46  CloseHandle  <<not bound>>
004c51ec	PRE	318  GetCurrentThreadId  <<not bound>>
004c51f0	PRE	364  GetLocaleInfoA  <<not bound>>
004c51f4	PRE	778  SetErrorMode  <<not bound>>
004c51f8	PRE	584  LoadLibraryA  <<not bound>>
004c51fc	PRE	408  GetProcAddress  <<not bound>>
004c5200	PRE	665  QueryPerformanceCounter  <<not bound>>
004c5204	PRE	666  QueryPerformanceFrequency  <<not bound>>
004c5208	PRE	557  IsDBCSLeadByte  <<not bound>>
004c520c	PRE	245  GetACP  <<not bound>>
004c5210	PRE	252  GetCPInfo  <<not bound>>
004c5214	PRE	619  MultiByteToWideChar  <<not bound>>
004c5218	PRE	479  GetVersionExA  <<not bound>>
004c521c	PRE	501  GlobalFree  <<not bound>>
004c5220	PRE	494  GlobalAlloc  <<not bound>>
004c5224	PRE	122  DeleteCriticalSection  <<not bound>>
004c5228	PRE	537  InitializeCriticalSection  <<not bound>>
004c522c	PRE	143  EnterCriticalSection  <<not bound>>
004c5230	PRE	841  Sleep  <<not bound>>
004c5238	PRE	6  Ordinal_6  <<not bound>>
004c5240	PRE	21  DragQueryFileA  <<not bound>>
004c5244	PRE	18  DragAcceptFiles  <<not bound>>
004c524c	PRE	200  EndPaint  <<not bound>>
004c5250	PRE	13  BeginPaint  <<not bound>>
004c5254	PRE	300  GetMenu  <<not bound>>
004c5258	PRE	153  DestroyWindow  <<not bound>>
004c525c	PRE	278  GetFocus  <<not bound>>
004c5260	PRE	96  CreateWindowExA  <<not bound>>
004c5264	PRE	429  IsWindow  <<not bound>>
004c5268	PRE	142  DefWindowProcA  <<not bound>>
004c526c	PRE	366  GetWindowLongA  <<not bound>>
004c5270	PRE	66  CloseClipboard  <<not bound>>
004c5274	PRE	257  GetClipboardData  <<not bound>>
004c5278	PRE	415  IsClipboardFormatAvailable  <<not bound>>
004c527c	PRE	501  OpenClipboard  <<not bound>>
004c5280	PRE	585  SetClipboardData  <<not bound>>
004c5284	PRE	193  EmptyClipboard  <<not bound>>
004c5288	PRE	642  SetWindowPos  <<not bound>>
004c528c	PRE	372  GetWindowRect  <<not bound>>
004c5290	PRE	362  GetWindow  <<not bound>>
004c5294	PRE	690  UnregisterClassA  <<not bound>>
004c5298	PRE	161  DispatchMessageA  <<not bound>>
004c529c	PRE	681  TranslateMessage  <<not bound>>
004c52a0	PRE	678  TranslateAcceleratorA  <<not bound>>
004c52a4	PRE	314  GetMessageA  <<not bound>>
