address	type	name	full_name	namespace	source	primary	external	external_entry
EXTERNAL:00000001	Function	setsockopt	WSOCK32.DLL::setsockopt	WSOCK32.DLL	IMPORTED	true	true	false
EXTERNAL:00000002	Label	WSAStartup	WSOCK32.DLL::WSAStartup	WSOCK32.DLL	IMPORTED	true	true	false
EXTERNAL:00000003	Label	WSACleanup	WSOCK32.DLL::WSACleanup	WSOCK32.DLL	IMPORTED	true	true	false
EXTERNAL:00000004	Label	htons	WSOCK32.DLL::htons	WSOCK32.DLL	IMPORTED	true	true	false
EXTERNAL:00000005	Label	htonl	WSOCK32.DLL::htonl	WSOCK32.DLL	IMPORTED	true	true	false
EXTERNAL:00000006	Label	gethostbyname	WSOCK32.DLL::gethostbyname	WSOCK32.DLL	IMPORTED	true	true	false
EXTERNAL:00000007	Label	inet_addr	WSOCK32.DLL::inet_addr	WSOCK32.DLL	IMPORTED	true	true	false
EXTERNAL:00000008	Label	CoUninitialize	OLE32.DLL::CoUninitialize	OLE32.DLL	IMPORTED	true	true	false
EXTERNAL:00000009	Label	CoFreeUnusedLibraries	OLE32.DLL::CoFreeUnusedLibraries	OLE32.DLL	IMPORTED	true	true	false
EXTERNAL:0000000a	Label	CoTaskMemAlloc	OLE32.DLL::CoTaskMemAlloc	OLE32.DLL	IMPORTED	true	true	false
EXTERNAL:0000000b	Label	CoTaskMemFree	OLE32.DLL::CoTaskMemFree	OLE32.DLL	IMPORTED	true	true	false
EXTERNAL:0000000c	Function	CoInitialize	OLE32.DLL::CoInitialize	OLE32.DLL	IMPORTED	true	true	false
EXTERNAL:0000000d	Label	CoCreateInstance	OLE32.DLL::CoCreateInstance	OLE32.DLL	IMPORTED	true	true	false
EXTERNAL:0000000e	Function	SysFreeString	OLEAUT32.DLL::SysFreeString	OLEAUT32.DLL	IMPORTED	true	true	false
EXTERNAL:0000000f	Function	InternetOpenA	WININET.DLL::InternetOpenA	WININET.DLL	IMPORTED	true	true	false
EXTERNAL:00000010	Function	InternetConnectA	WININET.DLL::InternetConnectA	WININET.DLL	IMPORTED	true	true	false
EXTERNAL:00000011	Function	HttpOpenRequestA	WININET.DLL::HttpOpenRequestA	WININET.DLL	IMPORTED	true	true	false
EXTERNAL:00000012	Function	HttpSendRequestA	WININET.DLL::HttpSendRequestA	WININET.DLL	IMPORTED	true	true	false
EXTERNAL:00000013	Function	InternetReadFile	WININET.DLL::InternetReadFile	WININET.DLL	IMPORTED	true	true	false
EXTERNAL:00000014	Function	InternetCloseHandle	WININET.DLL::InternetCloseHandle	WININET.DLL	IMPORTED	true	true	false
EXTERNAL:00000015	Label	FindFirstFileA	KERNEL32.DLL::FindFirstFileA	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000016	Label	FindNextFileA	KERNEL32.DLL::FindNextFileA	KERNEL32.DLL	IMPORTED	true	true	false
