address	length	data_type	value
004d0194	12	TerminatedCString	WSOCK32.dll
004d01a2	17	TerminatedCString	CoCreateInstance
004d01b6	13	TerminatedCString	CoInitialize
004d01c6	15	TerminatedCString	CoUninitialize
004d01d8	22	TerminatedCString	CoFreeUnusedLibraries
004d01f0	15	TerminatedCString	CoTaskMemAlloc
004d0202	14	TerminatedCString	CoTaskMemFree
004d0210	10	TerminatedCString	ole32.dll
004d021a	13	TerminatedCString	OLEAUT32.dll
004d022a	20	TerminatedCString	InternetCloseHandle
004d0240	17	TerminatedCString	InternetReadFile
004d0254	17	TerminatedCString	HttpSendRequestA
004d0268	17	TerminatedCString	HttpOpenRequestA
004d027c	17	TerminatedCString	InternetConnectA
004d0290	14	TerminatedCString	InternetOpenA
004d029e	12	TerminatedCString	WININET.dll
004d02ac	21	TerminatedCString	LeaveCriticalSection
004d02c4	21	TerminatedCString	EnterCriticalSection
004d02dc	26	TerminatedCString	InitializeCriticalSection
004d02f8	22	TerminatedCString	DeleteCriticalSection
004d0310	12	TerminatedCString	GlobalAlloc
004d031e	11	TerminatedCString	GlobalFree
004d032c	14	TerminatedCString	GetVersionExA
004d033c	20	TerminatedCString	MultiByteToWideChar
004d0352	10	TerminatedCString	GetCPInfo
004d035e	7	TerminatedCString	GetACP
004d0368	15	TerminatedCString	IsDBCSLeadByte
004d037a	26	TerminatedCString	QueryPerformanceFrequency
004d0396	24	TerminatedCString	QueryPerformanceCounter
004d03b0	15	TerminatedCString	GetProcAddress
004d03c2	13	TerminatedCString	LoadLibraryA
004d03d2	13	TerminatedCString	SetErrorMode
004d03e2	15	TerminatedCString	GetLocaleInfoA
004d03f4	19	TerminatedCString	GetCurrentThreadId
004d040a	12	TerminatedCString	CloseHandle
004d0418	15	TerminatedCString	CreateProcessA
004d042a	16	TerminatedCString	GetStartupInfoA
004d043c	13	TerminatedCString	GetLastError
004d044c	21	TerminatedCString	GetUserDefaultLangID
004d0464	12	TerminatedCString	FreeLibrary
004d0472	23	TerminatedCString	GetSystemDefaultLangID
004d048c	23	TerminatedCString	GetTimeZoneInformation
004d04a6	14	TerminatedCString	GetSystemTime
004d04b6	21	TerminatedCString	SystemTimeToFileTime
004d04ce	19	TerminatedCString	GetFileAttributesA
004d04e4	12	TerminatedCString	DeleteFileA
004d04f2	10	TerminatedCString	MoveFileA
004d04fe	17	TerminatedCString	RemoveDirectoryA
004d0512	17	TerminatedCString	CreateDirectoryA
004d0526	12	TerminatedCString	CreateFileA
004d0534	9	TerminatedCString	ReadFile
004d0540	10	TerminatedCString	WriteFile
004d054c	17	TerminatedCString	GetTempFileNameA
004d0560	13	TerminatedCString	GetTempPathA
004d0570	15	TerminatedCString	SetFilePointer
004d0582	12	TerminatedCString	GetFileSize
004d0590	15	TerminatedCString	FindFirstFileA
004d05a2	14	TerminatedCString	FindNextFileA
004d05b2	10	TerminatedCString	FindClose
004d05be	20	TerminatedCString	GetSystemDirectoryA
004d05d4	13	TerminatedCString	CreateMutexA
004d05e4	13	TerminatedCString	ReleaseMutex
004d05f4	16	TerminatedCString	UnmapViewOfFile
004d0606	14	TerminatedCString	MapViewOfFile
004d0616	19	TerminatedCString	CreateFileMappingA
004d062c	13	TerminatedCString	GetTickCount
004d063c	20	TerminatedCString	WaitForSingleObject
004d0652	20	TerminatedCString	WideCharToMultiByte
004d0668	19	TerminatedCString	GetModuleFileNameA
004d067e	6	TerminatedCString	Sleep
004d0686	13	TerminatedCString	CreateThread
004d0696	11	TerminatedCString	ExitThread
004d06a4	13	TerminatedCString	GlobalUnlock
004d06b4	11	TerminatedCString	GlobalLock
004d06c2	17	TerminatedCString	IsDBCSLeadByteEx
004d06d6	9	TerminatedCString	lstrlenA
004d06e2	13	TerminatedCString	SetEndOfFile
004d06f2	10	TerminatedCString	CopyFileA
004d06fe	12	TerminatedCString	ExitProcess
004d070c	17	TerminatedCString	GetModuleHandleA
004d0720	16	TerminatedCString	GetCommandLineA
004d0732	16	TerminatedCString	GetProcessTimes
004d0744	18	TerminatedCString	GetCurrentProcess
004d0758	18	TerminatedCString	SetThreadPriority
004d076c	13	TerminatedCString	CreateEventA
004d077c	9	TerminatedCString	SetEvent
004d0788	21	TerminatedCString	InterlockedIncrement
004d07a0	21	TerminatedCString	InterlockedDecrement
004d07b8	11	TerminatedCString	ResetEvent
004d07c6	23	TerminatedCString	WaitForMultipleObjects
004d07e0	18	TerminatedCString	GetThreadPriority
