address	type	comment
004001d8	EOL	.text
00400200	EOL	.rdata
00400228	EOL	.data
00401000	PLATE	Builds and displays the installer terms/location warning dialog, aborting the bootstrap when the user cancels.
0040106f	PLATE	Attempts to remove a stale updater/bootstrap file and aborts with an installer error if it remains.
004010c8	PLATE	Runs the BetaWulf auto-updater bootstrap: prepares CSN paths, configures the update server, creates the UI, and enters the message loop.
00401109	EOL	Continues bootstrap after the installer terms dialog is accepted.
00401c90	PLATE	Initializes a CSN updater object, checks for remote updates, applies the package update, and reports errors to the UI.
00401e28	EOL	Reports accumulated CSN errors and cleans up the updater object.
00401e9d	EOL	Polls update progress and UI callbacks until completion or error.
00401f09	EOL	Common success or no-update cleanup path for the allocated CSN object.
00402aac	PLATE	Library Function - Single Match\n __exit\n\nLibrary: Visual Studio 2003 Release
00402ed0	PLATE	Library Function - Single Match\n _strlen\n\nLibraries: Visual Studio 1998 Debug, Visual Studio 1998 Release
00403053	PLATE	Library Function - Single Match\n __amsg_exit\n\nLibrary: Visual Studio 2003 Release
004031f0	PLATE	Library Function - Single Match\n void * __cdecl operator new(unsigned int)\n\nLibrary: Visual Studio 2003 Release
00403908	PLATE	Library Function - Single Match\n __global_unwind2\n\nLibrary: Visual Studio
0040394a	PLATE	Library Function - Single Match\n __local_unwind2\n\nLibraries: Visual Studio 1998 Debug, Visual Studio 1998 Release, Visual Studio 2003 Debug, Visual Studio 2003 Release
004039b2	PLATE	Library Function - Single Match\n __abnormal_termination\n\nLibrary: Visual Studio
004039d5	PLATE	Library Function - Single Match\n __NLG_Notify1\n\nLibraries: Visual Studio 2017 Debug, Visual Studio 2017 Release, Visual Studio 2019 Debug, Visual Studio 2019 Release
00403a48	PLATE	Library Function - Single Match\n __ftol\n\nLibrary: Visual Studio
004044b4	PLATE	Library Function - Single Match\n _malloc\n\nLibrary: Visual Studio 2003 Release
004044c6	PLATE	Library Function - Single Match\n __nh_malloc\n\nLibrary: Visual Studio 2003 Release
00405676	PLATE	Library Function - Single Match\n __fassign\n\nLibrary: Visual Studio 2003 Release
00405966	PLATE	Library Function - Single Match\n __cfltcvt\n\nLibrary: Visual Studio 2003 Release
00407eb0	PLATE	Library Function - Single Match\n __CallSettingFrame@12\n\nLibraries: Visual Studio 2017 Debug, Visual Studio 2017 Release, Visual Studio 2019 Debug, Visual Studio 2019 Release
004083d0	PLATE	Library Function - Single Match\n __aulldiv\n\nLibrary: Visual Studio
00408440	PLATE	Library Function - Single Match\n __aullrem\n\nLibrary: Visual Studio
00408f90	PLATE	Library Function - Single Match\n _strchr\n\nLibraries: Visual Studio 1998 Debug, Visual Studio 1998 Release
00409050	PLATE	Library Function - Single Match\n _strstr\n\nLibraries: Visual Studio 1998 Debug, Visual Studio 1998 Release
004090d0	PLATE	Library Function - Single Match\n _strncmp\n\nLibraries: Visual Studio 1998 Debug, Visual Studio 1998 Release
004091a0	PLATE	Library Function - Single Match\n _strncpy\n\nLibraries: Visual Studio 1998 Debug, Visual Studio 1998 Release
00409bf0	PLATE	Library Function - Single Match\n _memset\n\nLibraries: Visual Studio 1998 Debug, Visual Studio 1998 Release
0040a108	PLATE	Library Function - Single Match\n __fclose_lk\n\nLibrary: Visual Studio 2003 Release
0040a2a0	PLATE	Library Function - Single Match\n _strcmp\n\nLibraries: Visual Studio 1998 Debug, Visual Studio 1998 Release
0040b4a4	PLATE	Library Function - Single Match\n ___add_12\n\nLibrary: Visual Studio 2003 Release
0040bea4	PLATE	Library Function - Single Match\n __freebuf\n\nLibrary: Visual Studio 2003 Release
0040f2b0	PLATE	Library Function - Single Match\n __allmul\n\nLibrary: Visual Studio
0040f382	PLATE	Library Function - Single Match\n __mbsnbicoll\n\nLibrary: Visual Studio 2003 Release
00410530	PLATE	Stores a copied server address string into the CSN object.
004105a0	PLATE	Stores a copied remote server path string into the CSN object.
004105d0	PLATE	Stores a copied local package path string into the CSN object.
00410600	PLATE	Stores a copied package name string into the CSN object.
00410630	PLATE	Records command-line argument metadata and derives the current package-relative executable path.
004106f0	PLATE	Checks skip/completion marker files to decide whether a previous CSN install finished.
00410870	PLATE	Marks a completed install, promotes temporary manifests, handles exec_/old staging, and may relaunch.
00410db0	PLATE	Checks the remote CSN master manifest against the local manifest fingerprint to decide whether updates are needed.
00410e83	EOL	Records server connection failure and returns no-update/error.
00410f19	EOL	Treats a missing local master manifest as requiring an update.
00410f35	EOL	Treats a missing local master_fingerprint entry as requiring an update.
00410f65	EOL	Returns no-update when remote and local master fingerprints match.
00410f76	EOL	Returns update-needed when remote and local master fingerprints differ.
00411030	PLATE	Compares existing and downloaded CSN manifest entries, deleting removed files and queueing new or changed files.
0041104f	EOL	Main manifest comparison loop; advances old/new manifest entries and queues deletes/downloads.
00411159	EOL	Fingerprint bytes differ for the same path; convert comparison result for update handling.
0041115e	EOL	For matching manifest paths, queues an update when fingerprints differ.
00411162	EOL	Queues a file whose path matches but fingerprint differs.
004111cc	EOL	Deletes a local file that is absent from the downloaded manifest.
00411235	EOL	Queues a file that is new in the downloaded update manifest.
0041128b	EOL	Finishes the diff when both manifest readers are exhausted.
00411380	PLATE	Coordinates package update work by reading local and downloaded CSN manifests, queueing missing files, and driving downloads.
0041141f	EOL	Generates local fingerprints when csn_update.csn cannot be opened.
00411599	EOL	Queues an expected file for update when it is missing or empty locally.
00411603	EOL	Returns failure after the package download driver reports an error.
00411657	EOL	Returns success after queued downloads complete.
004116d0	PLATE	Adds a formatted error message to the CSN object's accumulated error string.
004117a0	PLATE	Builds a package-relative CSN file path and loads it into a parsed manifest object.
00411840	PLATE	Reads the temporary update manifest, computes local file fingerprints, and writes csn_update.csn.
004119b0	PLATE	Creates a per-file update job, handling executable replacement through an exec_ staging filename when needed.
00411a06	EOL	Stages replacement of the running executable through an exec_ filename.
00411a8e	EOL	Adds the prepared per-file update request to the queue when initialization succeeded.
00411b40	PLATE	Downloads a named CSN component and validates its fingerprint against the master manifest.
00411cb3	EOL	Handles a mismatch between the downloaded component fingerprint and the master manifest.
00411cd1	EOL	Common cleanup and return path for component download validation.
00411d20	PLATE	Computes a hex fingerprint for a file, returning an all-zero fingerprint when the file is missing.
00411ef0	PLATE	Tiny method that marks the current CSN_HTTP operation as connect_to_server and returns success.
00411fa0	PLATE	Resolves the configured host, creates a TCP/80 socket, binds locally, makes it nonblocking, and connects.
00412190	PLATE	Starts a file request and polls the HTTP connection until the transfer completes or fails.
004121ba	EOL	Sleeps briefly and pumps HTTP transfer state until completion or failure.
004121d6	EOL	Cleans up a completed HTTP request and returns success.
004121e3	EOL	Cleans up a failed HTTP request and returns failure.
00412240	PLATE	Prepares local/compressed filenames, opens the partial .bz2 file, resumes if possible, and builds the HTTP GET request.
00412260	EOL	Splits the requested CSN component path into directory and filename pieces.
004122a2	EOL	Builds the local output filename and matching .bz2 partial-download filename.
0041231b	EOL	Reports failure to open the compressed partial-download file.
00412354	EOL	Reads the existing partial .bz2 file length to decide whether the download can resume.
00412381	EOL	Disables resume and starts from byte zero when no expected size was supplied.
0041238f	EOL	Treats the partial file as complete when its size already matches the expected size.
00412398	EOL	Marks a partial .bz2 file complete when its size matches the expected size.
004123a8	EOL	Keeps resume offset only when the partial file is not larger than the expected size.
004123ac	EOL	Connects to the update server and prepares to format the HTTP GET request.
004123c5	EOL	Chooses between a full GET request and a ranged resume request.
004123cc	EOL	Formats an HTTP GET request without a Range header.
004123f3	EOL	Formats an HTTP GET request with a resume Range header.
00412419	EOL	Checks that the formatted request buffer was allocated before installing it.
00412426	EOL	Frees any previous pending HTTP request buffer before replacing it.
0041242f	EOL	Stores the new request buffer, send pointer, and byte length for the transfer loop.
0041244d	EOL	Frees the split directory string before falling through to failure cleanup.
