entry	name	full_name	namespace	name_source	signature_source	calling_convention	return_type	parameter_count	is_thunk	thunk_target	is_external	body_ranges	comment	repeatable_comment	prototype
00401000	Installer_ShowTermsDialog	Installer_ShowTermsDialog	Global	USER_DEFINED	ANALYSIS	__cdecl	undefined4	1	false	\N	false	00401000-0040106e	Builds and displays the installer terms/location warning dialog, aborting the bootstrap when the user cancels.	\N	undefined4 __cdecl Installer_ShowTermsDialog(undefined4 * param_1)
0040106f	Updater_DeleteStaleFileOrAbort	Updater_DeleteStaleFileOrAbort	Global	USER_DEFINED	ANALYSIS	__cdecl	undefined	1	false	\N	false	0040106f-004010c7	Attempts to remove a stale updater/bootstrap file and aborts with an installer error if it remains.	\N	undefined __cdecl Updater_DeleteStaleFileOrAbort(LPCSTR param_1)
004010c8	Updater_WinMainBootstrap	Updater_WinMainBootstrap	Global	USER_DEFINED	ANALYSIS	__stdcall	typedef WPARAM UINT_PTR	4	false	\N	false	004010c8-00401257	Runs the BetaWulf auto-updater bootstrap: prepares CSN paths, configures the update server, creates the UI, and enters the message loop.	\N	WPARAM __stdcall Updater_WinMainBootstrap(HINSTANCE param_1, undefined4 param_2, undefined4 param_3, int param_4)
00401258	FUN_00401258	FUN_00401258	Global	DEFAULT	ANALYSIS	__cdecl	undefined	1	false	\N	false	00401258-004012cb	\N	\N	undefined __cdecl FUN_00401258(HINSTANCE param_1)
004012cc	FUN_004012cc	FUN_004012cc	Global	DEFAULT	ANALYSIS	__cdecl	bool	2	false	\N	false	004012cc-0040131d	\N	\N	bool __cdecl FUN_004012cc(HINSTANCE param_1, int param_2)
0040131e	FUN_0040131e	FUN_0040131e	Global	DEFAULT	ANALYSIS	__stdcall	typedef LRESULT LONG_PTR	4	false	\N	false	0040131e-00401409	\N	\N	LRESULT __stdcall FUN_0040131e(HWND param_1, UINT param_2, uint param_3, LPARAM param_4)
0040140a	FUN_0040140a	FUN_0040140a	Global	DEFAULT	ANALYSIS	__stdcall	undefined4	3	false	\N	false	0040140a-00401440	\N	\N	undefined4 __stdcall FUN_0040140a(HWND param_1, int param_2, ushort param_3)
00401450	FUN_00401450	FUN_00401450	Global	DEFAULT	ANALYSIS	__fastcall	undefined	1	false	\N	false	00401450-00401471	\N	\N	undefined __fastcall FUN_00401450(int param_1)
00401480	FUN_00401480	FUN_00401480	Global	DEFAULT	ANALYSIS	__fastcall	undefined1 *	1	false	\N	false	00401480-004014e8	\N	\N	undefined1 * __fastcall FUN_00401480(undefined1 * param_1)
004014f0	FUN_004014f0	FUN_004014f0	Global	DEFAULT	ANALYSIS	__fastcall	undefined	1	false	\N	false	004014f0-0040157a	\N	\N	undefined __fastcall FUN_004014f0(int param_1)
00401580	FUN_00401580	FUN_00401580	Global	DEFAULT	ANALYSIS	__thiscall	undefined	4	false	\N	false	00401580-004015ed	\N	\N	undefined __thiscall FUN_00401580(int param_1, uint * param_2, uint * param_3)
