address	type	comment
10000178	EOL	.text
100001a0	EOL	.rdata
100001c8	EOL	.data
100001f0	EOL	.idata
10000218	EOL	.rsrc
10000240	EOL	.reloc
10001090	PLATE	__stdcall grSplash,20
10001090	PRE	0x1090  59  _grSplash@20
100021a0	PLATE	__stdcall gu3dfGetInfo,8
100021a0	PRE	0x21a0  99  _gu3dfGetInfo@8
10002860	PLATE	__stdcall gu3dfLoad,8
10002860	PRE	0x2860  100  _gu3dfLoad@8
10002c60	PLATE	__stdcall guAlphaSource,4
10002c60	PRE	0x2c60  102  _guAlphaSource@4
10002cd0	PLATE	__stdcall guColorCombineFunction,4
10002cd0	PRE	0x2cd0  103  _guColorCombineFunction@4
10002e50	PLATE	__stdcall guEndianSwapWords,4
10002e50	PRE	0x2e50  108  _guEndianSwapWords@4
10002e70	PLATE	__stdcall guEndianSwapBytes,4
10002e70	PRE	0x2e70  107  _guEndianSwapBytes@4
10002e80	PLATE	__stdcall guFogTableIndexToW,4
10002e80	PRE	0x2e80  114  _guFogTableIndexToW@4
10002ed0	PLATE	__stdcall guFogGenerateExp,8
10002ed0	PRE	0x2ed0  112  _guFogGenerateExp@8
10002fa0	PLATE	__stdcall guFogGenerateExp2,8
10002fa0	PRE	0x2fa0  111  _guFogGenerateExp2@8
10003080	PLATE	__stdcall guFogGenerateLinear,12
10003080	PRE	0x3080  113  _guFogGenerateLinear@12
10003120	PLATE	__stdcall guTexCreateColorMipMap,0
10003120	PRE	0x3120  125  _guTexCreateColorMipMap@0
10003260	PLATE	__stdcall guEncodeRLE16,16
10003260	PRE	0x3260  106  _guEncodeRLE16@16
10003340	PLATE	__stdcall guDrawTriangleWithClip,12
10003340	PRE	0x3340  105  _guDrawTriangleWithClip@12
10003a30	PLATE	__stdcall guAADrawTriangleWithClip,12
10003a30	PRE	0x3a30  101  _guAADrawTriangleWithClip@12
10003cc0	PLATE	__stdcall guDrawPolygonVertexListWithClip,8
10003cc0	PRE	0x3cc0  104  _guDrawPolygonVertexListWithClip@8
100041b0	PLATE	__stdcall guMPInit,0
100041b0	PRE	0x41b0  116  _guMPInit@0
100041d0	PLATE	__stdcall guMPTexCombineFunction,4
100041d0	PRE	0x41d0  117  _guMPTexCombineFunction@4
100041e0	PLATE	__stdcall guMPTexSource,8
100041e0	PRE	0x41e0  118  _guMPTexSource@8
10004400	PLATE	__stdcall grGlideGetVersion,4
10004400	PRE	0x4400  43  _grGlideGetVersion@4
10004430	PLATE	__stdcall grGlideGetState,4
10004430	PRE	0x4430  42  _grGlideGetState@4
10004450	PLATE	__stdcall grHints,8
10004450	PRE	0x4450  48  _grHints@8
10004510	PLATE	__stdcall grGlideInit,0
10004510	PRE	0x4510  44  _grGlideInit@0
10004520	PLATE	__stdcall grGlideShamelessPlug,4
10004520	PRE	0x4520  46  _grGlideShamelessPlug@4
10004530	PLATE	__stdcall grResetTriStats,0
10004530	PRE	0x4530  58  _grResetTriStats@0
10004560	PLATE	__stdcall grTriStats,8
10004560	PRE	0x4560  98  _grTriStats@8
10004590	PLATE	__stdcall grSstQueryBoards,4
10004590	PRE	0x4590  66  _grSstQueryBoards@4
100045b0	PLATE	__stdcall grSstQueryHardware,4
100045b0	PRE	0x45b0  67  _grSstQueryHardware@4
100045f0	PLATE	__stdcall grSstSelect,4
100045f0	PRE	0x45f0  71  _grSstSelect@4
10004670	PLATE	__stdcall grSstScreenWidth,0
10004670	PRE	0x4670  70  _grSstScreenWidth@0
10004680	PLATE	__stdcall grSstScreenHeight,0
10004680	PRE	0x4680  69  _grSstScreenHeight@0
10004690	PLATE	__stdcall grSstVidMode,8
10004690	PRE	0x4690  74  _grSstVidMode@8
10004860	PLATE	__stdcall grTexCalcMemRequired,16
10004860	PRE	0x4860  78  _grTexCalcMemRequired@16
10004890	PLATE	__stdcall grTexDetailControl,16
10004890	PRE	0x4890  82  _grTexDetailControl@16
100048d0	PLATE	__stdcall grTexMinAddress,4
100048d0	PRE	0x48d0  91  _grTexMinAddress@4
100048f0	PLATE	__stdcall grTexMaxAddress,4
100048f0	PRE	0x48f0  90  _grTexMaxAddress@4
10004920	PLATE	__stdcall grTexTextureMemRequired,8
10004920	PRE	0x4920  97  _grTexTextureMemRequired@8
10004950	PLATE	__stdcall grTexDownloadMipMap,16
10004950	PRE	0x4950  83  _grTexDownloadMipMap@16
100049f0	PLATE	__stdcall grTexDownloadTablePartial,20
100049f0	PRE	0x49f0  87  _grTexDownloadTablePartial@20
10004a40	PLATE	__stdcall grTexDownloadMipMapLevel,32
10004a40	PRE	0x4a40  84  _grTexDownloadMipMapLevel@32
10004be0	PLATE	__stdcall grErrorSetCallback,4
10004be0	PRE	0x4be0  37  _grErrorSetCallback@4
10004c30	PLATE	__stdcall guMovieStart,0
10004c30	PRE	0x4c30  120  _guMovieStart@0
10004c50	PLATE	__stdcall guMovieStop,0
10004c50	PRE	0x4c50  121  _guMovieStop@0
10004c70	PLATE	__stdcall guMovieSetName,4
10004c70	PRE	0x4c70  119  _guMovieSetName@4
10004c90	PLATE	__stdcall guTexAllocateMemory,60
10004c90	PRE	0x4c90  122  _guTexAllocateMemory@60
10004f40	PLATE	__stdcall guTexChangeAttributes,48
10004f40	PRE	0x4f40  123  _guTexChangeAttributes@48
100050f0	PLATE	__stdcall grTexCombineFunction,8
100050f0	PRE	0x50f0  81  _grTexCombineFunction@8
10005110	PLATE	__stdcall guTexCombineFunction,8
10005110	PRE	0x5110  124  _guTexCombineFunction@8
10005280	PLATE	__stdcall guTexDownloadMipMap,12
10005280	PRE	0x5280  126  _guTexDownloadMipMap@12
10005300	PLATE	__stdcall guTexDownloadMipMapLevel,12
10005300	PRE	0x5300  127  _guTexDownloadMipMapLevel@12
100053a0	PLATE	__stdcall guTexGetCurrentMipMap,4
100053a0	PRE	0x53a0  128  _guTexGetCurrentMipMap@4
100053d0	PLATE	__stdcall guTexGetMipMapInfo,4
100053d0	PRE	0x53d0  129  _guTexGetMipMapInfo@4
10005400	PLATE	__stdcall guTexMemQueryAvail,4
10005400	PRE	0x5400  130  _guTexMemQueryAvail@4
10005440	PLATE	__stdcall guTexMemReset,0
10005440	PRE	0x5440  131  _guTexMemReset@0
10005600	PLATE	__stdcall guMPDrawTriangle,12
10005600	PRE	0x5600  115  _guMPDrawTriangle@12
10005e20	PLATE	__stdcall grAADrawPoint,4
10005e20	PRE	0x5e20  3  _grAADrawPoint@4
10005f70	PLATE	__stdcall grAADrawLine,8
10005f70	PRE	0x5f70  2  _grAADrawLine@8
10006170	PLATE	__stdcall grAADrawTriangle,24
10006170	PRE	0x6170  6  _grAADrawTriangle@24
10006980	PLATE	__stdcall grAADrawPolygon,12
10006980	PRE	0x6980  4  _grAADrawPolygon@12
10006a70	PLATE	__stdcall grAADrawPolygonVertexList,8
10006a70	PRE	0x6a70  5  _grAADrawPolygonVertexList@8
10006b00	PLATE	__stdcall grDrawPoint,4
10006b00	PRE	0x6b00  33  _grDrawPoint@4
10006df0	PLATE	__stdcall grDrawLine,8
10006df0	PRE	0x6df0  30  _grDrawLine@8
100076b0	PLATE	__stdcall grDrawTriangle,12
100076b0	PRE	0x76b0  36  _grDrawTriangle@12
100076d0	PLATE	__stdcall grDrawPlanarPolygon,12
100076d0	PRE	0x76d0  31  _grDrawPlanarPolygon@12
100076e0	PLATE	__stdcall grDrawPlanarPolygonVertexList,8
100076e0	PRE	0x76e0  32  _grDrawPlanarPolygonVertexList@8
10007750	PLATE	__stdcall grDrawPolygon,12
10007750	PRE	0x7750  34  _grDrawPolygon@12
100077b0	PLATE	__stdcall grDrawPolygonVertexList,8
100077b0	PRE	0x77b0  35  _grDrawPolygonVertexList@8
10007a40	PLATE	__stdcall grAlphaBlendFunction,16
10007a40	PRE	0x7a40  7  _grAlphaBlendFunction@16
10007b10	PLATE	__stdcall grAlphaCombine,20
10007b10	PRE	0x7b10  8  _grAlphaCombine@20
10007cf0	PLATE	__stdcall grAlphaControlsITRGBLighting,4
10007cf0	PRE	0x7cf0  9  _grAlphaControlsITRGBLighting@4
10007d80	PLATE	__stdcall grAlphaTestFunction,4
10007d80	PRE	0x7d80  10  _grAlphaTestFunction@4
10007e10	PLATE	__stdcall grAlphaTestReferenceValue,4
10007e10	PRE	0x7e10  11  _grAlphaTestReferenceValue@4
10007e90	PLATE	__stdcall grBufferClear,12
10007e90	PRE	0x7e90  12  _grBufferClear@12
100081f0	PLATE	__stdcall grBufferSwap,4
100081f0	PRE	0x81f0  14  _grBufferSwap@4
10008230	PLATE	__stdcall grBufferNumPending,0
10008230	PRE	0x8230  13  _grBufferNumPending@0
10008240	PLATE	__stdcall grChromakeyMode,4
10008240	PRE	0x8240  16  _grChromakeyMode@4
100082d0	PLATE	__stdcall grChromakeyValue,4
100082d0	PRE	0x82d0  17  _grChromakeyValue@4
10008350	PLATE	__stdcall grClipWindow,16
10008350	PRE	0x8350  18  _grClipWindow@16
10008450	PLATE	__stdcall grColorCombine,20
10008450	PRE	0x8450  19  _grColorCombine@20
10008660	PLATE	__stdcall grColorMask,8
10008660	PRE	0x8660  20  _grColorMask@8
10008710	PLATE	__stdcall grConstantColorValue,4
10008710	PRE	0x8710  22  _grConstantColorValue@4
100087e0	PLATE	__stdcall grConstantColorValue4,16
100087e0	PRE	0x87e0  21  _grConstantColorValue4@16
10008900	PLATE	__stdcall grCullMode,4
10008900	PRE	0x8900  23  _grCullMode@4
10008920	PLATE	__stdcall grDepthBiasLevel,4
10008920	PRE	0x8920  24  _grDepthBiasLevel@4
100089b0	PLATE	__stdcall grDepthBufferFunction,4
100089b0	PRE	0x89b0  25  _grDepthBufferFunction@4
10008a30	PLATE	__stdcall grDepthBufferMode,4
10008a30	PRE	0x8a30  26  _grDepthBufferMode@4
10008af0	PLATE	__stdcall grDepthMask,4
10008af0	PRE	0x8af0  27  _grDepthMask@4
10008b80	PLATE	__stdcall grDisableAllEffects,0
10008b80	PRE	0x8b80  28  _grDisableAllEffects@0
10008bc0	PLATE	__stdcall grDitherMode,4
10008bc0	PRE	0x8bc0  29  _grDitherMode@4
10008c70	PLATE	__stdcall grFogMode,4
10008c70	PRE	0x8c70  39  _grFogMode@4
10008d20	PLATE	__stdcall grFogColorValue,4
10008d20	PRE	0x8d20  38  _grFogColorValue@4
10008da0	PLATE	__stdcall grFogTable,4
