address	type	name	full_name	namespace	source	primary	external	external_entry
EXTERNAL:00000001	Function	DirectDrawCreate	DDRAW.DLL::DirectDrawCreate	DDRAW.DLL	IMPORTED	true	true	false
EXTERNAL:00000002	Function	GetModuleHandleA	KERNEL32.DLL::GetModuleHandleA	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000003	Function	DeviceIoControl	KERNEL32.DLL::DeviceIoControl	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000004	Function	CreateFileA	KERNEL32.DLL::CreateFileA	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000005	Function	GetModuleFileNameA	KERNEL32.DLL::GetModuleFileNameA	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000006	Function	VirtualAlloc	KERNEL32.DLL::VirtualAlloc	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000007	Label	GetOEMCP	KERNEL32.DLL::GetOEMCP	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000008	Label	GetACP	KERNEL32.DLL::GetACP	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000009	Function	GetLocaleInfoW	KERNEL32.DLL::GetLocaleInfoW	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:0000000a	Function	GetLocaleInfoA	KERNEL32.DLL::GetLocaleInfoA	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:0000000b	Function	HeapAlloc	KERNEL32.DLL::HeapAlloc	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:0000000c	Function	ExitProcess	KERNEL32.DLL::ExitProcess	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:0000000d	Function	TerminateProcess	KERNEL32.DLL::TerminateProcess	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:0000000e	Function	GetCurrentProcess	KERNEL32.DLL::GetCurrentProcess	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:0000000f	Function	GetCommandLineA	KERNEL32.DLL::GetCommandLineA	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000010	Function	GetProcAddress	KERNEL32.DLL::GetProcAddress	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000011	Function	GetVersion	KERNEL32.DLL::GetVersion	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000012	Function	HeapFree	KERNEL32.DLL::HeapFree	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000013	Function	GetLastError	KERNEL32.DLL::GetLastError	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000014	Function	CloseHandle	KERNEL32.DLL::CloseHandle	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000015	Function	SetHandleCount	KERNEL32.DLL::SetHandleCount	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000016	Function	GetFileType	KERNEL32.DLL::GetFileType	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000017	Function	GetStdHandle	KERNEL32.DLL::GetStdHandle	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000018	Function	GetStartupInfoA	KERNEL32.DLL::GetStartupInfoA	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000019	Function	ReadFile	KERNEL32.DLL::ReadFile	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:0000001a	Function	HeapDestroy	KERNEL32.DLL::HeapDestroy	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:0000001b	Function	HeapCreate	KERNEL32.DLL::HeapCreate	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:0000001c	Function	VirtualFree	KERNEL32.DLL::VirtualFree	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:0000001d	Function	LCMapStringA	KERNEL32.DLL::LCMapStringA	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:0000001e	Function	WideCharToMultiByte	KERNEL32.DLL::WideCharToMultiByte	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:0000001f	Function	GetCPInfo	KERNEL32.DLL::GetCPInfo	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000020	Function	HeapReAlloc	KERNEL32.DLL::HeapReAlloc	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000021	Function	SetEnvironmentVariableW	KERNEL32.DLL::SetEnvironmentVariableW	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000022	Function	FreeEnvironmentStringsA	KERNEL32.DLL::FreeEnvironmentStringsA	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000023	Function	MultiByteToWideChar	KERNEL32.DLL::MultiByteToWideChar	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000024	Function	GetEnvironmentStrings	KERNEL32.DLL::GetEnvironmentStrings	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000025	Function	FreeEnvironmentStringsW	KERNEL32.DLL::FreeEnvironmentStringsW	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000026	Function	GetEnvironmentStringsW	KERNEL32.DLL::GetEnvironmentStringsW	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000027	Function	DisableThreadLibraryCalls	KERNEL32.DLL::DisableThreadLibraryCalls	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000028	Function	WriteFile	KERNEL32.DLL::WriteFile	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000029	Function	FlushFileBuffers	KERNEL32.DLL::FlushFileBuffers	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:0000002a	Function	CompareStringA	KERNEL32.DLL::CompareStringA	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:0000002b	Function	LCMapStringW	KERNEL32.DLL::LCMapStringW	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:0000002c	Function	GetStringTypeA	KERNEL32.DLL::GetStringTypeA	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:0000002d	Function	GetStringTypeW	KERNEL32.DLL::GetStringTypeW	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:0000002e	Function	SetStdHandle	KERNEL32.DLL::SetStdHandle	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:0000002f	Function	SetFilePointer	KERNEL32.DLL::SetFilePointer	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000030	Function	CompareStringW	KERNEL32.DLL::CompareStringW	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000031	Function	SetEnvironmentVariableA	KERNEL32.DLL::SetEnvironmentVariableA	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000032	Function	LoadLibraryA	KERNEL32.DLL::LoadLibraryA	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000033	Function	SetEndOfFile	KERNEL32.DLL::SetEndOfFile	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000034	Function	RaiseException	KERNEL32.DLL::RaiseException	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000035	Function	MessageBoxA	USER32.DLL::MessageBoxA	USER32.DLL	IMPORTED	true	true	false
EXTERNAL:00000036	Function	GetActiveWindow	USER32.DLL::GetActiveWindow	USER32.DLL	IMPORTED	true	true	false
EXTERNAL:00000037	Function	GetClientRect	USER32.DLL::GetClientRect	USER32.DLL	IMPORTED	true	true	false
EXTERNAL:00000038	Function	ClientToScreen	USER32.DLL::ClientToScreen	USER32.DLL	IMPORTED	true	true	false
10001000	Function	FUN_10001000	FUN_10001000	Global	DEFAULT	true	false	false
10001009	Label	switchD	switchD_10001009::switchD	switchD_10001009	ANALYSIS	true	false	false
10001010	Label	caseD_0	switchD_10001009::caseD_0	switchD_10001009	ANALYSIS	true	false	false
10001022	Label	caseD_1	switchD_10001009::caseD_1	switchD_10001009	ANALYSIS	true	false	false
10001034	Label	caseD_2	switchD_10001009::caseD_2	switchD_10001009	ANALYSIS	true	false	false
1000104d	Label	caseD_3	switchD_10001009::caseD_3	switchD_10001009	ANALYSIS	true	false	false
1000105f	Label	caseD_4	switchD_10001009::caseD_4	switchD_10001009	ANALYSIS	true	false	false
10001077	Label	default	switchD_10001009::default	switchD_10001009	ANALYSIS	true	false	false
10001078	Label	switchdataD_10001078	switchD_10001009::switchdataD_10001078	switchD_10001009	ANALYSIS	true	false	false
10001090	Label	Ordinal_59	Ordinal_59	Global	IMPORTED	false	false	true
10001090	Function	grSplash	grSplash	Global	ANALYSIS	true	false	true
10001090	Label	_grSplash@20	_grSplash@20	Global	IMPORTED	false	false	true
100015f0	Function	FUN_100015f0	FUN_100015f0	Global	DEFAULT	true	false	false
10001650	Function	FUN_10001650	FUN_10001650	Global	DEFAULT	true	false	false
100016d0	Function	FUN_100016d0	FUN_100016d0	Global	DEFAULT	true	false	false
100016e8	Label	switchD	switchD_100016e8::switchD	switchD_100016e8	ANALYSIS	true	false	false
100016ef	Label	caseD_1	switchD_100016e8::caseD_1	switchD_100016e8	ANALYSIS	true	false	false
100016ef	Label	caseD_9	switchD_100016e8::caseD_9	switchD_100016e8	ANALYSIS	false	false	false
100016f2	Label	caseD_5	switchD_100016e8::caseD_5	switchD_100016e8	ANALYSIS	true	false	false
100016f2	Label	caseD_e	switchD_100016e8::caseD_e	switchD_100016e8	ANALYSIS	false	false	false
100016f7	Label	caseD_2	switchD_100016e8::caseD_2	switchD_100016e8	ANALYSIS	true	false	false
100016f7	Label	caseD_3	switchD_100016e8::caseD_3	switchD_100016e8	ANALYSIS	false	false	false
100016f7	Label	caseD_4	switchD_100016e8::caseD_4	switchD_100016e8	ANALYSIS	false	false	false
100016f7	Label	caseD_6	switchD_100016e8::caseD_6	switchD_100016e8	ANALYSIS	false	false	false
100016f7	Label	caseD_7	switchD_100016e8::caseD_7	switchD_100016e8	ANALYSIS	false	false	false
100016f7	Label	caseD_8	switchD_100016e8::caseD_8	switchD_100016e8	ANALYSIS	false	false	false
100016f7	Label	caseD_a	switchD_100016e8::caseD_a	switchD_100016e8	ANALYSIS	false	false	false
100016f7	Label	caseD_b	switchD_100016e8::caseD_b	switchD_100016e8	ANALYSIS	false	false	false
100016f7	Label	caseD_c	switchD_100016e8::caseD_c	switchD_100016e8	ANALYSIS	false	false	false
100016f7	Label	caseD_d	switchD_100016e8::caseD_d	switchD_100016e8	ANALYSIS	false	false	false
100016f8	Label	switchdataD_100016f8	switchD_100016e8::switchdataD_100016f8	switchD_100016e8	ANALYSIS	true	false	false
1000170c	Label	switchdataD_1000170c	switchD_100016e8::switchdataD_1000170c	switchD_100016e8	ANALYSIS	true	false	false
10001720	Function	FUN_10001720	FUN_10001720	Global	DEFAULT	true	false	false
10001800	Function	FUN_10001800	FUN_10001800	Global	DEFAULT	true	false	false
10001870	Function	FUN_10001870	FUN_10001870	Global	DEFAULT	true	false	false
100018d0	Function	FUN_100018d0	FUN_100018d0	Global	DEFAULT	true	false	false
10001cb0	Function	FUN_10001cb0	FUN_10001cb0	Global	DEFAULT	true	false	false
10001d00	Function	FUN_10001d00	FUN_10001d00	Global	DEFAULT	true	false	false
10001d0d	Label	switchD	switchD_10001d0d::switchD	switchD_10001d0d	ANALYSIS	true	false	false
10001d14	Label	caseD_0	switchD_10001d0d::caseD_0	switchD_10001d0d	ANALYSIS	true	false	false
10001d83	Label	caseD_1	switchD_10001d0d::caseD_1	switchD_10001d0d	ANALYSIS	true	false	false
10001dd7	Label	caseD_2	switchD_10001d0d::caseD_2	switchD_10001d0d	ANALYSIS	true	false	false
10001dd7	Label	caseD_3	switchD_10001d0d::caseD_3	switchD_10001d0d	ANALYSIS	false	false	false
10001dd7	Label	caseD_4	switchD_10001d0d::caseD_4	switchD_10001d0d	ANALYSIS	false	false	false
10001df0	Label	default	switchD_10001d0d::default	switchD_10001d0d	ANALYSIS	true	false	false
10001df4	Label	switchdataD_10001df4	switchD_10001d0d::switchdataD_10001df4	switchD_10001d0d	ANALYSIS	true	false	false
10001e10	Function	FUN_10001e10	FUN_10001e10	Global	DEFAULT	true	false	false
10002140	Function	FUN_10002140	FUN_10002140	Global	DEFAULT	true	false	false
10002180	Function	FUN_10002180	FUN_10002180	Global	DEFAULT	true	false	false
100021a0	Label	Ordinal_99	Ordinal_99	Global	IMPORTED	false	false	true
100021a0	Function	gu3dfGetInfo	gu3dfGetInfo	Global	ANALYSIS	true	false	true
100021a0	Label	_gu3dfGetInfo@8	_gu3dfGetInfo@8	Global	IMPORTED	false	false	true
10002494	Label	switchD	switchD_10002494::switchD	switchD_10002494	ANALYSIS	true	false	false
100024bf	Label	caseD_10	switchD_10002494::caseD_10	switchD_10002494	ANALYSIS	true	false	false
100024c8	Label	caseD_20	switchD_10002494::caseD_20	switchD_10002494	ANALYSIS	true	false	false
100024d1	Label	caseD_40	switchD_10002494::caseD_40	switchD_10002494	ANALYSIS	true	false	false
100024da	Label	caseD_80	switchD_10002494::caseD_80	switchD_10002494	ANALYSIS	true	false	false
100024e3	Label	caseD_100	switchD_10002494::caseD_100	switchD_10002494	ANALYSIS	true	false	false
100024ea	Label	caseD_11	switchD_10002494::caseD_11	switchD_10002494	ANALYSIS	true	false	false
100024ea	Label	caseD_12	switchD_10002494::caseD_12	switchD_10002494	ANALYSIS	false	false	false
100024ea	Label	caseD_13	switchD_10002494::caseD_13	switchD_10002494	ANALYSIS	false	false	false
100024ea	Label	caseD_14	switchD_10002494::caseD_14	switchD_10002494	ANALYSIS	false	false	false
100024ea	Label	caseD_15	switchD_10002494::caseD_15	switchD_10002494	ANALYSIS	false	false	false
100024ea	Label	caseD_16	switchD_10002494::caseD_16	switchD_10002494	ANALYSIS	false	false	false
