address	primary_symbol
1000bd80	_ConvertAndDownloadRle@64
10005f70	grAADrawLine
10005e20	grAADrawPoint
10006980	grAADrawPolygon
10006a70	grAADrawPolygonVertexList
10006170	grAADrawTriangle
10007a40	grAlphaBlendFunction
10007b10	grAlphaCombine
10007cf0	grAlphaControlsITRGBLighting
10007d80	grAlphaTestFunction
10007e10	grAlphaTestReferenceValue
10007e90	grBufferClear
10008230	grBufferNumPending
100081f0	grBufferSwap
10009510	grCheckForRoom
10008240	grChromakeyMode
100082d0	grChromakeyValue
10008350	grClipWindow
10008450	grColorCombine
10008660	grColorMask
100087e0	grConstantColorValue4
10008710	grConstantColorValue
10008900	grCullMode
10008920	grDepthBiasLevel
100089b0	grDepthBufferFunction
10008a30	grDepthBufferMode
10008af0	grDepthMask
10008b80	grDisableAllEffects
10008bc0	grDitherMode
10006df0	grDrawLine
100076d0	grDrawPlanarPolygon
100076e0	grDrawPlanarPolygonVertexList
10006b00	grDrawPoint
10007750	grDrawPolygon
100077b0	grDrawPolygonVertexList
100076b0	grDrawTriangle
10004be0	grErrorSetCallback
10008d20	grFogColorValue
10008c70	grFogMode
10008da0	grFogTable
1000a380	grGammaCorrectionValue
10004430	grGlideGetState
10004400	grGlideGetVersion
10004510	grGlideInit
10008ef0	grGlideSetState
10004520	grGlideShamelessPlug
10008e80	grGlideShutdown
10004450	grHints
100098e0	grLfbConstantAlpha
10009900	grLfbConstantDepth
10009920	grLfbLock
10009c10	grLfbReadRegion
10009a30	grLfbUnlock
10009a70	grLfbWriteColorFormat
10009a80	grLfbWriteColorSwizzle
10009a90	grLfbWriteRegion
10009500	grRenderBuffer
10004530	grResetTriStats
10001090	grSplash
1000a440	grSstConfigPipeline
1000a200	grSstControl
1000a3a0	grSstIdle
1000a370	grSstIsBusy
1000a3b0	grSstOrigin
1000a280	grSstPerfStats
10004590	grSstQueryBoards
100045b0	grSstQueryHardware
1000a2c0	grSstResetPerfStats
10004680	grSstScreenHeight
10004670	grSstScreenWidth
100045f0	grSstSelect
1000a330	grSstStatus
1000a350	grSstVRetraceOn
10004690	grSstVidMode
1000a340	grSstVideoLine
1000a1d0	grSstWinClose
10009d60	grSstWinOpen
10004860	grTexCalcMemRequired
1000a4d0	grTexClampMode
1000a580	grTexCombine
100050f0	grTexCombineFunction
10004890	grTexDetailControl
10004950	grTexDownloadMipMap
10004a40	grTexDownloadMipMapLevel
1000b330	grTexDownloadMipMapLevelPartial
1000b2e0	grTexDownloadTable
100049f0	grTexDownloadTablePartial
1000a940	grTexFilterMode
1000a9f0	grTexLodBiasValue
100048f0	grTexMaxAddress
100048d0	grTexMinAddress
1000aab0	grTexMipMapMode
1000aed0	grTexMultibase
1000af80	grTexMultibaseAddress
1000ac50	grTexNCCTable
1000ad00	grTexSource
10004920	grTexTextureMemRequired
10004560	grTriStats
100021a0	gu3dfGetInfo
10002860	gu3dfLoad
10003a30	guAADrawTriangleWithClip
10002c60	guAlphaSource
10002cd0	guColorCombineFunction
10003cc0	guDrawPolygonVertexListWithClip
10003340	guDrawTriangleWithClip
10003260	guEncodeRLE16
10002e70	guEndianSwapBytes
10002e50	guEndianSwapWords
1000ccd0	guFbReadRegion
1000cdb0	guFbWriteRegion
10002fa0	guFogGenerateExp2
10002ed0	guFogGenerateExp
10003080	guFogGenerateLinear
10002e80	guFogTableIndexToW
10005600	guMPDrawTriangle
100041b0	guMPInit
100041d0	guMPTexCombineFunction
100041e0	guMPTexSource
10004c70	guMovieSetName
10004c30	guMovieStart
10004c50	guMovieStop
10004c90	guTexAllocateMemory
10004f40	guTexChangeAttributes
10005110	guTexCombineFunction
10003120	guTexCreateColorMipMap
10005280	guTexDownloadMipMap
10005300	guTexDownloadMipMapLevel
100053a0	guTexGetCurrentMipMap
100053d0	guTexGetMipMapInfo
10005400	guTexMemQueryAvail
10005440	guTexMemReset
1000c290	guTexSource
10011720	pciClose
10011740	pciDeviceExists
10011a40	pciFindCard
10011970	pciFindCardMulti
10011770	pciGetConfigData
10011b90	pciMapCard
10011a60	pciMapCardMulti
10011890	pciMapPhysicalToLinear
10011540	pciOpen
10011800	pciSetConfigData
10011960	pciUnmapPhysical
1001d4d0	entry
