library	label	original_imported_name	parent	address	external_space_address	is_function	source	data_type
DDRAW.DLL	DirectDrawCreate	\N	DDRAW.DLL	00137228	EXTERNAL:00000001	true	IMPORTED	null
KERNEL32.DLL	GetOEMCP	\N	KERNEL32.DLL	0013743e	EXTERNAL:00000007	false	IMPORTED	null
KERNEL32.DLL	GetACP	\N	KERNEL32.DLL	00137434	EXTERNAL:00000008	false	IMPORTED	null
KERNEL32.DLL	DeviceIoControl	\N	KERNEL32.DLL	00137270	EXTERNAL:00000003	true	IMPORTED	null
KERNEL32.DLL	GetCurrentProcess	\N	KERNEL32.DLL	0013731a	EXTERNAL:0000000e	true	IMPORTED	null
KERNEL32.DLL	GetProcAddress	\N	KERNEL32.DLL	00137340	EXTERNAL:00000010	true	IMPORTED	null
KERNEL32.DLL	GetLastError	\N	KERNEL32.DLL	0013736c	EXTERNAL:00000013	true	IMPORTED	null
KERNEL32.DLL	SetHandleCount	\N	KERNEL32.DLL	0013738a	EXTERNAL:00000015	true	IMPORTED	null
KERNEL32.DLL	GetStartupInfoA	\N	KERNEL32.DLL	001373ba	EXTERNAL:00000018	true	IMPORTED	null
KERNEL32.DLL	ExitProcess	\N	KERNEL32.DLL	001372f8	EXTERNAL:0000000c	true	IMPORTED	null
KERNEL32.DLL	GetModuleHandleA	\N	KERNEL32.DLL	0013725c	EXTERNAL:00000002	true	IMPORTED	null
KERNEL32.DLL	GetModuleFileNameA	\N	KERNEL32.DLL	00137246	EXTERNAL:00000005	true	IMPORTED	null
KERNEL32.DLL	CreateFileA	\N	KERNEL32.DLL	00137282	EXTERNAL:00000004	true	IMPORTED	null
KERNEL32.DLL	HeapAlloc	\N	KERNEL32.DLL	001372ec	EXTERNAL:0000000b	true	IMPORTED	null
KERNEL32.DLL	TerminateProcess	\N	KERNEL32.DLL	00137306	EXTERNAL:0000000d	true	IMPORTED	null
KERNEL32.DLL	GetVersion	\N	KERNEL32.DLL	00137352	EXTERNAL:00000011	true	IMPORTED	null
KERNEL32.DLL	GetCommandLineA	\N	KERNEL32.DLL	0013732e	EXTERNAL:0000000f	true	IMPORTED	null
KERNEL32.DLL	HeapFree	\N	KERNEL32.DLL	00137360	EXTERNAL:00000012	true	IMPORTED	null
KERNEL32.DLL	CloseHandle	\N	KERNEL32.DLL	0013737c	EXTERNAL:00000014	true	IMPORTED	null
KERNEL32.DLL	GetFileType	\N	KERNEL32.DLL	0013739c	EXTERNAL:00000016	true	IMPORTED	null
KERNEL32.DLL	GetStdHandle	\N	KERNEL32.DLL	001373aa	EXTERNAL:00000017	true	IMPORTED	null
KERNEL32.DLL	ReadFile	\N	KERNEL32.DLL	001373cc	EXTERNAL:00000019	true	IMPORTED	null
KERNEL32.DLL	HeapCreate	\N	KERNEL32.DLL	001373e6	EXTERNAL:0000001b	true	IMPORTED	null
KERNEL32.DLL	HeapDestroy	\N	KERNEL32.DLL	001373d8	EXTERNAL:0000001a	true	IMPORTED	null
KERNEL32.DLL	VirtualFree	\N	KERNEL32.DLL	001373f4	EXTERNAL:0000001c	true	IMPORTED	null
KERNEL32.DLL	VirtualAlloc	\N	KERNEL32.DLL	00137402	EXTERNAL:00000006	true	IMPORTED	null
KERNEL32.DLL	WideCharToMultiByte	\N	KERNEL32.DLL	00137412	EXTERNAL:0000001e	true	IMPORTED	null
KERNEL32.DLL	GetCPInfo	\N	KERNEL32.DLL	00137428	EXTERNAL:0000001f	true	IMPORTED	null
KERNEL32.DLL	GetEnvironmentStringsW	\N	KERNEL32.DLL	001374ac	EXTERNAL:00000026	true	IMPORTED	null
KERNEL32.DLL	GetEnvironmentStrings	\N	KERNEL32.DLL	0013747a	EXTERNAL:00000024	true	IMPORTED	null
KERNEL32.DLL	FreeEnvironmentStringsW	\N	KERNEL32.DLL	00137492	EXTERNAL:00000025	true	IMPORTED	null
KERNEL32.DLL	FreeEnvironmentStringsA	\N	KERNEL32.DLL	0013744a	EXTERNAL:00000022	true	IMPORTED	null
KERNEL32.DLL	DisableThreadLibraryCalls	\N	KERNEL32.DLL	001374c6	EXTERNAL:00000027	true	IMPORTED	null
KERNEL32.DLL	WriteFile	\N	KERNEL32.DLL	001374e2	EXTERNAL:00000028	true	IMPORTED	null
KERNEL32.DLL	FlushFileBuffers	\N	KERNEL32.DLL	001374ee	EXTERNAL:00000029	true	IMPORTED	null
KERNEL32.DLL	LCMapStringW	\N	KERNEL32.DLL	00137512	EXTERNAL:0000002b	true	IMPORTED	null
KERNEL32.DLL	LCMapStringA	\N	KERNEL32.DLL	00137502	EXTERNAL:0000001d	true	IMPORTED	null
KERNEL32.DLL	MultiByteToWideChar	\N	KERNEL32.DLL	00137464	EXTERNAL:00000023	true	IMPORTED	null
