entry	name	full_name	namespace	name_source	signature_source	calling_convention	return_type	parameter_count	is_thunk	thunk_target	is_external	body_ranges	comment	repeatable_comment	prototype
10001000	FUN_10001000	FUN_10001000	Global	DEFAULT	ANALYSIS	__cdecl	undefined	2	false	\N	false	10001000-10001077	\N	\N	undefined __cdecl FUN_10001000(undefined4 param_1, undefined4 * param_2)
10001090	grSplash	grSplash	Global	ANALYSIS	ANALYSIS	__stdcall	undefined	5	false	\N	false	10001090-100015ef	__stdcall grSplash,20	\N	undefined __stdcall grSplash(float param_1, float param_2, float param_3, float param_4, uint param_5)
100015f0	FUN_100015f0	FUN_100015f0	Global	DEFAULT	ANALYSIS	__stdcall	undefined	0	false	\N	false	100015f0-10001644	\N	\N	undefined __stdcall FUN_100015f0(void)
10001650	FUN_10001650	FUN_10001650	Global	DEFAULT	ANALYSIS	__cdecl	undefined	2	false	\N	false	10001650-100016c9	\N	\N	undefined __cdecl FUN_10001650(int * param_1, int param_2)
100016d0	FUN_100016d0	FUN_100016d0	Global	DEFAULT	ANALYSIS	__cdecl	undefined4	1	false	\N	false	100016d0-100016f7	\N	\N	undefined4 __cdecl FUN_100016d0(undefined4 param_1)
10001720	FUN_10001720	FUN_10001720	Global	DEFAULT	ANALYSIS	__cdecl	undefined	2	false	\N	false	10001720-100017f7	\N	\N	undefined __cdecl FUN_10001720(int param_1, int param_2)
10001800	FUN_10001800	FUN_10001800	Global	DEFAULT	ANALYSIS	__cdecl	undefined	3	false	\N	false	10001800-10001861	\N	\N	undefined __cdecl FUN_10001800(float * param_1, float * param_2, float * param_3)
10001870	FUN_10001870	FUN_10001870	Global	DEFAULT	ANALYSIS	__cdecl	undefined	3	false	\N	false	10001870-100018c8	\N	\N	undefined __cdecl FUN_10001870(float * param_1, float * param_2, float * param_3)
100018d0	FUN_100018d0	FUN_100018d0	Global	DEFAULT	ANALYSIS	__cdecl	undefined	2	false	\N	false	100018d0-10001caa	\N	\N	undefined __cdecl FUN_100018d0(undefined4 param_1, int param_2)
10001cb0	FUN_10001cb0	FUN_10001cb0	Global	DEFAULT	ANALYSIS	__cdecl	undefined	1	false	\N	false	10001cb0-10001cf0	\N	\N	undefined __cdecl FUN_10001cb0(int * param_1)
10001d00	FUN_10001d00	FUN_10001d00	Global	DEFAULT	ANALYSIS	__cdecl	undefined	1	false	\N	false	10001d00-10001df0	\N	\N	undefined __cdecl FUN_10001d00(undefined4 param_1)
10001e10	FUN_10001e10	FUN_10001e10	Global	DEFAULT	ANALYSIS	__cdecl	undefined	4	false	\N	false	10001e10-10002133	\N	\N	undefined __cdecl FUN_10001e10(int param_1, int param_2, int param_3, float * param_4)
10002140	FUN_10002140	FUN_10002140	Global	DEFAULT	ANALYSIS	__cdecl	undefined	4	false	\N	false	10002140-1000217c	\N	\N	undefined __cdecl FUN_10002140(float * param_1, float * param_2, float * param_3, float param_4)
10002180	FUN_10002180	FUN_10002180	Global	DEFAULT	ANALYSIS	__cdecl	float10	1	false	\N	false	10002180-1000219c	\N	\N	float10 __cdecl FUN_10002180(float * param_1)
100021a0	gu3dfGetInfo	gu3dfGetInfo	Global	ANALYSIS	ANALYSIS	__stdcall	int	2	false	\N	false	100021a0-1000263f	__stdcall gu3dfGetInfo,8	\N	int __stdcall gu3dfGetInfo(char * param_1, int * param_2)
10002860	gu3dfLoad	gu3dfLoad	Global	ANALYSIS	ANALYSIS	__stdcall	undefined4	2	false	\N	false	10002860-10002ace	__stdcall gu3dfLoad,8	\N	undefined4 __stdcall gu3dfLoad(char * param_1, int param_2)
10002af0	FUN_10002af0	FUN_10002af0	Global	DEFAULT	ANALYSIS	__cdecl	undefined	5	false	\N	false	10002af0-10002b3b	\N	\N	undefined __cdecl FUN_10002af0(void * param_1, FILE * param_2, int param_3, int param_4, int param_5)
10002b40	FUN_10002b40	FUN_10002b40	Global	DEFAULT	ANALYSIS	__cdecl	undefined	5	false	\N	false	10002b40-10002ba4	\N	\N	undefined __cdecl FUN_10002b40(undefined2 * param_1, FILE * param_2, int param_3, int param_4, int param_5)
10002bb0	FUN_10002bb0	FUN_10002bb0	Global	DEFAULT	ANALYSIS	__cdecl	undefined4	1	false	\N	false	10002bb0-10002c03	\N	\N	undefined4 __cdecl FUN_10002bb0(FILE * param_1)
10002c10	FUN_10002c10	FUN_10002c10	Global	DEFAULT	ANALYSIS	__cdecl	uint	1	false	\N	false	10002c10-10002c53	\N	\N	uint __cdecl FUN_10002c10(FILE * param_1)
10002c60	guAlphaSource	guAlphaSource	Global	ANALYSIS	ANALYSIS	__stdcall	undefined	1	false	\N	false	10002c60-10002cb7	__stdcall guAlphaSource,4	\N	undefined __stdcall guAlphaSource(undefined4 param_1)
10002cd0	guColorCombineFunction	guColorCombineFunction	Global	ANALYSIS	ANALYSIS	__stdcall	undefined	1	false	\N	false	10002cd0-10002e02	__stdcall guColorCombineFunction,4	\N	undefined __stdcall guColorCombineFunction(undefined4 param_1)
10002e50	guEndianSwapWords	guEndianSwapWords	Global	ANALYSIS	ANALYSIS	__stdcall	uint	1	false	\N	false	10002e50-10002e60	__stdcall guEndianSwapWords,4	\N	uint __stdcall guEndianSwapWords(uint param_1)
10002e70	guEndianSwapBytes	guEndianSwapBytes	Global	ANALYSIS	ANALYSIS	__stdcall	undefined2	1	false	\N	false	10002e70-10002e7e	__stdcall guEndianSwapBytes,4	\N	undefined2 __stdcall guEndianSwapBytes(undefined2 param_1)
