address	type	name	full_name	namespace	source	primary	external	external_entry
EXTERNAL:00000001	Function	HeapAlloc	KERNEL32.DLL::HeapAlloc	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000002	Function	GlobalFree	KERNEL32.DLL::GlobalFree	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000003	Function	HeapFree	KERNEL32.DLL::HeapFree	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000004	Function	GetProcAddress	KERNEL32.DLL::GetProcAddress	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000005	Function	VirtualAlloc	KERNEL32.DLL::VirtualAlloc	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000006	Function	GetFileType	KERNEL32.DLL::GetFileType	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000007	Function	WriteFile	KERNEL32.DLL::WriteFile	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000008	Function	SetHandleCount	KERNEL32.DLL::SetHandleCount	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000009	Function	CloseHandle	KERNEL32.DLL::CloseHandle	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:0000000a	Function	RaiseException	KERNEL32.DLL::RaiseException	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:0000000b	Function	SetStdHandle	KERNEL32.DLL::SetStdHandle	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:0000000c	Function	LCMapStringW	KERNEL32.DLL::LCMapStringW	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:0000000d	Function	LCMapStringA	KERNEL32.DLL::LCMapStringA	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:0000000e	Function	GetStringTypeW	KERNEL32.DLL::GetStringTypeW	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:0000000f	Function	GetStringTypeA	KERNEL32.DLL::GetStringTypeA	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000010	Function	MultiByteToWideChar	KERNEL32.DLL::MultiByteToWideChar	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000011	Function	FlushFileBuffers	KERNEL32.DLL::FlushFileBuffers	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000012	Function	LoadLibraryA	KERNEL32.DLL::LoadLibraryA	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000013	Label	GetOEMCP	KERNEL32.DLL::GetOEMCP	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000014	Label	GetACP	KERNEL32.DLL::GetACP	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000015	Function	GetCPInfo	KERNEL32.DLL::GetCPInfo	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000016	Function	SetFilePointer	KERNEL32.DLL::SetFilePointer	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000017	Function	IsBadCodePtr	KERNEL32.DLL::IsBadCodePtr	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000018	Function	IsBadReadPtr	KERNEL32.DLL::IsBadReadPtr	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000019	Function	SetUnhandledExceptionFilter	KERNEL32.DLL::SetUnhandledExceptionFilter	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:0000001a	Function	InterlockedIncrement	KERNEL32.DLL::InterlockedIncrement	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:0000001b	Function	InterlockedDecrement	KERNEL32.DLL::InterlockedDecrement	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:0000001c	Function	IsBadWritePtr	KERNEL32.DLL::IsBadWritePtr	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:0000001d	Function	HeapReAlloc	KERNEL32.DLL::HeapReAlloc	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:0000001e	Function	GetCommandLineA	KERNEL32.DLL::GetCommandLineA	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:0000001f	Function	GetStdHandle	KERNEL32.DLL::GetStdHandle	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000020	Function	VirtualFree	KERNEL32.DLL::VirtualFree	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000021	Function	HeapCreate	KERNEL32.DLL::HeapCreate	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000022	Function	HeapDestroy	KERNEL32.DLL::HeapDestroy	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000023	Function	GetVersionExA	KERNEL32.DLL::GetVersionExA	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000024	Function	GetEnvironmentVariableA	KERNEL32.DLL::GetEnvironmentVariableA	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000025	Function	GetEnvironmentStringsW	KERNEL32.DLL::GetEnvironmentStringsW	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000026	Function	GetEnvironmentStrings	KERNEL32.DLL::GetEnvironmentStrings	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000027	Function	WideCharToMultiByte	KERNEL32.DLL::WideCharToMultiByte	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000028	Function	FreeEnvironmentStringsW	KERNEL32.DLL::FreeEnvironmentStringsW	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:00000029	Function	FreeEnvironmentStringsA	KERNEL32.DLL::FreeEnvironmentStringsA	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:0000002a	Function	GetModuleFileNameA	KERNEL32.DLL::GetModuleFileNameA	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:0000002b	Function	GetStartupInfoA	KERNEL32.DLL::GetStartupInfoA	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:0000002c	Function	RtlUnwind	KERNEL32.DLL::RtlUnwind	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:0000002d	Function	ExitProcess	KERNEL32.DLL::ExitProcess	KERNEL32.DLL	IMPORTED	true	true	false
EXTERNAL:0000002e	Function	TerminateProcess	KERNEL32.DLL::TerminateProcess	KERNEL32.DLL	IMPORTED	true	true	false
