library	label	original_imported_name	parent	address	external_space_address	is_function	source	data_type
GLIDE2X.DLL	grSstQueryHardware	_grSstQueryHardware@4	GLIDE2X.DLL	0001216e	EXTERNAL:0000004b	true	IMPORTED	null
GLIDE2X.DLL	grGlideInit	_grGlideInit@0	GLIDE2X.DLL	00012186	EXTERNAL:0000004a	true	IMPORTED	null
GLIDE2X.DLL	grSstQueryBoards	_grSstQueryBoards@4	GLIDE2X.DLL	00012198	EXTERNAL:00000049	true	IMPORTED	null
GLIDE2X.DLL	grGlideShutdown	_grGlideShutdown@0	GLIDE2X.DLL	000121ae	EXTERNAL:00000048	true	IMPORTED	null
GLIDE2X.DLL	grClipWindow	_grClipWindow@16	GLIDE2X.DLL	00011e06	EXTERNAL:00000072	true	IMPORTED	null
GLIDE2X.DLL	grTexCalcMemRequired	_grTexCalcMemRequired@16	GLIDE2X.DLL	00011e1a	EXTERNAL:00000071	true	IMPORTED	null
GLIDE2X.DLL	grGlideSetState	_grGlideSetState@4	GLIDE2X.DLL	00011e36	EXTERNAL:00000070	true	IMPORTED	null
GLIDE2X.DLL	grTexDownloadTable	_grTexDownloadTable@12	GLIDE2X.DLL	00011e4c	EXTERNAL:0000006f	true	IMPORTED	null
GLIDE2X.DLL	grDepthBufferFunction	_grDepthBufferFunction@4	GLIDE2X.DLL	00011fd2	EXTERNAL:0000005e	true	IMPORTED	null
GLIDE2X.DLL	grDrawTriangle	_grDrawTriangle@12	GLIDE2X.DLL	000120da	EXTERNAL:00000052	true	IMPORTED	null
GLIDE2X.DLL	grDrawPoint	_grDrawPoint@4	GLIDE2X.DLL	00012102	EXTERNAL:00000050	true	IMPORTED	null
GLIDE2X.DLL	grDrawPolygonVertexList	_grDrawPolygonVertexList@8	GLIDE2X.DLL	00012128	EXTERNAL:0000004e	true	IMPORTED	null
GLIDE2X.DLL	grTexSource	_grTexSource@16	GLIDE2X.DLL	00012146	EXTERNAL:0000004d	true	IMPORTED	null
GLIDE2X.DLL	grTexMaxAddress	_grTexMaxAddress@4	GLIDE2X.DLL	000121c4	EXTERNAL:00000047	true	IMPORTED	null
GLIDE2X.DLL	grTexMinAddress	_grTexMinAddress@4	GLIDE2X.DLL	000121da	EXTERNAL:00000046	true	IMPORTED	null
GLIDE2X.DLL	grTexDownloadMipMap	_grTexDownloadMipMap@16	GLIDE2X.DLL	000121f0	EXTERNAL:00000045	true	IMPORTED	null
GLIDE2X.DLL	grChromakeyValue	_grChromakeyValue@4	GLIDE2X.DLL	00011e66	EXTERNAL:0000006e	true	IMPORTED	null
