entry	name	full_name	namespace	name_source	signature_source	calling_convention	return_type	parameter_count	is_thunk	thunk_target	is_external	body_ranges	comment	repeatable_comment	prototype
1000100a	Glide_GetRendererDescription	Glide_GetRendererDescription	Global	DEFAULT	ANALYSIS	__cdecl	undefined	2	true	Glide_GetRendererDescription	false	1000100a-1000100e	\N	\N	undefined __cdecl Glide_GetRendererDescription(undefined4 * param_1, undefined4 * param_2)
10001019	thunk_FUN_1000cd10	thunk_FUN_1000cd10	Global	DEFAULT	ANALYSIS	__cdecl	undefined	6	true	FUN_1000cd10	false	10001019-1000101d	\N	\N	undefined __cdecl thunk_FUN_1000cd10(int param_1, float param_2, float param_3, float param_4, float * param_5, float * param_6)
10001023	thunk_FUN_1000ca10	thunk_FUN_1000ca10	Global	DEFAULT	ANALYSIS	__cdecl	int	2	true	FUN_1000ca10	false	10001023-10001027	\N	\N	int __cdecl thunk_FUN_1000ca10(int param_1, int param_2)
10001028	thunk_FUN_1000d230	thunk_FUN_1000d230	Global	DEFAULT	ANALYSIS	__thiscall	undefined4	2	true	FUN_1000d230	false	10001028-1000102c	\N	\N	undefined4 __thiscall thunk_FUN_1000d230(uint param_1)
10001032	thunk_FUN_1000d270	thunk_FUN_1000d270	Global	DEFAULT	ANALYSIS	__cdecl	float10	1	true	FUN_1000d270	false	10001032-10001036	\N	\N	float10 __cdecl thunk_FUN_1000d270(int param_1)
1000103c	Glide_SetClipWindow	Glide_SetClipWindow	Global	DEFAULT	ANALYSIS	__cdecl	undefined	4	true	Glide_SetClipWindow	false	1000103c-10001040	\N	\N	undefined __cdecl Glide_SetClipWindow(int param_1, int param_2, int param_3, int param_4)
10001046	Glide_InitRenderStates	Glide_InitRenderStates	Global	DEFAULT	ANALYSIS	__stdcall	undefined	0	true	Glide_InitRenderStates	false	10001046-1000104a	\N	\N	undefined __stdcall Glide_InitRenderStates(void)
1000104b	Tex_AllocateAndUploadTile	Tex_AllocateAndUploadTile	Global	DEFAULT	ANALYSIS	__thiscall	int	4	true	Tex_AllocateAndUploadTile	false	1000104b-1000104f	\N	\N	int __thiscall Tex_AllocateAndUploadTile(int * param_1, int param_2, int param_3)
10001050	thunk_FUN_1000ce40	thunk_FUN_1000ce40	Global	DEFAULT	ANALYSIS	__fastcall	undefined4	1	true	FUN_1000ce40	false	10001050-10001054	\N	\N	undefined4 __fastcall thunk_FUN_1000ce40(undefined4 param_1)
10001055	thunk_FUN_1000c3f0	thunk_FUN_1000c3f0	Global	DEFAULT	ANALYSIS	__cdecl	uint	1	true	FUN_1000c3f0	false	10001055-10001059	\N	\N	uint __cdecl thunk_FUN_1000c3f0(uint param_1)
