project_file	program_dir	program_name	executable_format	md5	sha256	functions	defined_symbols	comments	bookmarks	strings	external_libraries	external_locations	external_entry_points
/bwau.exe	bwau.exe	bwau.exe	Portable Executable (PE)	fee1a9dc85d9a79657eb62df56109f9d	79b4b6eda8cb78d36e430321b005230115f547a8672a65f495e9806a0c91384f	679	1448	599	89	734	5	164	1
/C/Users/balsa/Desktop/WulframII/Game/3dfx/glide2x.dll	C__Users__balsa__Desktop__WulframII__Game__3dfx__glide2x.dll	glide2x.dll	Portable Executable (PE)	ec461360bd4fc7c1db237e27d4d711b8	83ba8b18255a0ed5cb67627ada7f09ccbd46d9df25f09f1866fddeac32e7a9e8	559	2312	675	322	991	3	56	144
/C/Users/balsa/Desktop/WulframII/Game/3dfx/win32_glide.dll	C__Users__balsa__Desktop__WulframII__Game__3dfx__win32_glide.dll	win32_glide.dll	Portable Executable (PE)	01f9ad1def3080d551e98b6c4b379673	88680637c339b8746bb152587bfd8421955af0e6d764695446a822b010fdc086	1008	2085	535	217	660	3	133	5
/C/Users/balsa/Desktop/WulframII/Game/bwau.exe	C__Users__balsa__Desktop__WulframII__Game__bwau.exe	bwau.exe	Portable Executable (PE)	fee1a9dc85d9a79657eb62df56109f9d	79b4b6eda8cb78d36e430321b005230115f547a8672a65f495e9806a0c91384f	679	1402	530	92	734	5	164	1
/C/Users/balsa/Desktop/WulframII/Game/client/win32_glide.dll	C__Users__balsa__Desktop__WulframII__Game__client__win32_glide.dll	win32_glide.dll	Portable Executable (PE)	ddf080df1ff5754767a95083b7ff17aa	731bc1a0ba267023235e6fb546f772f7f81c3dbaac89e02f660c615b3d1eb155	338	745	384	93	197	3	114	5
/C/Users/balsa/Desktop/WulframII/Game/dbghelp.dll	C__Users__balsa__Desktop__WulframII__Game__dbghelp.dll	dbghelp.dll	Portable Executable (PE)	6479a184873f7ca797ff0375d711e9a6	8f20f178991501542d542c8d613b036a15cd55370697aa82c0f7800ff4fbcc4e	3777	4877	737	795	1191	5	199	97
/C/Users/balsa/Desktop/WulframII/Game/fmod.dll	C__Users__balsa__Desktop__WulframII__Game__fmod.dll	fmod.dll	Portable Executable (PE)	b8d0cce2ca1cc850c8c6f25a70d855e6	1e08da161cf78746304a834973971ee47a24817ee4e28df74e3f37dbbb383b22	1	561	282	5	277	8	9	233
/C/Users/balsa/Desktop/WulframII/Game/wulfram2.exe	C__Users__balsa__Desktop__WulframII__Game__wulfram2.exe	wulfram2.exe	Portable Executable (PE)	3957e0baa8c0267b6d57f0ac2686643f	94990864ab1db2ddbe2652cfdbca726356b19dd3fb7597945e297a43973d99d4	6228	15177	9140	1911	4294	11	278	1
/C/Users/balsa/Desktop/WulframII/Game/wvp.exe	C__Users__balsa__Desktop__WulframII__Game__wvp.exe	wvp.exe	Portable Executable (PE)	5d8e64bc3bad24c3456d9ee04798b6b9	a190d31c280369360672dfcc763f6475d6bbb4411a6fd8822fd2a4f550360a45	0	381	1244	3	591	11	278	1
/glide2x.dll	glide2x.dll	glide2x.dll	Portable Executable (PE)	ec461360bd4fc7c1db237e27d4d711b8	83ba8b18255a0ed5cb67627ada7f09ccbd46d9df25f09f1866fddeac32e7a9e8	559	2312	670	313	991	3	56	144
/win32_glide-other.dll	win32_glide-other.dll	win32_glide.dll	Portable Executable (PE)	ddf080df1ff5754767a95083b7ff17aa	731bc1a0ba267023235e6fb546f772f7f81c3dbaac89e02f660c615b3d1eb155	349	788	444	107	198	3	114	5
/win32_glide.dll	win32_glide.dll	win32_glide.dll	Portable Executable (PE)	01f9ad1def3080d551e98b6c4b379673	88680637c339b8746bb152587bfd8421955af0e6d764695446a822b010fdc086	1008	2126	604	217	660	3	133	5
