epoch_s,x,y,z,vx,vy,vz,yaw
1781573351.433677,5143.226074,5241.459473,15.711746,0.000000,0.000000,-11.135282,5.023361
1781573351.534443,5143.226074,5241.459473,14.679404,0.000000,0.000000,-9.641851,5.062074
1781573351.633999,5143.226074,5241.459473,13.825945,0.000000,0.000000,-7.328216,5.093213
1781573351.734191,5143.226074,5241.459473,13.248733,0.000000,0.000000,-4.097658,5.117248
1781573351.834314,5143.226074,5241.459473,12.997087,0.000000,0.000000,-1.056322,5.135358
1781573351.933995,5143.226074,5241.459473,13.007040,0.000000,0.000000,1.082057,5.148638
1781573352.034169,5143.226074,5241.459473,13.177404,0.000000,0.000000,2.144344,5.157844
1781573352.134303,5143.226074,5241.459473,13.411329,0.000000,0.000000,2.206557,5.163613
1781573352.233889,5143.226074,5241.459473,13.599867,0.000000,0.000000,1.653043,5.165802
1781573352.334029,5143.226074,5241.459473,13.723698,0.000000,0.000000,0.821067,5.165211
1781573352.434124,5143.226074,5241.459473,13.770477,0.000000,0.000000,0.137016,5.161964
1781573352.533889,5143.226074,5241.459473,13.765339,0.000000,0.000000,-0.184261,5.156797
1781573352.634151,5143.226074,5241.459473,13.745480,0.000000,0.000000,-0.166442,5.149897
1781573352.734109,5143.226074,5241.459473,13.739104,0.000000,0.000000,0.055091,5.141570
1781573352.834002,5143.226074,5241.459473,13.757266,0.000000,0.000000,0.287673,5.131983
1781573352.934215,5143.226074,5241.459473,13.792831,0.000000,0.000000,0.392608,5.121647
1781573353.034181,5143.226074,5241.459473,13.831143,0.000000,0.000000,0.362379,5.110898
1781573353.134294,5143.226074,5241.459473,13.862075,0.000000,0.000000,0.256319,5.099713
1781573353.234047,5143.226074,5241.459473,13.882294,0.000000,0.000000,0.145185,5.087891
1781573353.333934,5143.226074,5241.459473,13.892421,0.000000,0.000000,0.066284,5.076616
1781573353.433860,5143.226074,5241.459473,13.895268,0.000000,0.000000,-0.007144,5.064334
1781573353.534034,5143.226074,5241.459473,13.892064,0.000000,0.000000,-0.056683,5.052632
1781573353.634105,5143.226074,5241.459473,13.884385,0.000000,0.000000,-0.095661,5.040947
1781573353.734224,5143.226074,5241.459473,13.873642,0.000000,0.000000,-0.115901,5.029171
1781573353.833891,5143.226074,5241.459473,13.861783,0.000000,0.000000,-0.118861,5.017426
1781573353.934145,5143.226074,5241.459473,13.850907,0.000000,0.000000,-0.095562,5.005835
1781573354.034147,5143.226074,5241.459473,13.843235,0.000000,0.000000,-0.054346,4.993951
1781573354.133970,5143.270020,5241.297852,13.894559,0.928091,-3.363678,1.001647,4.982261
1781573354.234189,5143.403320,5240.809082,14.011954,1.727562,-6.421802,1.251533,4.970864
1781573354.334295,5143.605469,5240.048828,14.263203,2.365638,-9.026610,4.232455,4.960915
1781573354.433873,5143.875000,5239.005859,14.800788,2.903493,-11.355252,5.970291,4.954853
1781573354.534014,5144.183594,5237.783203,15.253052,3.340656,-13.298012,3.148561,4.953987
1781573354.633769,5144.541504,5236.352051,15.426139,3.733974,-15.005094,0.334737,4.958683
1781573354.733789,5144.929688,5234.793945,15.309499,4.092367,-16.446440,-3.651004,4.967607
1781573354.833997,5145.361328,5233.067383,14.694522,4.444594,-17.713934,-7.836780,4.977389
1781573354.933815,5145.812500,5231.278320,13.870567,4.776764,-18.774006,-8.658213,4.987673
1781573355.034080,5146.322266,5229.294922,13.013422,5.121987,-19.732077,-7.565404,4.999920
1781573355.133831,5146.833496,5227.340820,12.392542,5.416656,-20.554977,-5.357326,5.012705
1781573355.234092,5147.388672,5225.242188,11.932466,5.670239,-21.414150,-4.017579,5.027789
1781573355.334455,5147.971191,5223.065430,11.517675,5.983507,-22.139568,-4.314771,5.046088
1781573355.434129,5148.588867,5220.823242,11.011406,6.383715,-22.662329,-6.395722,5.066643
1781573355.534273,5149.270020,5218.468262,10.228250,6.847782,-23.044149,-8.589500,5.086621
1781573355.634138,5149.977539,5216.148438,9.359369,7.310747,-23.348324,-8.233711,5.104228
1781573355.734316,5150.724121,5213.824219,8.673242,7.770175,-23.599874,-5.582327,5.119921
1781573355.834301,5151.524414,5211.453125,8.247752,8.228935,-23.810410,-2.930611,5.134354
1781573355.933979,5152.370605,5209.063477,8.079396,8.677809,-23.983213,-0.544459,5.147443
1781573356.034047,5153.251465,5206.681641,8.105261,9.108894,-24.122395,0.881835,5.159195
1781573356.133823,5154.202148,5204.215820,8.222601,9.536527,-24.237495,1.257713,5.170191
1781573356.234046,5155.175781,5201.787109,8.335455,9.937758,-24.326677,0.925935,5.180002
1781573356.334110,5156.157715,5199.423340,8.399961,10.308892,-24.394247,0.401909,5.188687
1781573356.433782,5157.239258,5196.908691,8.416009,10.682898,-24.448851,-0.056999,5.197079
1781573356.534122,5158.302734,5194.509277,8.397936,11.019230,-24.487049,-0.275681,5.204329
1781573356.634189,5159.409668,5192.080566,8.367918,11.339498,-24.514225,-0.304677,5.210988
1781573356.733859,5160.546875,5189.651855,8.341495,11.640410,-24.531906,-0.215508,5.217025
1781573356.834002,5161.761719,5187.124512,8.325753,11.933210,-24.541983,-0.094620,5.222676
1781573356.934061,5162.956055,5184.695312,8.320076,12.195457,-24.545151,-0.031178,5.227504
1781573357.034084,5164.212891,5182.191895,8.318478,12.446165,-24.543072,-0.002668,5.231847
1781573357.134138,5165.456055,5179.762207,8.318875,12.670760,-24.537024,0.007398,5.235456
1781573357.234210,5166.706543,5177.357422,8.319287,12.875102,-24.528097,-0.001348,5.238469
1781573357.333841,5168.042969,5174.830566,8.318723,13.070954,-24.516476,-0.007922,5.241087
1781573357.433949,5169.332031,5172.425293,8.317565,13.239796,-24.504023,-0.017005,5.243122
1781573357.534237,5170.691406,5169.923340,8.315220,13.398202,-24.490246,-0.027849,5.244836
1781573357.633944,5172.011230,5167.522461,8.312565,13.534676,-24.476707,-0.024207,5.246160
1781573357.734028,5173.357422,5165.104980,8.310634,13.657920,-24.463097,-0.014576,5.247258
1781573357.834164,5174.769043,5162.590332,8.309549,13.771722,-24.449316,-0.008717,5.248106
1781573357.933865,5176.137207,5160.173340,8.308508,13.868422,-24.436651,-0.011799,5.248763
1781573358.034043,5177.514160,5157.756348,8.307612,13.953759,-24.424725,-0.006418,5.249269
1781573358.134212,5178.941406,5155.266113,8.306872,14.030988,-24.413298,-0.009430,5.249762
1781573358.234065,5180.319336,5152.873535,8.305615,14.107184,-24.396500,-0.016418,5.259074
1781573358.334221,5181.735840,5150.433105,8.303632,14.226177,-24.349894,-0.022963,5.278656
1781573358.434147,5183.166504,5148.004395,8.301110,14.391320,-24.269968,-0.026944,5.295753
1781573358.534375,5184.629883,5145.556641,8.298313,14.588732,-24.164915,-0.027949,5.312604
1781573358.633945,5186.100098,5143.147461,8.295576,14.824059,-24.029213,-0.026501,5.337478
1781573358.734213,5187.596191,5140.753906,8.293065,15.119497,-23.845058,-0.023565,5.370786
1781573358.834117,5189.140625,5138.357910,8.290861,15.493940,-23.593594,-0.020016,5.412227
1781573358.933941,5190.696289,5136.038086,8.289047,15.941350,-23.270470,-0.016923,5.457237
1781573359.034061,5192.332031,5133.707520,8.287373,16.460993,-22.870062,-0.016548,5.498389
1781573359.133848,5194.004883,5131.443359,8.285673,17.016914,-22.415512,-0.017524,5.538810
1781573359.233944,5195.719238,5129.248047,8.283888,17.597382,-21.912378,-0.018464,5.578244
1781573359.334312,5197.508789,5127.084473,8.282022,18.197289,-21.363361,-0.018760,5.612139
1781573359.434343,5199.358398,5124.976562,8.280188,18.789112,-20.795973,-0.017715,5.639868
1781573359.533926,5201.265137,5122.924805,8.278519,19.358017,-20.228352,-0.015574,5.662553
1781573359.633860,5203.207520,5120.948730,8.277070,19.889673,-19.679314,-0.013873,5.680945
1781573359.734382,5205.262207,5118.968750,8.277141,20.399342,-19.136778,0.038197,5.696436
1781573359.833944,5207.306152,5117.100098,8.289899,21.055330,-18.320770,0.319312,5.708702
1781573359.934217,5209.520508,5115.427734,8.367654,23.166611,-15.176213,1.288486,5.718783
1781573360.034040,5211.954102,5114.038086,8.559791,24.980286,-12.398037,2.543042,5.726966
1781573360.134189,5214.503906,5112.930176,8.871042,26.503239,-10.018797,3.690673,5.733467
1781573360.233986,5217.222168,5112.035645,9.280909,27.815809,-7.914383,4.431326,5.742098
1781573360.333823,5220.030762,5111.344727,9.739319,28.920633,-6.056939,4.775533,5.761487
1781573360.434089,5223.030762,5110.818848,10.233253,29.872488,-4.265095,4.882657,5.798357
1781573360.534144,5226.056641,5110.479004,10.722874,30.627155,-2.539142,4.909102,5.845448
1781573360.634238,5229.150391,5110.311523,11.216311,31.217331,-0.831459,4.969306,5.886215
1781573360.733858,5232.295410,5110.311035,11.718626,31.668200,0.819550,5.084326,5.919431
1781573360.834085,5235.480469,5110.472168,12.234042,32.003685,2.386809,5.224906,5.946479
1781573360.934468,5238.726074,5110.790527,12.768443,32.247368,3.868094,5.352251,5.968695
1781573361.034157,5241.926758,5111.242676,13.302938,32.411755,5.212239,5.438977,5.986409
1781573361.134249,5245.141602,5111.820801,13.844270,32.517948,6.446767,5.491849,6.000847
1781573361.234172,5248.423828,5112.530273,14.401664,32.530449,7.591009,5.635114,6.012825
1781573361.334200,5251.685059,5113.348633,15.044091,31.989372,8.602404,7.274496,6.022437
1781573361.433817,5254.647949,5114.234863,15.974328,21.076054,11.037438,19.991505,6.029918
1781573361.534132,5256.715820,5115.354980,17.761887,20.721571,11.603241,16.400496,6.038867
1781573361.633971,5258.752441,5116.530273,19.280277,20.388443,12.120761,14.549454,6.045697
1781573361.734176,5260.792969,5117.776855,20.711863,20.040131,12.538800,13.953859,6.050910
1781573361.834305,5262.800293,5119.062012,22.119785,19.702717,12.892759,13.979133,6.054666
1781573361.934083,5264.736816,5120.354492,23.511751,19.393778,13.207239,14.141164,6.057172
1781573362.033835,5266.639648,5121.673340,24.918743,19.069445,13.417786,14.282924,6.058708
1781573362.133792,5268.531250,5123.022949,26.354166,18.749802,13.581861,14.417025,6.059445
1781573362.234037,5270.429199,5124.416992,27.828365,18.446335,13.735717,14.470954,6.059492
1781573362.333762,5272.223633,5125.770996,29.244711,18.173290,13.870060,14.419044,6.058998
1781573362.433909,5274.044922,5127.177734,30.695133,17.908520,13.994601,14.294130,6.058060
1781573362.534128,5275.841309,5128.597656,32.130962,17.658831,14.105376,14.137658,6.056806
1781573362.634332,5277.595215,5130.013672,33.536842,17.425224,14.202139,13.982426,6.055355
